SCHOOL NAME,DISTrictNUMBER,DISTRICT NAME,EMH,EMH-Combined,SCHOOL NUMBER,rate_at.5_chng_ach,rate_at.5_chng_gro,pct_pts_chng_.5
COYOTE RIDGE ELEMENTARY SCHOOL                              ,1560,THOMPSON R2-J             ,E,   ,2089,2,1,2
CUSTER MIDDLE SCHOOL                                        ,860,CUSTER COUNTY SCHOOL DISTR,M,   ,2091,3,2,3
CUSTER COUNTY HIGH SCHOOL                                   ,860,CUSTER COUNTY SCHOOL DISTR,H,   ,2092,1,2,2
DAKOTA RIDGE SENIOR HIGH SCHOOL                             ,1420,JEFFERSON COUNTY R-1      ,H,   ,2093,2,3,3
DAKOTA VALLEY ELEMENTARY SCHOOL                             ,130,CHERRY CREEK 5            ,E,   ,2094,2,2,2
DALTON ELEMENTARY SCHOOL                                    ,180,ADAMS-ARAPAHOE 28J        ,E,   ,2095,3,2,2
CORWIN INTERNATIONAL MAGNET SCHOOL                          ,2690,PUEBLO CITY 60            ,E,   ,2096,2,3,2
CORWIN INTERNATIONAL MAGNET SCHOOL                          ,2690,PUEBLO CITY 60            ,M,   ,2096,2,2,2
DARTMOUTH ELEMENTARY SCHOOL                                 ,180,ADAMS-ARAPAHOE 28J        ,E,   ,2114,1,2,1
D'EVELYN JUNIOR/SENIOR HIGH SCHOOL                          ,1420,JEFFERSON COUNTY R-1      ,H,   ,2120,2,2,2
D'EVELYN JUNIOR/SENIOR HIGH SCHOOL                          ,1420,JEFFERSON COUNTY R-1      ,M,   ,2120,2,2,2
DE BEQUE ELEMENTARY SCHOOL                                  ,1980,DE BEQUE 49JT             ,E,   ,2122,3,3,3
DENVER GREEN SCHOOL                                         ,880,DENVER COUNTY 1           ,E,   ,2125,2,2,2
DE BEQUE UNDIVIDED HIGH SCHOOL                              ,1980,DE BEQUE 49JT             ,H,   ,2126,,,1
INDEPENDENCE ACADEMY                                        ,2000,MESA COUNTY VALLEY 51     ,E,   ,2128,3,1,2
INDEPENDENCE ACADEMY                                        ,2000,MESA COUNTY VALLEY 51     ,M,   ,2128,3,2,1
DEER CREEK MIDDLE SCHOOL                                    ,1420,JEFFERSON COUNTY R-1      ,M,   ,2130,2,2,1
DEER TRAIL ELEMENTARY SCHOOL                                ,170,DEER TRAIL 26J            ,E,   ,2136,2,1,2
DEER TRAIL JUNIOR-SENIOR HIGH SCHOOL                        ,170,DEER TRAIL 26J            ,H,   ,2140,3,3,2
DEER TRAIL JUNIOR-SENIOR HIGH SCHOOL                        ,170,DEER TRAIL 26J            ,M,   ,2140,3,3,3
DSST: GREEN VALLY RANCH                                     ,880,DENVER COUNTY 1           ,M,   ,2145,2,2,2
DEL NORTE MIDDLE SCHOOL                                     ,2730,DEL NORTE C-7             ,M,   ,2148,2,1,2
DEL NORTE HIGH SCHOOL                                       ,2730,DEL NORTE C-7             ,H,   ,2150,3,2,2
DELTA COUNTY OPPORTUNITY SCHOOL                             ,870,DELTA COUNTY 50(J)        ,A,MH ,2155,,,1
DELTA COUNTY OPPORTUNITY SCHOOL                             ,870,DELTA COUNTY 50(J)        ,H,   ,2155,,,1
DELTA MIDDLE SCHOOL                                         ,870,DELTA COUNTY 50(J)        ,M,   ,2160,3,2,1
DELTA HIGH SCHOOL                                           ,870,DELTA COUNTY 50(J)        ,H,   ,2164,1,2,2
DELTA VISION SCHOOL                                         ,870,DELTA COUNTY 50(J)        ,E,   ,2166,1,,1
DELTA VISION SCHOOL                                         ,870,DELTA COUNTY 50(J)        ,H,   ,2166,2,3,2
DELTA VISION SCHOOL                                         ,870,DELTA COUNTY 50(J)        ,M,   ,2166,2,1,2
DENISON MONTESSORI SCHOOL                                   ,880,DENVER COUNTY 1           ,E,   ,2174,2,1,2
DENVER CENTER FOR INTERNATIONAL STUDIES                     ,880,DENVER COUNTY 1           ,H,   ,2183,2,2,2
DENVER CENTER FOR INTERNATIONAL STUDIES                     ,880,DENVER COUNTY 1           ,M,   ,2183,2,1,1
DENVER SCHOOL OF THE ARTS                                   ,880,DENVER COUNTY 1           ,H,   ,2184,2,2,2
DENVER SCHOOL OF THE ARTS                                   ,880,DENVER COUNTY 1           ,M,   ,2184,2,2,2
DSST: STAPLETON                                             ,880,DENVER COUNTY 1           ,H,   ,2185,2,2,2
DSST: STAPLETON                                             ,880,DENVER COUNTY 1           ,M,   ,2185,2,1,2
DEVINNY ELEMENTARY SCHOOL                                   ,1420,JEFFERSON COUNTY R-1      ,E,   ,2194,2,3,3
DISCOVERY CANYON CAMPUS SCHOOL                              ,1040,ACADEMY 20                ,E,   ,2195,2,2,1
DISCOVERY CANYON CAMPUS SCHOOL                              ,1040,ACADEMY 20                ,H,   ,2195,1,1,1
DISCOVERY CANYON CAMPUS SCHOOL                              ,1040,ACADEMY 20                ,M,   ,2195,2,2,1
DOHERTY HIGH SCHOOL                                         ,1010,COLORADO SPRINGS 11       ,H,   ,2202,1,1,1
DOLORES ELEMENTARY SCHOOL                                   ,2055,DOLORES RE-4A             ,E,   ,2204,3,3,3
DOLORES MIDDLE SCHOOL                                       ,2055,DOLORES RE-4A             ,M,   ,2206,2,2,2
DOLORES HIGH SCHOOL                                         ,2055,DOLORES RE-4A             ,H,   ,2208,2,3,3
DOVE CREEK HIGH SCHOOL                                      ,890,DOLORES COUNTY RE NO.2    ,H,   ,2216,3,3,3
DOVE CREEK HIGH SCHOOL                                      ,890,DOLORES COUNTY RE NO.2    ,M,   ,2216,1,1,1
DOLORES HUERTA PREPARATORY HIGH SCHOOL                      ,2690,PUEBLO CITY 60            ,H,   ,2217,1,1,1
DOS RIOS ELEMENTARY SCHOOL                                  ,3120,GREELEY 6                 ,E,   ,2222,1,2,1
DOS RIOS ELEMENTARY SCHOOL                                  ,2000,MESA COUNTY VALLEY 51     ,E,   ,2224,3,2,2
CASTLE ROCK MIDDLE SCHOOL                                   ,900,DOUGLAS COUNTY RE 1       ,M,   ,2226,2,3,2
DOUGLAS COUNTY HIGH SCHOOL                                  ,900,DOUGLAS COUNTY RE 1       ,H,   ,2230,2,2,2
ROCK RIDGE ELEMENTARY SCHOOL                                ,900,DOUGLAS COUNTY RE 1       ,E,   ,2232,2,2,1
CHEROKEE TRAIL ELEMENTARY SCHOOL                            ,900,DOUGLAS COUNTY RE 1       ,E,   ,2233,2,2,2
EAGLE RIDGE ELEMENTARY SCHOOL                               ,900,DOUGLAS COUNTY RE 1       ,E,   ,2234,2,2,2
DOUGLASS ELEMENTARY SCHOOL                                  ,480,BOULDER VALLEY RE 2       ,E,   ,2240,2,1,1
DOUGLASS VALLEY ELEMENTARY SCHOOL                           ,1040,ACADEMY 20                ,E,   ,2248,2,1,1
DOULL ELEMENTARY SCHOOL                                     ,880,DENVER COUNTY 1           ,E,   ,2258,2,3,3
DRAKE JUNIOR HIGH SCHOOL                                    ,1420,JEFFERSON COUNTY R-1      ,M,   ,2288,3,3,3
DRY CREEK ELEMENTARY SCHOOL                                 ,130,CHERRY CREEK 5            ,E,   ,2292,2,2,2
DUAL IMMERSION ACADEMY SCHOOL                               ,2000,MESA COUNTY VALLEY 51     ,E,   ,2297,2,1,1
DUNN ELEMENTARY SCHOOL                                      ,1550,POUDRE R-1                ,E,   ,2298,1,1,2
DUNSTAN MIDDLE SCHOOL                                       ,1420,JEFFERSON COUNTY R-1      ,M,   ,2300,2,2,2
DUPONT ELEMENTARY SCHOOL                                    ,30,ADAMS COUNTY 14           ,E,   ,2308,2,2,1
DURANGO HIGH SCHOOL                                         ,1520,DURANGO 9-R               ,H,   ,2318,2,2,2
DUTCH CREEK ELEMENTARY SCHOOL                               ,1420,JEFFERSON COUNTY R-1      ,E,   ,2322,3,3,3
EADS ELEMENTARY SCHOOL                                      ,1430,EADS RE-1                 ,E,   ,2328,3,,3
EADS MIDDLE SCHOOL                                          ,1430,EADS RE-1                 ,M,   ,2332,3,2,2
EADS HIGH SCHOOL                                            ,1430,EADS RE-1                 ,H,   ,2336,3,3,3
EAGLE ACADEMY                                               ,900,DOUGLAS COUNTY RE 1       ,H,   ,2338,,,2
EAGLE COUNTY CHARTER ACADEMY                                ,910,EAGLE COUNTY RE 50        ,E,   ,2340,2,1,2
EAGLE COUNTY CHARTER ACADEMY                                ,910,EAGLE COUNTY RE 50        ,M,   ,2340,2,2,2
EAGLE CREST ELEMENTARY SCHOOL                               ,470,ST VRAIN VALLEY RE 1J     ,E,   ,2343,1,2,2
EAGLE VALLEY ELEMENTARY SCHOOL                              ,910,EAGLE COUNTY RE 50        ,E,   ,2346,2,3,3
EAGLE VALLEY HIGH SCHOOL                                    ,910,EAGLE COUNTY RE 50        ,H,   ,2350,3,3,2
EAGLE VALLEY MIDDLE SCHOOL                                  ,910,EAGLE COUNTY RE 50        ,M,   ,2355,2,3,2
EAGLECREST HIGH SCHOOL                                      ,130,CHERRY CREEK 5            ,H,   ,2357,2,2,2
EAGLEVIEW MIDDLE SCHOOL                                     ,1040,ACADEMY 20                ,M,   ,2358,2,2,2
EAGLEVIEW ELEMENTARY SCHOOL                                 ,20,ADAMS 12 FIVE STAR SCHOOLS,E,   ,2361,2,1,1
EAGLETON ELEMENTARY SCHOOL                                  ,880,DENVER COUNTY 1           ,E,   ,2364,3,3,3
EAST ELEMENTARY SCHOOL                                      ,2020,MOFFAT COUNTY RE:NO 1     ,E,   ,2374,3,1,2
EAST GRAND MIDDLE SCHOOL                                    ,1350,EAST GRAND 2              ,M,   ,2376,2,3,2
EAST ELEMENTARY SCHOOL                                      ,140,LITTLETON 6               ,E,   ,2382,2,1,1
EAST MIDDLE SCHOOL                                          ,180,ADAMS-ARAPAHOE 28J        ,M,   ,2384,3,2,2
EAST MIDDLE SCHOOL                                          ,2000,MESA COUNTY VALLEY 51     ,M,   ,2392,2,2,2
EAST HIGH SCHOOL                                            ,2690,PUEBLO CITY 60            ,H,   ,2394,2,1,2
EAST HIGH SCHOOL                                            ,880,DENVER COUNTY 1           ,H,   ,2398,2,2,2
EAGLE RIDGE ACADEMY                                         ,40,BRIGHTON 27J              ,H,   ,2399,2,2,2
TARVER ELEMENTARY SCHOOL                                    ,20,ADAMS 12 FIVE STAR SCHOOLS,E,   ,2410,2,3,2
EAST MEMORIAL ELEMENTARY SCHOOL                             ,3120,GREELEY 6                 ,E,   ,2414,3,2,3
EASTRIDGE COMMUNITY ELEMENTARY SCHOOL                       ,130,CHERRY CREEK 5            ,E,   ,2428,2,2,1
EVA R BACA ELEMENTARY SCHOOL                                ,2690,PUEBLO CITY 60            ,E,   ,2438,2,3,3
EATON MIDDLE SCHOOL                                         ,3085,EATON RE-2                ,M,   ,2452,2,2,2
EATON HIGH SCHOOL                                           ,3085,EATON RE-2                ,H,   ,2456,2,2,3
EDGEWATER ELEMENTARY SCHOOL                                 ,1420,JEFFERSON COUNTY R-1      ,E,   ,2496,3,3,3
EDISON ACADEMY                                              ,1120,EDISON 54 JT              ,H,   ,2504,,,3
EDISON ELEMENTARY SCHOOL                                    ,880,DENVER COUNTY 1           ,E,   ,2506,3,3,2
EDISON ELEMENTARY SCHOOL                                    ,1010,COLORADO SPRINGS 11       ,E,   ,2510,1,1,1
EDISON ELEMENTARY SCHOOL                                    ,1120,EDISON 54 JT              ,E,   ,2514,2,,3
HAYDEN VALLEY ELEMENTARY SCHOOL                             ,2760,HAYDEN RE-1               ,E,   ,2522,2,3,3
EDITH WOLFORD ELEMENTARY SCHOOL                             ,1040,ACADEMY 20                ,E,   ,2524,2,2,2
EDISON JUNIOR-SENIOR HIGH SCHOOL                            ,1120,EDISON 54 JT              ,H,   ,2526,,,2
EDISON JUNIOR-SENIOR HIGH SCHOOL                            ,1120,EDISON 54 JT              ,M,   ,2526,3,2,3
NIKOLA TESLA EDUCATION OPPORTUNITY CENTER                   ,1010,COLORADO SPRINGS 11       ,A,MH ,2528,,,2
NIKOLA TESLA EDUCATION OPPORTUNITY CENTER                   ,1010,COLORADO SPRINGS 11       ,H,   ,2528,1,1,2
NIKOLA TESLA EDUCATION OPPORTUNITY CENTER                   ,1010,COLORADO SPRINGS 11       ,M,   ,2528,1,1,1
EDWARDS ELEMENTARY SCHOOL                                   ,910,EAGLE COUNTY RE 50        ,E,   ,2530,3,2,2
EIBER ELEMENTARY SCHOOL                                     ,1420,JEFFERSON COUNTY R-1      ,E,   ,2550,3,3,2
EISENHOWER ELEMENTARY SCHOOL                                ,480,BOULDER VALLEY RE 2       ,E,   ,2552,1,1,1
ELBERT ELEMENTARY SCHOOL                                    ,950,ELBERT 200                ,E,   ,2570,3,2,2
LEGACY ACADEMY                                              ,920,ELIZABETH C-1             ,E,   ,2572,2,1,1
LEGACY ACADEMY                                              ,920,ELIZABETH C-1             ,M,   ,2572,3,3,2
ELK CREEK ELEMENTARY                                        ,1195,GARFIELD RE-2             ,E,   ,2573,3,1,1
ELBERT JUNIOR-SENIOR HIGH SCHOOL                            ,950,ELBERT 200                ,H,   ,2574,2,1,2
ELBERT JUNIOR-SENIOR HIGH SCHOOL                            ,950,ELBERT 200                ,M,   ,2574,1,1,1
CHERRY DRIVE ELEMENTARY SCHOOL                              ,20,ADAMS 12 FIVE STAR SCHOOLS,E,   ,2576,2,1,2
SKYVIEW ELEMENTARY SCHOOL                                   ,20,ADAMS 12 FIVE STAR SCHOOLS,E,   ,2578,2,2,2
HUNTERS GLEN ELEMENTARY SCHOOL                              ,20,ADAMS 12 FIVE STAR SCHOOLS,E,   ,2580,2,2,2
ROCKY MOUNTAIN ELEMENTARY SCHOOL                            ,20,ADAMS 12 FIVE STAR SCHOOLS,E,   ,2582,2,3,3
RIVERDALE ELEMENTARY SCHOOL                                 ,20,ADAMS 12 FIVE STAR SCHOOLS,E,   ,2584,2,1,1
ELDORADO K-8 SCHOOL                                         ,480,BOULDER VALLEY RE 2       ,E,   ,2589,2,2,2
ELDORADO K-8 SCHOOL                                         ,480,BOULDER VALLEY RE 2       ,M,   ,2589,2,2,2
ELIZABETH MIDDLE SCHOOL                                     ,920,ELIZABETH C-1             ,M,   ,2604,1,1,1
ELIZABETH HIGH SCHOOL                                       ,920,ELIZABETH C-1             ,H,   ,2608,2,3,2
ELK CREEK ELEMENTARY SCHOOL                                 ,1420,JEFFERSON COUNTY R-1      ,E,   ,2616,3,3,2
ELKHART ELEMENTARY SCHOOL                                   ,180,ADAMS-ARAPAHOE 28J        ,E,   ,2618,2,1,1
FOUNTAIN INTERNATIONAL MAGNET SCHOOL                        ,2690,PUEBLO CITY 60            ,E,   ,2620,2,,1
ELLICOTT ELEMENTARY SCHOOL                                  ,1050,ELLICOTT 22               ,E,   ,2638,2,2,2
ELLICOTT MIDDLE SCHOOL                                      ,1050,ELLICOTT 22               ,M,   ,2640,1,2,2
ELLICOTT SENIOR HIGH SCHOOL                                 ,1050,ELLICOTT 22               ,H,   ,2642,2,2,2
ELLIS ELEMENTARY SCHOOL                                     ,880,DENVER COUNTY 1           ,E,   ,2652,3,1,2
ELDORADO ELEMENTARY SCHOOL                                  ,900,DOUGLAS COUNTY RE 1       ,E,   ,2656,2,2,2
EMERALD ELEMENTARY SCHOOL                                   ,480,BOULDER VALLEY RE 2       ,E,   ,2702,2,1,1
NEW EMERSON SCHOOL AT COLUMBUS                              ,2000,MESA COUNTY VALLEY 51     ,E,   ,2724,2,1,2
EMILY GRIFFITH TECHNICAL COLLEGE                            ,880,DENVER COUNTY 1           ,H,   ,2726,2,,2
ENGLEWOOD HIGH SCHOOL                                       ,120,ENGLEWOOD 1               ,H,   ,2746,1,2,2
ENGLEWOOD LEADERSHIP ACADEMY                                ,120,ENGLEWOOD 1               ,M,   ,2750,2,3,3
ENGLEWOOD MIDDLE SCHOOL                                     ,120,ENGLEWOOD 1               ,M,   ,2752,2,3,3
VENTURE PREP                                                ,880,DENVER COUNTY 1           ,H,   ,2755,2,2,2
VENTURE PREP                                                ,880,DENVER COUNTY 1           ,M,   ,2755,1,2,2
ERIE ELEMENTARY SCHOOL                                      ,470,ST VRAIN VALLEY RE 1J     ,E,   ,2758,2,2,2
ERIE MIDDLE SCHOOL                                          ,470,ST VRAIN VALLEY RE 1J     ,M,   ,2760,2,2,2
ERIE HIGH SCHOOL                                            ,470,ST VRAIN VALLEY RE 1J     ,H,   ,2761,2,2,2
ESCUELA TLATELOLCO SCHOOL                                   ,880,DENVER COUNTY 1           ,H,   ,2789,1,2,2
ESCUELA TLATELOLCO SCHOOL                                   ,880,DENVER COUNTY 1           ,M,   ,2789,2,2,2
ESTES PARK K-5 SCHOOL                                       ,1570,PARK (ESTES PARK) R-3     ,E,   ,2790,2,2,2
ESTES PARK MIDDLE SCHOOL                                    ,1570,PARK (ESTES PARK) R-3     ,M,   ,2792,2,3,3
ESTES PARK HIGH SCHOOL                                      ,1570,PARK (ESTES PARK) R-3     ,H,   ,2794,3,3,2
EXCEL ACADEMY CHARTER SCHOOL                                ,1420,JEFFERSON COUNTY R-1      ,E,   ,2799,3,3,3
EXCEL ACADEMY CHARTER SCHOOL                                ,1420,JEFFERSON COUNTY R-1      ,H,   ,2799,,,2
EXCEL ACADEMY CHARTER SCHOOL                                ,1420,JEFFERSON COUNTY R-1      ,M,   ,2799,3,3,3
EXPLORER ELEMENTARY SCHOOL                                  ,1040,ACADEMY 20                ,E,   ,2800,2,1,1
EUCLID MIDDLE SCHOOL                                        ,140,LITTLETON 6               ,M,   ,2804,2,1,2
EVERITT MIDDLE SCHOOL                                       ,1420,JEFFERSON COUNTY R-1      ,M,   ,2820,2,2,1
EVERGREEN MIDDLE SCHOOL                                     ,1420,JEFFERSON COUNTY R-1      ,M,   ,2832,2,3,2
EVERGREEN HIGH SCHOOL                                       ,1420,JEFFERSON COUNTY R-1      ,H,   ,2836,2,2,2
EARLY COLLEGE HIGH SCHOOL AT ARVADA                         ,8001,CHARTER SCHOOL INSTITUTE  ,H,   ,2837,1,2,1
EARLY COLLEGE HIGH SCHOOL AT ARVADA                         ,8001,CHARTER SCHOOL INSTITUTE  ,M,   ,2837,2,2,2
EXPEDITIONARY LEARNING SCHOOL                               ,9130,EXPEDITIONARY BOCES       ,E,   ,2840,2,2,3
EXPEDITIONARY LEARNING SCHOOL                               ,9130,EXPEDITIONARY BOCES       ,H,   ,2840,1,2,1
EXPEDITIONARY LEARNING SCHOOL                               ,9130,EXPEDITIONARY BOCES       ,M,   ,2840,1,1,1
UNIVERSITY SCHOOLS                                          ,3120,GREELEY 6                 ,E,   ,2850,2,1,1
UNIVERSITY SCHOOLS                                          ,3120,GREELEY 6                 ,H,   ,2850,2,2,2
UNIVERSITY SCHOOLS                                          ,3120,GREELEY 6                 ,M,   ,2850,2,2,2
FAIRMONT K-8 SCHOOL                                         ,880,DENVER COUNTY 1           ,E,   ,2856,3,3,3
FAIRMONT K-8 SCHOOL                                         ,880,DENVER COUNTY 1           ,M,   ,2856,3,2,2
FAIRMOUNT ELEMENTARY SCHOOL                                 ,1420,JEFFERSON COUNTY R-1      ,E,   ,2866,2,3,2
FAIRVIEW ELEMENTARY SCHOOL                                  ,70,WESTMINSTER 50            ,E,   ,2876,3,3,3
FALCON VIRTUAL ACADEMY                                      ,1110,FALCON 49                 ,M,   ,2877,2,2,2
FAIRVIEW ELEMENTARY SCHOOL                                  ,880,DENVER COUNTY 1           ,E,   ,2880,2,1,1
FAIRVIEW HIGH SCHOOL                                        ,480,BOULDER VALLEY RE 2       ,H,   ,2892,2,2,2
FALCON CREEK MIDDLE SCHOOL                                  ,130,CHERRY CREEK 5            ,M,   ,2897,2,2,2
FALCON ELEMENTARY SCHOOL                                    ,1110,FALCON 49                 ,E,   ,2902,3,1,2
FALCON MIDDLE SCHOOL                                        ,1110,FALCON 49                 ,M,   ,2906,2,2,2
FALCON HIGH SCHOOL                                          ,1110,FALCON 49                 ,H,   ,2908,2,3,3
FALL RIVER ELEMENTARY SCHOOL                                ,470,ST VRAIN VALLEY RE 1J     ,E,   ,2912,2,1,2
FEDERAL HEIGHTS ELEMENTARY SCHOOL                           ,20,ADAMS 12 FIVE STAR SCHOOLS,E,   ,2918,1,2,2
FIELD ELEMENTARY SCHOOL                                     ,140,LITTLETON 6               ,E,   ,2926,2,2,2
FIRESIDE ELEMENTARY SCHOOL                                  ,480,BOULDER VALLEY RE 2       ,E,   ,2940,2,2,2
FISHER'S PEAK ELEMENTARY SCHOOL                             ,1580,TRINIDAD 1                ,E,   ,2944,2,2,2
FOUNDATIONS ACADEMY                                         ,40,BRIGHTON 27J              ,E,   ,2945,2,2,2
FITZMORRIS ELEMENTARY SCHOOL                                ,1420,JEFFERSON COUNTY R-1      ,E,   ,2946,1,1,1
MAMMOTH HEIGHTS ELEMENTARY                                  ,900,DOUGLAS COUNTY RE 1       ,E,   ,2952,2,2,2
STONE MOUNTAIN ELEMENTARY                                   ,900,DOUGLAS COUNTY RE 1       ,E,   ,2953,2,1,2
ROXBOROUGH INTERMEDIATE                                     ,900,DOUGLAS COUNTY RE 1       ,E,   ,2954,2,2,2
FLAGLER ELEMENTARY SCHOOL                                   ,1450,ARRIBA-FLAGLER C-20       ,E,   ,2956,3,2,3
FLAGLER MIDDLE SCHOOL                                       ,1450,ARRIBA-FLAGLER C-20       ,M,   ,2958,1,1,1
FLAGLER SENIOR HIGH SCHOOL                                  ,1450,ARRIBA-FLAGLER C-20       ,H,   ,2960,2,,2
FALCON BLUFFS MIDDLE SCHOOL                                 ,1420,JEFFERSON COUNTY R-1      ,M,   ,2963,3,3,2
FLAGSTAFF CHARTER ACADEMY                                   ,470,ST VRAIN VALLEY RE 1J     ,E,   ,2964,2,2,2
FLAGSTAFF CHARTER ACADEMY                                   ,470,ST VRAIN VALLEY RE 1J     ,M,   ,2964,3,2,2
FLAGSTONE ELEMENTARY SCHOOL                                 ,900,DOUGLAS COUNTY RE 1       ,E,   ,2965,2,2,2
FLATIRONS ELEMENTARY SCHOOL                                 ,480,BOULDER VALLEY RE 2       ,E,   ,2970,2,1,2
FLEMING ELEMENTARY SCHOOL                                   ,1850,FRENCHMAN RE-3            ,E,   ,2980,2,3,3
FLEMING HIGH SCHOOL                                         ,1850,FRENCHMAN RE-3            ,H,   ,2988,1,3,3
FLEMING HIGH SCHOOL                                         ,1850,FRENCHMAN RE-3            ,M,   ,2988,2,,3
FLETCHER INTERMEDIATE SCIENCE & TECHNOLOGY SCHOOL           ,180,ADAMS-ARAPAHOE 28J        ,E,   ,2995,1,1,1
FLETCHER INTERMEDIATE SCIENCE & TECHNOLOGY SCHOOL           ,180,ADAMS-ARAPAHOE 28J        ,M,   ,2995,3,3,3
FLETCHER PRIMARY SCHOOL                                     ,180,ADAMS-ARAPAHOE 28J        ,E,   ,2998,1,,2
FLORENCE CRITTENTON HIGH SCHOOL                             ,880,DENVER COUNTY 1           ,H,   ,3000,3,,1
FLORENCE HIGH SCHOOL                                        ,1150,FREMONT RE-2              ,H,   ,3002,2,2,2
FLORIDA MESA ELEMENTARY SCHOOL                              ,1520,DURANGO 9-R               ,E,   ,3012,2,3,3
FOOTHILL ELEMENTARY SCHOOL                                  ,480,BOULDER VALLEY RE 2       ,E,   ,3022,2,2,2
FOOTHILLS ELEMENTARY SCHOOL                                 ,1420,JEFFERSON COUNTY R-1      ,E,   ,3025,3,3,2
EAGLESIDE ELEMENTARY SCHOOL                                 ,1000,FOUNTAIN 8                ,E,   ,3027,2,2,2
FOX RIDGE MIDDLE SCHOOL                                     ,130,CHERRY CREEK 5            ,M,   ,3030,3,3,3
FORCE ELEMENTARY SCHOOL                                     ,880,DENVER COUNTY 1           ,E,   ,3032,2,1,1
FORD ELEMENTARY SCHOOL                                      ,880,DENVER COUNTY 1           ,E,   ,3038,2,1,1
FORT COLLINS HIGH SCHOOL                                    ,1550,POUDRE R-1                ,H,   ,3046,2,3,3
FORT LEWIS MESA ELEMENTARY SCHOOL                           ,1520,DURANGO 9-R               ,E,   ,3050,3,3,3
SHERIDAN ELEMENTARY                                         ,123,SHERIDAN 2                ,E,   ,3054,1,3,3
FORT LUPTON MIDDLE SCHOOL                                   ,3140,WELD COUNTY S/D RE-8      ,M,   ,3066,2,3,2
FORT LUPTON HIGH SCHOOL                                     ,3140,WELD COUNTY S/D RE-8      ,H,   ,3070,1,1,2
FORT MORGAN MIDDLE SCHOOL                                   ,2405,FORT MORGAN RE-3          ,M,   ,3074,2,3,3
FORT MORGAN HIGH SCHOOL                                     ,2405,FORT MORGAN RE-3          ,H,   ,3078,3,3,3
FOSTER ELEMENTARY SCHOOL                                    ,1420,JEFFERSON COUNTY R-1      ,E,   ,3088,3,3,2
LOCHBUIE ELEMENTARY SCHOOL                                  ,3090,KEENESBURG RE-3(J)        ,E,   ,3090,2,1,2
ARAGON ELEMENTARY SCHOOL                                    ,1000,FOUNTAIN 8                ,E,   ,3102,2,3,2
FOOTHILLS ELEMENTARY SCHOOL                                 ,1040,ACADEMY 20                ,E,   ,3104,2,2,3
FOSSIL RIDGE HIGH SCHOOL                                    ,1550,POUDRE R-1                ,H,   ,3105,2,3,2
FOUNTAIN MIDDLE SCHOOL                                      ,1000,FOUNTAIN 8                ,M,   ,3106,2,1,1
MESA ELEMENTARY SCHOOL                                      ,1000,FOUNTAIN 8                ,E,   ,3108,1,2,1
FOUNTAIN-FORT CARSON HIGH SCHOOL                            ,1000,FOUNTAIN 8                ,H,   ,3110,2,2,2
FOWLER JUNIOR HIGH SCHOOL                                   ,2540,FOWLER R-4J               ,M,   ,3130,3,3,3
FOWLER HIGH SCHOOL                                          ,2540,FOWLER R-4J               ,H,   ,3134,1,3,3
FOX CREEK ELEMENTARY SCHOOL                                 ,900,DOUGLAS COUNTY RE 1       ,E,   ,3138,2,2,2
FRANCIS M. DAY ELEMENTARY SCHOOL                            ,70,WESTMINSTER 50            ,E,   ,3144,2,3,3
FRANKLIN MIDDLE SCHOOL                                      ,3120,GREELEY 6                 ,M,   ,3162,1,1,1
FRANKTOWN ELEMENTARY SCHOOL                                 ,900,DOUGLAS COUNTY RE 1       ,E,   ,3172,2,1,1
FREEDOM ELEMENTARY SCHOOL                                   ,1010,COLORADO SPRINGS 11       ,E,   ,3175,1,1,2
FRASER VALLEY ELEMENTARY SCHOOL                             ,1350,EAST GRAND 2              ,E,   ,3182,2,3,3
FREDERICK ELEMENTARY SCHOOL                                 ,470,ST VRAIN VALLEY RE 1J     ,E,   ,3192,3,3,2
COAL RIDGE MIDDLE SCHOOL                                    ,470,ST VRAIN VALLEY RE 1J     ,M,   ,3194,2,3,3
FREDERICK SENIOR HIGH SCHOOL                                ,470,ST VRAIN VALLEY RE 1J     ,H,   ,3196,2,1,1
FREE HORIZON MONTESSORI CHARTER SCHOOL                      ,1420,JEFFERSON COUNTY R-1      ,E,   ,3201,2,1,2
FREED MIDDLE SCHOOL                                         ,2690,PUEBLO CITY 60            ,M,   ,3206,1,2,2
GARDEN PARK HIGH SCHOOL                                     ,1140,CANON CITY RE-1           ,H,   ,3211,,,1
FREMONT ELEMENTARY SCHOOL                                   ,1420,JEFFERSON COUNTY R-1      ,E,   ,3216,2,1,2
FREMONT ELEMENTARY SCHOOL                                   ,1010,COLORADO SPRINGS 11       ,E,   ,3218,1,2,1
COTOPAXI ELEMENTARY SCHOOL                                  ,1160,COTOPAXI RE-3             ,E,   ,3220,2,3,2
FREMONT ELEMENTARY SCHOOL                                   ,1150,FREMONT RE-2              ,E,   ,3224,1,2,3
FREMONT MIDDLE SCHOOL                                       ,1150,FREMONT RE-2              ,M,   ,3226,1,2,2
COTOPAXI JUNIOR-SENIOR HIGH SCHOOL                          ,1160,COTOPAXI RE-3             ,H,   ,3228,3,2,2
COTOPAXI JUNIOR-SENIOR HIGH SCHOOL                          ,1160,COTOPAXI RE-3             ,M,   ,3228,2,1,1
FRENCH ELEMENTARY SCHOOL                                    ,990,WIDEFIELD 3               ,E,   ,3234,2,1,1
