District No,School Name,District Name,School No,eng_yn,math_yn,read_yn,sci_yn
1570,ESTES PARK OPTIONS SCHOOL,PARK (ESTES PARK) R-3,2788,,,,
1570,ESTES PARK HIGH SCHOOL,PARK (ESTES PARK) R-3,2794,1,2,1,2
1580,TRINIDAD HIGH SCHOOL,TRINIDAD 1,8906,1,2,2,2
1590,PRIMERO JUNIOR-SENIOR HIGH SCHOOL,PRIMERO REORGANIZED 2,7164,,,,
1600,HOEHNE HIGH SCHOOL,HOEHNE REORGANIZED 3,4048,2,2,2,2
1620,AGUILAR JUNIOR-SENIOR HIGH SCHOOL,AGUILAR REORGANIZED 6,0066,,,,
1750,BRANSON SCHOOL ONLINE,BRANSON REORGANIZED 82,0948,1,2,2,2
1750,BRANSON UNDIVIDED HIGH SCHOOL,BRANSON REORGANIZED 82,0978,,,,
1760,KIM UNDIVIDED HIGH SCHOOL,KIM REORGANIZED 88,4694,,,,
1780,GENOA-HUGO SENIOR HIGH SCHOOL,GENOA-HUGO C113,4162,,,,
1790,LIMON JUNIOR-SENIOR HIGH SCHOOL,LIMON RE-4J,5136,2,2,2,2
1810,KARVAL ONLINE EDUCATION,KARVAL RE-23,4504,2,2,2,2
1810,KARVAL JUNIOR-SENIOR HIGH SCHOOL,KARVAL RE-23,4506,,,,
1828,SMITH HIGH SCHOOL,VALLEY RE-1,0202,,,,
1828,CALICHE JUNIOR-SENIOR HIGH SCHOOL,VALLEY RE-1,1224,1,2,2,2
1828,STERLING HIGH SCHOOL,VALLEY RE-1,8260,1,2,2,2
1850,FLEMING HIGH SCHOOL,FRENCHMAN RE-3,2988,,,,
1860,MERINO JUNIOR SENIOR HIGH SCHOOL,BUFFALO RE-4J,5806,2,2,2,2
1870,PEETZ JUNIOR-SENIOR HIGH SCHOOL,PLATEAU RE-5,6838,,,,
1980,DE BEQUE UNDIVIDED HIGH SCHOOL,DE BEQUE 49JT,2126,,,,
1990,GRAND MESA HIGH SCHOOL,PLATEAU VALLEY 50,3582,2,2,2,2
1990,PLATEAU VALLEY HIGH SCHOOL,PLATEAU VALLEY 50,7032,1,2,2,2
2000,CENTRAL HIGH SCHOOL,MESA COUNTY VALLEY 51,1450,2,2,2,2
2000,GATEWAY SCHOOL,MESA COUNTY VALLEY 51,3350,,,,
2000,GRAND JUNCTION HIGH SCHOOL,MESA COUNTY VALLEY 51,3570,1,2,2,2
2000,MESA VALLEY VISION HOME AND COMMUNITY PROGRAM,MESA COUNTY VALLEY 51,5828,1,2,1,2
2000,FRUITA MONUMENT HIGH SCHOOL,MESA COUNTY VALLEY 51,6070,1,2,2,2
2000,PALISADE HIGH SCHOOL,MESA COUNTY VALLEY 51,6666,1,2,2,2
2000,R-5 HIGH SCHOOL,MESA COUNTY VALLEY 51,7236,2,2,2,2
2010,CREEDE MIDDLE/HIGH SCHOOL,CREEDE SCHOOL DISTRICT,1966,,,,
2020,MOFFAT COUNTY HIGH SCHOOL,MOFFAT COUNTY RE:NO 1,5962,2,2,2,2
2035,MONTEZUMA-CORTEZ HIGH SCHOOL,MONTEZUMA-CORTEZ RE-1,6026,2,2,2,2
2035,SOUTHWEST OPEN CHARTER SCHOOL,MONTEZUMA-CORTEZ RE-1,8133,2,2,2,2
2055,DOLORES HIGH SCHOOL,DOLORES RE-4A,2208,1,2,2,2
2070,MANCOS HIGH SCHOOL,MANCOS RE-6,5452,1,2,2,2
2180,MONTROSE HIGH SCHOOL,MONTROSE COUNTY RE-1J,6058,1,2,2,2
2180,OLATHE HIGH SCHOOL,MONTROSE COUNTY RE-1J,6494,2,2,2,2
2180,PASSAGE CHARTER SCHOOL,MONTROSE COUNTY RE-1J,6807,,,,
2180,VISTA CHARTER SCHOOL,MONTROSE COUNTY RE-1J,9149,2,2,2,2
2190,NUCLA JUNIOR/SENIOR HIGH SCHOOL,WEST END RE-2,6436,,,,
2395,BRUSH HIGH SCHOOL,BRUSH RE-2(J),1096,2,2,2,2
2405,FORT MORGAN HIGH SCHOOL,FORT MORGAN RE-3,3078,2,2,2,2
2405,LINCOLN HIGH SCHOOL,FORT MORGAN RE-3,5180,,,,
2505,WELDON VALLEY HIGH SCHOOL,WELDON VALLEY RE-20(J),9360,,,,
2515,WIGGINS HIGH SCHOOL,WIGGINS RE-50(J),9582,2,2,2,2
2520,LA JUNTA HIGH SCHOOL,EAST OTERO R-1,4844,,,,
2520,LA JUNTA JR/SR HIGH SCHOOL,EAST OTERO R-1,5015,2,2,2,2
2520,TIGER LEARNING CENTER,EAST OTERO R-1,8849,,,,
2530,ROCKY FORD JUNIOR/SENIOR HIGH SCHOOL,ROCKY FORD R-2,7442,2,2,2,2
2535,MANZANOLA JUNIOR-SENIOR HIGH SCHOOL,MANZANOLA 3J,5506,,,,
2540,FOWLER HIGH SCHOOL,FOWLER R-4J,3134,1,2,2,2
2560,CHERAW HIGH SCHOOL,CHERAW 31,1546,1,2,2,2
2570,SWINK JUNIOR-SENIOR HIGH SCHOOL,SWINK 33,8456,1,2,1,2
2580,OURAY SENIOR HIGH SCHOOL,OURAY R-1,6600,1,2,2,2
2590,RIDGWAY HIGH SCHOOL,RIDGWAY R-2,7346,1,1,1,1
2600,PLATTE CANYON HIGH SCHOOL,PLATTE CANYON 1,7046,1,2,1,2
2610,SOUTH PARK HIGH SCHOOL,PARK COUNTY RE-2,8118,1,2,2,2
2620,HOLYOKE SENIOR HIGH SCHOOL,HOLYOKE RE-1J,4080,1,2,2,2
2630,HAXTUN HIGH SCHOOL,HAXTUN RE-2J,3850,2,2,2,2
2640,ASPEN HIGH SCHOOL,ASPEN 1,0432,1,1,1,2
2650,GRANADA UNDIVIDED HIGH SCHOOL,GRANADA RE-1,3546,,,,
2660,LAMAR HIGH SCHOOL,LAMAR RE-2,4960,2,2,2,2
2670,HOLLY HIGH SCHOOL,HOLLY RE-3,4058,1,2,2,2
2680,WILEY JUNIOR-SENIOR HIGH SCHOOL,WILEY RE-13 JT,9608,2,2,2,2
2690,CENTENNIAL HIGH SCHOOL,PUEBLO CITY 60,1402,1,2,2,2
2690,CENTRAL HIGH SCHOOL,PUEBLO CITY 60,1454,2,2,2,2
2690,DOLORES HUERTA PREPARATORY HIGH SCHOOL,PUEBLO CITY 60,2217,1,2,2,2
2690,EAST HIGH SCHOOL,PUEBLO CITY 60,2394,2,2,2,2
2690,KEATING CONTINUING EDUCATION,PUEBLO CITY 60,7748,2,2,2,2
2690,SOUTH HIGH SCHOOL,PUEBLO CITY 60,8082,1,2,2,2
2690,YOUTH & FAMILY ACADEMY CHARTER,PUEBLO CITY 60,9785,,,,
2700,FUTURES ACADEMY,PUEBLO COUNTY 70,3279,2,2,2,2
2700,PUEBLO COUNTY HIGH SCHOOL,PUEBLO COUNTY 70,7208,1,2,2,2
2700,PUEBLO TECHNICAL ACADEMY,PUEBLO COUNTY 70,7211,,,,
2700,PUEBLO WEST HIGH SCHOOL,PUEBLO COUNTY 70,7214,1,2,2,2
2700,RYE HIGH SCHOOL,PUEBLO COUNTY 70,7534,1,2,2,2
2700,SOUTHERN COLORADO EARLY COLLEGE,PUEBLO COUNTY 70,7879,1,2,1,2
2710,MEEKER HIGH SCHOOL,MEEKER RE1,5762,1,2,2,2
2720,RANGELY JUNIOR/SENIOR HIGH SCHOOL,RANGELY RE-4,7276,2,2,2,2
2730,DEL NORTE HIGH SCHOOL,DEL NORTE C-7,2150,2,2,2,2
2740,BYRON SYRING DELTA CENTER,MONTE VISTA C-8,6030,,,,
2740,MONTE VISTA SENIOR HIGH SCHOOL,MONTE VISTA C-8,6046,2,2,2,2
2740,MONTE VISTA ON-LINE ACADEMY,MONTE VISTA C-8,6520,,,,
2750,SARGENT SENIOR HIGH SCHOOL,SARGENT RE-33J,7664,1,2,2,2
2760,HAYDEN HIGH SCHOOL,HAYDEN RE-1,3862,2,2,2,2
2770,STEAMBOAT SPRINGS HIGH SCHOOL,STEAMBOAT SPRINGS RE-2,8212,1,2,1,2
2770,YAMPA VALLEY SCHOOL,STEAMBOAT SPRINGS RE-2,9757,,,,
2780,SOROCO HIGH SCHOOL,SOUTH ROUTT RE 3,8050,1,2,2,2
2790,MOUNTAIN VALLEY SENIOR HIGH SCHOOL,MOUNTAIN VALLEY RE 1,6146,,,,
2800,CRESTONE CHARTER SCHOOL,MOFFAT 2,2018,,,,
2800,MOFFAT SENIOR HIGH SCHOOL,MOFFAT 2,5958,,,,
2810,THE ACADEMIC RECOVERY CENTER OF SAN LUIS VALLEY,CENTER 26 JT,0051,,,,
2810,CENTER HIGH SCHOOL,CENTER 26 JT,1420,2,2,2,2
2820,SILVERTON HIGH SCHOOL,SILVERTON 1,7904,,,,
2830,TELLURIDE HIGH SCHOOL,TELLURIDE R-1,8794,1,2,2,2
2840,NORWOOD HIGH SCHOOL,NORWOOD R-2J,6422,1,2,2,2
2862,INSIGHT SCHOOL OF COLORADO AT JULESBURG,JULESBURG RE-1,4369,2,2,2,2
2862,JULESBURG HIGH SCHOOL,JULESBURG RE-1,4492,2,1,2,2
2865,REVERE JUNIOR-SENIOR HIGH SCHOOL,PLATTE VALLEY RE-3,7322,,,,
3000,SUMMIT HIGH SCHOOL,SUMMIT RE-1,8378,1,2,2,2
3010,CRIPPLE CREEK-VICTOR JUNIOR-SENIOR HIGH SCHOOL,CRIPPLE CREEK-VICTOR RE-1,2024,1,2,2,2
3020,WOODLAND PARK HIGH SCHOOL,WOODLAND PARK RE-2,9696,1,2,2,2
3030,AKRON HIGH SCHOOL,AKRON R-1,0090,2,2,2,2
3040,ARICKAREE UNDIVIDED HIGH SCHOOL,ARICKAREE R-2,0308,,,,
3050,OTIS JUNIOR-SENIOR HIGH SCHOOL,OTIS R-3,6586,1,1,1,2
3060,LONE STAR UNDIVIDED HIGH SCHOOL,LONE STAR 101,5258,,,,
3070,WOODLIN UNDIVIDED HIGH SCHOOL,WOODLIN R-104,9704,,,,
3080,VALLEY HIGH SCHOOL,WELD COUNTY RE-1,9032,2,2,2,2
3085,EATON HIGH SCHOOL,EATON RE-2,2456,1,2,2,2
3090,WELD CENTRAL SENIOR HIGH SCHOOL,KEENESBURG RE-3(J),1446,2,2,2,2
3100,WINDSOR HIGH SCHOOL,WINDSOR RE-4,9672,1,2,2,2
3110,ROOSEVELT HIGH SCHOOL,JOHNSTOWN-MILLIKEN RE-5J,7490,2,2,2,2
3120,COLORADO HIGH SCHOOL OF GREELEY,GREELEY 6,1780,,,,
3120,FRONTIER CHARTER ACADEMY,GREELEY 6,1875,1,1,1,2
3120,UNIVERSITY SCHOOLS,GREELEY 6,2850,1,2,2,2
3120,GREELEY CENTRAL HIGH SCHOOL,GREELEY 6,3610,2,2,2,2
3120,GREELEY WEST HIGH SCHOOL,GREELEY 6,3614,2,2,2,2
3120,JEFFERSON HIGH SCHOOL,GREELEY 6,4425,2,2,2,2
3120,NORTHRIDGE HIGH SCHOOL,GREELEY 6,6364,2,2,2,2
3120,TRADEMARK LEARNING CENTER,GREELEY 6,8890,,,,
3120,UNION COLONY PREPARATORY SCHOOL,GREELEY 6,8965,1,2,1,2
3130,PLATTE VALLEY HIGH SCHOOL,PLATTE VALLEY RE-7,4670,2,2,2,2
3140,FORT LUPTON HIGH SCHOOL,WELD COUNTY S/D RE-8,3070,2,2,2,2
3145,HIGHLAND HIGH SCHOOL,AULT-HIGHLAND RE-9,3962,2,2,2,2
3146,BRIGGSDALE UNDIVIDED HIGH SCHOOL,BRIGGSDALE RE-10,1012,,,,
3147,PRAIRIE JUNIOR-SENIOR HIGH SCHOOL,PRAIRIE RE-11,7156,,,,
3148,PAWNEE JUNIOR-SENIOR HIGH SCHOOL,PAWNEE RE-12,6812,,,,
3200,YUMA HIGH SCHOOL,YUMA 1,9799,2,2,2,2
3210,WRAY HIGH SCHOOL,WRAY RD-2,9733,2,2,2,2
3220,IDALIA JUNIOR-SENIOR HIGH SCHOOL,IDALIA RJ-3,4231,,,,
3230,LIBERTY JUNIOR-SENIOR HIGH SCHOOL,LIBERTY J-4,5123,,,,
8001,COLORADO DISTANCE & ELECTRONIC LEARNING ACADEMY,CHARTER SCHOOL INSTITUTE,0656,,,,
8001,COLORADO SPRINGS EARLY COLLEGES,CHARTER SCHOOL INSTITUTE,1795,1,2,2,2
8001,COLORADO PROVOST ACADEMY,CHARTER SCHOOL INSTITUTE,1877,,,,
8001,EARLY COLLEGE HIGH SCHOOL AT ARVADA,CHARTER SCHOOL INSTITUTE,2837,1,2,2,2
8001,GOAL ACADEMY,CHARTER SCHOOL INSTITUTE,3475,2,2,2,2
8001,THE PINNACLE CHARTER SCHOOL HIGH,CHARTER SCHOOL INSTITUTE,6914,2,2,2,2
8001,PIKES PEAK PREP,CHARTER SCHOOL INSTITUTE,8929,,,,
8001,THE VANGUARD SCHOOL (HIGH),CHARTER SCHOOL INSTITUTE,9057,1,1,1,1
9000,COLORADO SCHOOL FOR THE DEAF AND BLIND,Colorado School for the Deaf and Blind,9999,,,,
9030,YAMPAH MOUNTAIN SCHOOL,MOUNTAIN BOCES,6134,2,2,2,2
9030,MOUNTAIN BOCES DAY TREATMENT CENTER,MOUNTAIN BOCES,6136,,,,
9030,YAMPAH TEEN PARENT PROGRAM,MOUNTAIN BOCES,9797,,,,
9095,YAMPA VALLEY HIGH SCHOOL,NORTHWEST COLO BOCES,9787,,,,
9130,EXPEDITIONARY LEARNING SCHOOL,EXPEDITIONARY BOCES,2840,1,2,2,2
