School Code,School Name,Physical Address,Physical City,Physical State,Physical Zipcode,Phone,LowestGrade,,School Type,Organization Code,District Name,District Size,District Setting
2208,DOLORES HIGH SCHOOL,1301 CENTRAL AVENUE,DOLORES,CO,81323,9708827288,9th Grade,12th Grade,Senior,2055,DOLORES RE-4A,601 - 1.200,Rural
2216,DOVE CREEK HIGH SCHOOL,525 NORTH MAIN STREET,DOVE CREEK,CO,81324,9706772237,7th Grade,12th Grade,Senior,0890,DOLORES COUNTY RE NO.2,300 or less,Rural
2217,DOLORES HUERTA PREPARATORY HIGH SCHOOL,2500 W 18TH STREET,PUEBLO,CO,81003,7195831030,9th Grade,12th Grade,Senior,2690,PUEBLO CITY 60,"6,001 - 25,000",Urban-Suburban
2222,DOS RIOS ELEMENTARY SCHOOL,2201 34TH STREET,EVANS,CO,80620,9703481300,Preschool,5th Grade,Elementary,3120,GREELEY 6,"6,001 - 25,000",Urban-Suburban
2224,DOS RIOS ELEMENTARY SCHOOL,265 LINDEN AVE,GRAND JUNCTION,CO,81503,9702547910,Preschool,5th Grade,Elementary,2000,MESA COUNTY VALLEY 51,"6,001 - 25,000",Urban-Suburban
2226,CASTLE ROCK MIDDLE SCHOOL,2575 MEADOWS BOULEVARD,CASTLE ROCK,CO,80109,3033871300,7th Grade,8th Grade,Middle,0900,DOUGLAS COUNTY RE 1,"6,001 - 25,000",Denver Metro
2230,DOUGLAS COUNTY HIGH SCHOOL,2842 FRONT STREET,CASTLE ROCK,CO,80104,3033871000,9th Grade,12th Grade,Senior,0900,DOUGLAS COUNTY RE 1,"6,001 - 25,000",Denver Metro
2232,ROCK RIDGE ELEMENTARY SCHOOL,400 NORTH HERITAGE ROAD,CASTLE ROCK,CO,80104,3033875150,Kindergarten,6th Grade,Elementary,0900,DOUGLAS COUNTY RE 1,"6,001 - 25,000",Denver Metro
2233,CHEROKEE TRAIL ELEMENTARY SCHOOL,17302 CLARKE FARMS DRIVE,PARKER,CO,80134,3033878125,Preschool,6th Grade,Elementary,0900,DOUGLAS COUNTY RE 1,"6,001 - 25,000",Denver Metro
2234,EAGLE RIDGE ELEMENTARY SCHOOL,7716 TIMBERLINE ROAD,LONE TREE,CO,80124,3033877075,Kindergarten,6th Grade,Elementary,0900,DOUGLAS COUNTY RE 1,"6,001 - 25,000",Denver Metro
2240,DOUGLASS ELEMENTARY SCHOOL,840  75TH STREET,BOULDER,CO,80303,7205615541,Kindergarten,5th Grade,Elementary,0480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
2248,DOUGLASS VALLEY ELEMENTARY SCHOOL,4610 DOUGLASS DRIVE,USAF ACADEMY,CO,80840,7192344200,Kindergarten,5th Grade,Elementary,1040,ACADEMY 20,"6,001 - 25,000",Urban-Suburban
2258,DOULL ELEMENTARY SCHOOL,2520 SOUTH UTICA STREET,DENVER,CO,80219,7204248000,Preschool,5th Grade,Elementary,0880,DENVER COUNTY 1,"Over 25,000",Denver Metro
2288,DRAKE JUNIOR HIGH SCHOOL,12550 WEST 52ND AVENUE,ARVADA,CO,80002,3039821510,7th Grade,8th Grade,Middle,1420,JEFFERSON COUNTY R-1,"Over 25,000",Denver Metro
2292,DRY CREEK ELEMENTARY SCHOOL,7686 EAST HINSDALE AVENUE,ENGLEWOOD,CO,80112,7205543300,Preschool,5th Grade,Elementary,0130,CHERRY CREEK 5,"Over 25,000",Denver Metro
2297,DUAL IMMERSION ACADEMY SCHOOL,552 A WEST MAIN STREET,GRAND JUNCTION,CO,81501,9702546070,Preschool,5th Grade,Elementary,2000,MESA COUNTY VALLEY 51,"6,001 - 25,000",Urban-Suburban
2298,DUNN ELEMENTARY SCHOOL,501 SOUTH WASHINGTON,FORT COLLINS,CO,80521,9704884825,Kindergarten,5th Grade,Elementary,1550,POUDRE R-1,"6,001 - 25,000",Urban-Suburban
2300,DUNSTAN MIDDLE SCHOOL,1855 SOUTH WRIGHT STREET,LAKEWOOD,CO,80228,3039829270,7th Grade,8th Grade,Middle,1420,JEFFERSON COUNTY R-1,"Over 25,000",Denver Metro
2308,DUPONT ELEMENTARY SCHOOL,7970 KIMBERLY STREET,COMMERCE CITY,CO,80022,3032870189,Preschool,5th Grade,Elementary,0030,ADAMS COUNTY 14,"6,001 - 25,000",Denver Metro
2318,DURANGO HIGH SCHOOL,2390 MAIN AVENUE,DURANGO,CO,81301,9702591630,9th Grade,12th Grade,Senior,1520,DURANGO 9-R,"1,201 - 6,000",Outlying City
2322,DUTCH CREEK ELEMENTARY SCHOOL,7304 WEST ROXBURY PLACE,LITTLETON,CO,80128,3039824565,Kindergarten,6th Grade,Elementary,1420,JEFFERSON COUNTY R-1,"Over 25,000",Denver Metro
2328,EADS ELEMENTARY SCHOOL,900 MAINE STREET,EADS,CO,81036,7194382216,Preschool,5th Grade,Elementary,1430,EADS RE-1,301 - 600,Rural
2332,EADS MIDDLE SCHOOL,900 MAINE STREET,EADS,CO,81036,7194382216,6th Grade,8th Grade,Middle,1430,EADS RE-1,301 - 600,Rural
2336,EADS HIGH SCHOOL,210 WEST 10 STREET,EADS,CO,81036,7194382214,9th Grade,12th Grade,Senior,1430,EADS RE-1,301 - 600,Rural
2338,EAGLE ACADEMY,9375 CRESTHILL LANE,HIGHLANDS RANCH,CO,80130,3033872700,9th Grade,12th Grade,Senior,0900,DOUGLAS COUNTY RE 1,"6,001 - 25,000",Denver Metro
2340,EAGLE COUNTY CHARTER ACADEMY,1105 MILLER RANCH ROAD,EDWARDS,CO,81632,9709260656,Kindergarten,8th Grade,Elementary,0910,EAGLE COUNTY RE 50,"1,201 - 6,000",Outlying Town
2343,EAGLE CREST ELEMENTARY SCHOOL,4444 CLOVER BASIN DRIVE,LONGMONT,CO,80503,3034856073,Preschool,5th Grade,Elementary,0470,ST VRAIN VALLEY RE 1J,"6,001 - 25,000",Denver Metro
2346,EAGLE VALLEY ELEMENTARY SCHOOL,737 EAST 3RD STREET,EAGLE,CO,81631,9703286981,Kindergarten,5th Grade,Elementary,0910,EAGLE COUNTY RE 50,"1,201 - 6,000",Outlying Town
2350,EAGLE VALLEY HIGH SCHOOL,641 VALLEY ROAD,GYPSUM,CO,81637,9703288960,9th Grade,12th Grade,Senior,0910,EAGLE COUNTY RE 50,"1,201 - 6,000",Outlying Town
2355,EAGLE VALLEY MIDDLE SCHOOL,747 EAST 3RD STREET,EAGLE,CO,81631,9703286224,6th Grade,8th Grade,Middle,0910,EAGLE COUNTY RE 50,"1,201 - 6,000",Outlying Town
2357,EAGLECREST HIGH SCHOOL,5100 SOUTH PICADILLY STREET,CENTENNIAL,CO,80015,7208861000,9th Grade,12th Grade,Senior,0130,CHERRY CREEK 5,"Over 25,000",Denver Metro
2358,EAGLEVIEW MIDDLE SCHOOL,1325 VINDICATOR DRIVE,COLORADO SPRINGS,CO,80919,7192343400,6th Grade,8th Grade,Middle,1040,ACADEMY 20,"6,001 - 25,000",Urban-Suburban
2361,EAGLEVIEW ELEMENTARY SCHOOL,4601 SUMMIT GROVE PARKWAY,THORNTON,CO,80241,7209725760,Kindergarten,5th Grade,Elementary,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
2364,EAGLETON ELEMENTARY SCHOOL,880 HOOKER STREET,DENVER,CO,80204,7204247930,Preschool,5th Grade,Elementary,0880,DENVER COUNTY 1,"Over 25,000",Denver Metro
2373,EARLY CHILDHOOD CENTER,775 YAMPA AVENUE,CRAIG,CO,81625,9708247457,Preschool,Preschool,Elementary,2020,MOFFAT COUNTY RE:NO 1,"1,201 - 6,000",Outlying City
2374,EAST ELEMENTARY SCHOOL,600 TEXAS AVENUE,CRAIG,CO,81625,9708246042,Preschool,5th Grade,Elementary,2020,MOFFAT COUNTY RE:NO 1,"1,201 - 6,000",Outlying City
2376,EAST GRAND MIDDLE SCHOOL,251 WEST DIAMOND,GRANBY,CO,80446,9708873382,6th Grade,8th Grade,Middle,1350,EAST GRAND 2,601 - 1.200,Outlying Town
2382,EAST ELEMENTARY SCHOOL,5933 SOUTH FAIRFIELD STREET,LITTLETON,CO,80120,3033474450,Kindergarten,5th Grade,Elementary,0140,LITTLETON 6,"6,001 - 25,000",Denver Metro
2384,EAST MIDDLE SCHOOL,1275 FRASER ST,AURORA,CO,80011,3033400660,6th Grade,8th Grade,Middle,0180,ADAMS-ARAPAHOE 28J,"Over 25,000",Denver Metro
2392,EAST MIDDLE SCHOOL,830 GUNNISON AVE,GRAND JUNCTION,CO,81501,9702545020,6th Grade,8th Grade,Middle,2000,MESA COUNTY VALLEY 51,"6,001 - 25,000",Urban-Suburban
2394,EAST HIGH SCHOOL,9 MAC NEIL ROAD,PUEBLO,CO,81001,7195497222,9th Grade,12th Grade,Senior,2690,PUEBLO CITY 60,"6,001 - 25,000",Urban-Suburban
2398,EAST HIGH SCHOOL,1545 DETROIT STREET,DENVER,CO,80206,7204238300,9th Grade,12th Grade,Senior,0880,DENVER COUNTY 1,"Over 25,000",Denver Metro
2399,EAGLE RIDGE ACADEMY,3551 SOUTHERN STREET,BRIGHTON,CO,80601,3033454380,9th Grade,12th Grade,Senior,0040,BRIGHTON 27J,"1,201 - 6,000",Denver Metro
2402,POLSTON ELEMENTARY SCHOOL,6935 STATE HIGHWAY 17,ALAMOSA,CO,81101,7195896875,Kindergarten,1st Grade,Elementary,0100,ALAMOSA RE-11J,"1,201 - 6,000",Outlying City
2410,TARVER ELEMENTARY SCHOOL,3500 SUMMIT GROVE PARKWAY,THORNTON,CO,80241,7209725640,Kindergarten,5th Grade,Elementary,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
2414,EAST MEMORIAL ELEMENTARY SCHOOL,614 EAST 20TH STREET,GREELEY,CO,80631,9703481400,Preschool,5th Grade,Elementary,3120,GREELEY 6,"6,001 - 25,000",Urban-Suburban
2428,EASTRIDGE COMMUNITY ELEMENTARY SCHOOL,11777 EAST WESLEY AVENUE,AURORA,CO,80014,7207472200,Preschool,5th Grade,Elementary,0130,CHERRY CREEK 5,"Over 25,000",Denver Metro
2438,EVA R BACA ELEMENTARY SCHOOL,2800 EAST 17TH STREET,PUEBLO,CO,81001,7195497530,Preschool,5th Grade,Elementary,2690,PUEBLO CITY 60,"6,001 - 25,000",Urban-Suburban
2448,EATON ELEMENTARY SCHOOL,25 CHEYENNE,EATON,CO,80615,9704543331,Preschool,2nd Grade,Elementary,3085,EATON RE-2,"1,201 - 6,000",Outlying Town
2452,EATON MIDDLE SCHOOL,225 JUNIPER,EATON,CO,80615,9704543358,6th Grade,8th Grade,Middle,3085,EATON RE-2,"1,201 - 6,000",Outlying Town
2456,EATON HIGH SCHOOL,114 PARK,EATON,CO,80615,9704543374,9th Grade,12th Grade,Senior,3085,EATON RE-2,"1,201 - 6,000",Outlying Town
2481,ECKHART ELEMENTARY SCHOOL,1021 PIERCE STREET,TRINIDAD,CO,81082,7198466995,Kindergarten,1st Grade,Elementary,1580,TRINIDAD 1,"1,201 - 6,000",Outlying City
2496,EDGEWATER ELEMENTARY SCHOOL,5570 WEST 24TH AVENUE,EDGEWATER,CO,80214,3039826050,Preschool,6th Grade,Elementary,1420,JEFFERSON COUNTY R-1,"Over 25,000",Denver Metro
2504,EDISON ACADEMY,14550 EDISON ROAD,YODER,CO,80864,7194783000,Kindergarten,12th Grade,Senior,1120,EDISON 54 JT,300 or less,Rural
2506,EDISON ELEMENTARY SCHOOL,3350 QUITMAN STREET,DENVER,CO,80212,7204247780,Preschool,5th Grade,Elementary,0880,DENVER COUNTY 1,"Over 25,000",Denver Metro
2510,EDISON ELEMENTARY SCHOOL,3125 NORTH HANCOCK AVENUE,COLORADO SPRINGS,CO,80907,7193282800,Preschool,5th Grade,Elementary,1010,COLORADO SPRINGS 11,"Over 25,000",Urban-Suburban
2514,EDISON ELEMENTARY SCHOOL,14550 EDISON ROAD,YODER,CO,80864,7194782125,Preschool,5th Grade,Elementary,1120,EDISON 54 JT,300 or less,Rural
2522,HAYDEN VALLEY ELEMENTARY SCHOOL,300 BREEZE BASIN BLVD.,HAYDEN,CO,81639,9702763756,Preschool,5th Grade,Elementary,2760,HAYDEN RE-1,301 - 600,Outlying Town
2524,EDITH WOLFORD ELEMENTARY SCHOOL,13710 BLACK FOREST ROAD,COLORADO SPRINGS,CO,80908,7192344300,Preschool,5th Grade,Elementary,1040,ACADEMY 20,"6,001 - 25,000",Urban-Suburban
2526,EDISON JUNIOR-SENIOR HIGH SCHOOL,14550 EDISON ROAD,YODER,CO,80864,7194782125,6th Grade,12th Grade,Senior,1120,EDISON 54 JT,300 or less,Rural
2528,NIKOLA TESLA EDUCATION OPPORTUNITY CENTER,2560 INTERNATIONAL CIRCLE,COLORADO SPRINGS,CO,80910,7195202701,6th Grade,12th Grade,Senior,1010,COLORADO SPRINGS 11,"Over 25,000",Urban-Suburban
2530,EDWARDS ELEMENTARY SCHOOL,0022 MEILE LANE,EDWARDS,CO,81632,9703282970,Kindergarten,5th Grade,Elementary,0910,EAGLE COUNTY RE 50,"1,201 - 6,000",Outlying Town
2550,EIBER ELEMENTARY SCHOOL,1385 INDEPENDENCE STREET,LAKEWOOD,CO,80215,3039826406,Kindergarten,6th Grade,Elementary,1420,JEFFERSON COUNTY R-1,"Over 25,000",Denver Metro
2552,EISENHOWER ELEMENTARY SCHOOL,1220 EISENHOWER DRIVE,BOULDER,CO,80303,7205616700,Kindergarten,5th Grade,Elementary,0480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
2570,ELBERT ELEMENTARY SCHOOL,24489 MAIN STREET,ELBERT,CO,80106,3036483030,Preschool,6th Grade,Elementary,0950,ELBERT 200,300 or less,Rural
2572,LEGACY ACADEMY,1975 LEGACY CIRCLE,ELIZABETH,CO,80107,3036462636,Kindergarten,8th Grade,Elementary,0920,ELIZABETH C-1,"1,201 - 6,000",Rural
2573,ELK CREEK ELEMENTARY,804 WEST MAIN STREET,NEW CASTLE,CO,81647,9706656900,Preschool,4th Grade,Elementary,1195,GARFIELD RE-2,"1,201 - 6,000",Outlying Town
2574,ELBERT JUNIOR-SENIOR HIGH SCHOOL,24489 MAIN STREET,ELBERT,CO,80106,3036483030,7th Grade,12th Grade,Senior,0950,ELBERT 200,300 or less,Rural
2576,CHERRY DRIVE ELEMENTARY SCHOOL,11500 CHERRY DRIVE,THORNTON,CO,80233,7209725300,Kindergarten,5th Grade,Elementary,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
2578,SKYVIEW ELEMENTARY SCHOOL,5021 EAST 123RD AVENUE,THORNTON,CO,80241,7209725620,Kindergarten,5th Grade,Elementary,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
2580,HUNTERS GLEN ELEMENTARY SCHOOL,13222 CORONA STREET,THORNTON,CO,80241,7209725440,Kindergarten,5th Grade,Elementary,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
2582,ROCKY MOUNTAIN ELEMENTARY SCHOOL,3350 WEST 99TH AVENUE,WESTMINSTER,CO,80030,7209725600,Kindergarten,5th Grade,Elementary,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
2584,RIVERDALE ELEMENTARY SCHOOL,10724 ELM DRIVE,THORNTON,CO,80233,7209725580,Kindergarten,5th Grade,Elementary,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
2589,ELDORADO K-8 SCHOOL,3351 SOUTH INDIANA STREET,SUPERIOR,CO,80027,7205614400,Kindergarten,8th Grade,Elementary,0480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
2604,ELIZABETH MIDDLE SCHOOL,34427 COUNTY ROAD 13,ELIZABETH,CO,80107,3036464520,6th Grade,8th Grade,Middle,0920,ELIZABETH C-1,"1,201 - 6,000",Rural
2608,ELIZABETH HIGH SCHOOL,34500 COUNTY ROAD 13,ELIZABETH,CO,80107,3036464616,9th Grade,12th Grade,Senior,0920,ELIZABETH C-1,"1,201 - 6,000",Rural
2616,ELK CREEK ELEMENTARY SCHOOL,13304 SOUTH U S HIGHWAY 285,PINE,CO,80470,3039822900,Kindergarten,5th Grade,Elementary,1420,JEFFERSON COUNTY R-1,"Over 25,000",Denver Metro
2618,ELKHART ELEMENTARY SCHOOL,1020 EAGLE ST,AURORA,CO,80011,3033403050,Kindergarten,5th Grade,Elementary,0180,ADAMS-ARAPAHOE 28J,"Over 25,000",Denver Metro
2620,FOUNTAIN INTERNATIONAL MAGNET SCHOOL,925 NORTH GLENDALE AVENUE,PUEBLO,CO,81001,7195497535,Preschool,3rd Grade,Elementary,2690,PUEBLO CITY 60,"6,001 - 25,000",Urban-Suburban
2638,ELLICOTT ELEMENTARY SCHOOL,399 SOUTH ELLICOTT HIGHWAY,ELLICOTT,CO,80808,7196832700,Preschool,5th Grade,Elementary,1050,ELLICOTT 22,601 - 1.200,Rural
2640,ELLICOTT MIDDLE SCHOOL,350 SOUTH ELLICOTT HIGHWAY,ELLICOTT,CO,80808,7196832700,6th Grade,8th Grade,Middle,1050,ELLICOTT 22,601 - 1.200,Rural
2642,ELLICOTT SENIOR HIGH SCHOOL,375 SOUTH ELLICOTT HIGHWAY,ELLICOTT,CO,80808,7196832700,9th Grade,12th Grade,Senior,1050,ELLICOTT 22,601 - 1.200,Rural
2652,ELLIS ELEMENTARY SCHOOL,1651 SOUTH DAHLIA STREET,DENVER,CO,80222,7204247700,Preschool,5th Grade,Elementary,0880,DENVER COUNTY 1,"Over 25,000",Denver Metro
2656,ELDORADO ELEMENTARY SCHOOL,1305 TIMBERVALE TRAIL,HIGHLANDS RANCH,CO,80126,3033876325,Preschool,6th Grade,Elementary,0900,DOUGLAS COUNTY RE 1,"6,001 - 25,000",Denver Metro
2702,EMERALD ELEMENTARY SCHOOL,755 W. ELMHURST PLACE,BROOMFIELD,CO,80020,7205618500,Preschool,5th Grade,Elementary,0480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
2724,NEW EMERSON SCHOOL AT COLUMBUS,2660 UNAWEEP AVE,GRAND JUNCTION,CO,81503,9702546500,Kindergarten,5th Grade,Elementary,2000,MESA COUNTY VALLEY 51,"6,001 - 25,000",Urban-Suburban
2726,EMILY GRIFFITH OPPORTUNITY SCHOOL,1250 WELTON STREET,DENVER,CO,80204,7204234700,9th Grade,12th Grade,Senior,0880,DENVER COUNTY 1,"Over 25,000",Denver Metro
2746,ENGLEWOOD HIGH SCHOOL,3800 SOUTH LOGAN STREET,ENGLEWOOD,CO,80113,3038062266,9th Grade,12th Grade,Senior,0120,ENGLEWOOD 1,"1,201 - 6,000",Denver Metro
2750,ENGLEWOOD LEADERSHIP ACADEMY,3800 S. LOGAN,ENGLEWOOD,CO,80113,3038062266,6th Grade,9th Grade,Middle,0120,ENGLEWOOD 1,"1,201 - 6,000",Denver Metro
2752,ENGLEWOOD MIDDLE SCHOOL,300 WEST CHENANGO,ENGLEWOOD,CO,80110,3037817817,6th Grade,8th Grade,Middle,0120,ENGLEWOOD 1,"1,201 - 6,000",Denver Metro
2755,VENTURE PREP,2540 HOLLY STREET,DENVER,CO,80207,3038930805,6th Grade,11th Grade,Senior,0880,DENVER COUNTY 1,"Over 25,000",Denver Metro
2758,ERIE ELEMENTARY SCHOOL,4137 E COUNTY LINE RD.,ERIE,CO,80516,3038283395,Preschool,5th Grade,Elementary,0470,ST VRAIN VALLEY RE 1J,"6,001 - 25,000",Denver Metro
2760,ERIE MIDDLE SCHOOL,650 MAIN STREET,ERIE,CO,80516,3038283391,6th Grade,8th Grade,Middle,0470,ST VRAIN VALLEY RE 1J,"6,001 - 25,000",Denver Metro
2761,ERIE HIGH SCHOOL,3180 COUNTY ROAD 5,ERIE,CO,80516,3038284213,9th Grade,12th Grade,Senior,0470,ST VRAIN VALLEY RE 1J,"6,001 - 25,000",Denver Metro
2788,ESTES PARK OPTIONS SCHOOL,1575 SOUTH ST. VRAIN AVENUE,ESTES PARK,CO,80157,9705862361,Kindergarten,12th Grade,Senior,1570,PARK (ESTES PARK) R-3,"1,201 - 6,000",Outlying Town
2789,ESCUELA TLATELOLCO SCHOOL,2949 NORTH FEDERAL BOULEVARD,DENVER,CO,80211,3039648993,Kindergarten,12th Grade,Senior,0880,DENVER COUNTY 1,"Over 25,000",Denver Metro
2790,ESTES PARK K-5 SCHOOL,1505 BRODIE AVENUE,ESTES PARK,CO,80517,9705867406,Preschool,5th Grade,Elementary,1570,PARK (ESTES PARK) R-3,"1,201 - 6,000",Outlying Town
2792,ESTES PARK MIDDLE SCHOOL,1500 MANFORD AVENUE,ESTES PARK,CO,80517,9705864439,6th Grade,8th Grade,Middle,1570,PARK (ESTES PARK) R-3,"1,201 - 6,000",Outlying Town
2794,ESTES PARK HIGH SCHOOL,1600 MANFORD AVENUE,ESTES PARK,CO,80517,9705865321,9th Grade,12th Grade,Senior,1570,PARK (ESTES PARK) R-3,"1,201 - 6,000",Outlying Town
2799,EXCEL ACADEMY CHARTER SCHOOL,11500 W. 84TH AVE,ARVADA,CO,80005,3034672295,Kindergarten,12th Grade,Senior,1420,JEFFERSON COUNTY R-1,"Over 25,000",Denver Metro
2800,EXPLORER ELEMENTARY SCHOOL,4190 BARDOT DRIVE,COLORADO SPRINGS,CO,80920,7192344400,Preschool,5th Grade,Elementary,1040,ACADEMY 20,"6,001 - 25,000",Urban-Suburban
2804,EUCLID MIDDLE SCHOOL,777 WEST EUCLID AVENUE,LITTLETON,CO,80120,3033477800,6th Grade,8th Grade,Middle,0140,LITTLETON 6,"6,001 - 25,000",Denver Metro
2818,EVANS ELEMENTARY SCHOOL,108 LA VETA AVENUE,ALAMOSA,CO,81101,7195893684,4th Grade,5th Grade,Elementary,0100,ALAMOSA RE-11J,"1,201 - 6,000",Outlying City
2820,EVERITT MIDDLE SCHOOL,3900 KIPLING STREET,WHEAT RIDGE,CO,80033,3039821580,7th Grade,8th Grade,Middle,1420,JEFFERSON COUNTY R-1,"Over 25,000",Denver Metro
2832,EVERGREEN MIDDLE SCHOOL,2059 HIWAN DRIVE,EVERGREEN,CO,80439,3039825020,6th Grade,8th Grade,Middle,1420,JEFFERSON COUNTY R-1,"Over 25,000",Denver Metro
2836,EVERGREEN HIGH SCHOOL,29300 BUFFALO ROAD,EVERGREEN,CO,80439,3039825140,9th Grade,12th Grade,Senior,1420,JEFFERSON COUNTY R-1,"Over 25,000",Denver Metro
2837,EARLY COLLEGE HIGH SCHOOL AT ARVADA,4905 WEST 60TH AVENUE,ARVADA,CO,80003,3039355473,6th Grade,12th Grade,Senior,8001,Charter School Institute,#N/A,#N/A
2840,EXPEDITIONARY LEARNING SCHOOL,1700 SOUTH HOLLY STREET,DENVER,CO,80222,3037592076,Kindergarten,12th Grade,Senior,9130,BOCES,#N/A,#N/A
2850,UNIVERSITY SCHOOLS,6525 18TH STREET,GREELEY,CO,80634,9703302221,Kindergarten,12th Grade,Senior,3120,GREELEY 6,"6,001 - 25,000",Urban-Suburban
2856,FAIRMONT K-8 SCHOOL,520 WEST 3RD AVENUE,DENVER,CO,80223,7204247620,Preschool,8th Grade,Elementary,0880,DENVER COUNTY 1,"Over 25,000",Denver Metro
2866,FAIRMOUNT ELEMENTARY SCHOOL,15975 WEST 50TH AVENUE,GOLDEN,CO,80403,3039825422,Kindergarten,6th Grade,Elementary,1420,JEFFERSON COUNTY R-1,"Over 25,000",Denver Metro
2876,FAIRVIEW ELEMENTARY SCHOOL,7826 FAIRVIEW DRIVE,DENVER,CO,80221,3034281405,Preschool,5th Grade,Elementary,0070,WESTMINSTER 50,"6,001 - 25,000",Denver Metro
2877,FALCON VIRTUAL ACADEMY,10850 EAST WOODMEN ROAD,FALCON,CO,80831,7194951100,Kindergarten,12th Grade,Senior,1110,FALCON 49,"1,201 - 6,000",Urban-Suburban
2880,FAIRVIEW ELEMENTARY SCHOOL,2715 WEST 11TH AVENUE,DENVER,CO,80204,7204247540,Preschool,5th Grade,Elementary,0880,DENVER COUNTY 1,"Over 25,000",Denver Metro
2892,FAIRVIEW HIGH SCHOOL,1515 GREENBRIAR BOULEVARD,BOULDER,CO,80305,7205613100,9th Grade,12th Grade,Senior,0480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
2897,FALCON CREEK MIDDLE SCHOOL,6100 SOUTH GENOA STREET,AURORA,CO,80016,7208867600,6th Grade,8th Grade,Middle,0130,CHERRY CREEK 5,"Over 25,000",Denver Metro
2902,FALCON ELEMENTARY SCHOOL,12050 FALCON HIGHWAY,FALCON,CO,80831,7194952256,Preschool,5th Grade,Elementary,1110,FALCON 49,"1,201 - 6,000",Urban-Suburban
2906,FALCON MIDDLE SCHOOL,1199755 TOWNER AVENUE,PEYTON,CO,80831,7194955232,6th Grade,8th Grade,Middle,1110,FALCON 49,"1,201 - 6,000",Urban-Suburban
2908,FALCON HIGH SCHOOL,10255 LAMBERT ROAD,PEYTON,CO,80831,7194952261,9th Grade,12th Grade,Senior,1110,FALCON 49,"1,201 - 6,000",Urban-Suburban
2912,FALL RIVER ELEMENTARY SCHOOL,1400 DEERWOOD DRIVE,LONGMONT,CO,80501,7206527920,Preschool,5th Grade,Elementary,0470,ST VRAIN VALLEY RE 1J,"6,001 - 25,000",Denver Metro
2918,FEDERAL HEIGHTS ELEMENTARY SCHOOL,2500 W 96TH AVENUE,DENVER,CO,80221,7209725360,Kindergarten,5th Grade,Elementary,0020,ADAMS 12 FIVE STAR SCHOOLS,"Over 25,000",Denver Metro
2926,FIELD ELEMENTARY SCHOOL,5402 SOUTH SHERMAN WAY,LITTLETON,CO,80121,3033474475,Kindergarten,5th Grade,Elementary,0140,LITTLETON 6,"6,001 - 25,000",Denver Metro
2940,FIRESIDE ELEMENTARY SCHOOL,845 WEST DAHLIA,LOUISVILLE,CO,80027,7205617900,Preschool,5th Grade,Elementary,0480,BOULDER VALLEY RE 2,"Over 25,000",Denver Metro
2942,EARLY CHILDHOOD CENTER,18265 HIGHWAY 550,MONTROSE,CO,81403,9702495858,Preschool,Preschool,Elementary,2180,MONTROSE COUNTY RE-1J,"1,201 - 6,000",Outlying City
2944,FISHER'S PEAK ELEMENTARY SCHOOL,900 MOORE'S CANYON ROAD,TRINIDAD,CO,81082,7198462513,2nd Grade,5th Grade,Elementary,1580,TRINIDAD 1,"1,201 - 6,000",Outlying City
2945,FOUNDATIONS ACADEMY,340 SOUTH 45TH AVENUE,BRIGHTON,CO,80601,3036599519,Kindergarten,5th Grade,Elementary,0040,BRIGHTON 27J,"1,201 - 6,000",Denver Metro
2946,FITZMORRIS ELEMENTARY SCHOOL,6250 INDEPENDENCE STREET,ARVADA,CO,80004,3039821640,Preschool,6th Grade,Elementary,1420,JEFFERSON COUNTY R-1,"Over 25,000",Denver Metro
2951,AURORA PUBLIC SCHOOLS CHILD DEVELOPMENT CENTER,1420 LAREDO ST,AURORA,CO,80011,3033649371,Preschool,Preschool,Elementary,0180,ADAMS-ARAPAHOE 28J,"Over 25,000",Denver Metro
2952,MAMMOTH HEIGHTS ELEMENTARY,9500 STONEGATE PARKWAY,PARKER,CO,80134,3033878385,Kindergarten,6th Grade,Elementary,0900,DOUGLAS COUNTY RE 1,"6,001 - 25,000",Denver Metro
2953,STONE MOUNTAIN ELEMENTARY,10625 WEATHERSFIELD WAY,HIGHLANDS RANCH,CO,80129,7206418117,Kindergarten,6th Grade,Elementary,0900,DOUGLAS COUNTY RE 1,"6,001 - 25,000",Denver Metro
2954,ROXBOROUGH INTERMEDIATE,7370 VILLAGE CIRCLE EAST,LITTLETON,CO,80125,3033876005,3rd Grade,6th Grade,Elementary,0900,DOUGLAS COUNTY RE 1,"6,001 - 25,000",Denver Metro
