SCHOOLNAME,DISTrictNUMBER,DISTRICTNAME,EMH,EMH_Combined,SCHOOLNUMBER,AEC_10,Charter,Online,INITIAL_PlanType,FINAL_PlanType,Notes,EMH_2lvl,LT100pnts,School_Grade,rank_tot,Overall_ACH_Grade,Read_Ach_Grade,Math_Ach_Grade,Write_Ach_Grade,Sci_Ach_Grade,Overall_Weighted_Growth_Grade,Read_Growth_Grade,Math_Growth_Grade,Write_Growth_Grade,SPF_PS_IND_GRAD_RATE
PARADOX VALLEY CHARTER SCHOOL,2190,WEST END RE-2,E,,6718,0,1,0,,,,1,0,9,238,,8,8,7,,9,6,9,7,
CENTRAL HIGH SCHOOL,2000,MESA COUNTY VALLEY 51,H,,1450,0,0,0,Performance Plan,Performance Plan,,2,0,6,239,6,6,6,6,7,6,6,7,6,77.400000000000006
ERIE ELEMENTARY SCHOOL,470,ST VRAIN VALLEY RE 1J,E,,2758,0,0,0,Performance Plan,Performance Plan,,1,0,9,240,7,9,7,6,6,10,12,7,9,
NEVIN PLATT MIDDLE SCHOOL,480,BOULDER VALLEY RE 2,M,,6224,0,0,0,Performance Plan,Performance Plan,,1,0,9,240,12,12,10,12,12,8,7,9,6,
PEAK TO PEAK CHARTER SCHOOL,480,BOULDER VALLEY RE 2,E,,6816,0,1,0,,,,1,0,9,240,11,12,12,9,10,9,7,7,10,
POLARIS EXPEDITIONARY LEARNING SCHOOL,1550,POUDRE R-1,H,,7104,0,0,0,,,,2,0,6,240,6,6,6,6,5,5,6,3,6,75
PRIMERO JUNIOR-SENIOR HIGH SCHOOL,1590,PRIMERO REORGANIZED 2,H,,7164,0,0,0,,,,2,0,6,240,6,6,6,6,6,5,6,3,6,85.2
CROWLEY COUNTY HIGH SCHOOL,770,CROWLEY COUNTY RE-1-J,H,,2058,0,0,0,Improvement Plan,Improvement Plan,,2,0,6,242,6,6,6,6,6,6,7,6,5,83.9
FREDERICK SENIOR HIGH SCHOOL,470,ST VRAIN VALLEY RE 1J,H,,3196,0,0,0,Improvement Plan,Improvement Plan,,2,0,6,242,6,6,6,6,6,6,6,6,6,79.5
LAURENE EDMONDSON ELEMENTARY SCHOOL,1560,THOMPSON R2-J,E,,5018,0,0,0,Performance Plan,Performance Plan,,1,0,9,243,7,6,8,8,6,9,6,9,10,
BATTLE MOUNTAIN HIGH SCHOOL,910,EAGLE COUNTY RE 50,H,,604,0,0,0,Improvement Plan,Improvement Plan,,2,0,6,244,6,6,7,6,6,6,6,6,6,83.4
TIMNATH ELEMENTARY SCHOOL,1550,POUDRE R-1,E,,8852,0,0,0,Performance Plan,Performance Plan,,1,0,9,244,8,8,9,8,7,10,11,9,10,
YUMA HIGH SCHOOL,3200,YUMA 1,H,,9799,0,0,0,Improvement Plan,Improvement Plan,,2,0,6,244,6,6,6,6,6,6,6,6,5,82.7
EAGLE VALLEY ELEMENTARY SCHOOL,910,EAGLE COUNTY RE 50,E,,2346,0,0,0,Performance Plan,Performance Plan,,1,0,9,245,6,6,8,6,9,9,9,9,8,
HIGHLINE ACADEMY CHARTER SCHOOL,880,DENVER COUNTY 1,M,,3987,0,1,0,,,,1,0,9,245,7,8,6,10,7,9,12,6,11,
WILLIAM SMITH HIGH SCHOOL,180,ADAMS-ARAPAHOE 28J,H,,8356,0,0,0,Improvement Plan,Improvement Plan,,2,0,6,246,6,6,6,6,5,9,9,9,7,22.2
COAL RIDGE HIGH SCHOOL,1195,GARFIELD RE-2,H,,65,0,0,0,Improvement Plan,Improvement Plan,,2,0,6,247,6,6,6,6,6,4,5,5,3,83.5
COYOTE HILLS ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,,243,0,0,0,Performance Plan,Performance Plan,,1,0,9,247,12,12,13,12,11,6,6,7,6,
DEER CREEK MIDDLE SCHOOL,1420,JEFFERSON COUNTY R-1,M,,2130,0,0,0,Performance Plan,Performance Plan,,1,0,9,247,9,9,8,10,10,7,6,9,6,
LAS ANIMAS HIGH SCHOOL,290,LAS ANIMAS RE-1,H,,4990,0,0,0,Improvement Plan,Improvement Plan,,2,0,6,247,6,6,5,6,5,6,6,7,5,70.5
SOUTH LAKEWOOD ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,8102,0,0,0,Performance Plan,Performance Plan,,1,0,9,247,7,7,6,7,8,10,9,9,11,
BRIGHTON HIGH SCHOOL,40,BRIGHTON 27J,H,,1022,0,0,0,Improvement Plan,Improvement Plan,,2,0,6,249,6,6,6,6,6,6,6,6,5,82
WELD CENTRAL SENIOR HIGH SCHOOL,3090,KEENESBURG RE-3(J),H,,1446,0,0,0,Improvement Plan,Improvement Plan,,2,0,6,249,6,6,6,6,5,5,6,6,3,83.7
FOUNTAIN-FORT CARSON HIGH SCHOOL,1000,FOUNTAIN 8,H,,3110,0,0,0,Improvement Plan,Improvement Plan,,2,0,6,249,6,6,6,6,6,3,3,3,5,91.6
MESA RIDGE HIGH SCHOOL,990,WIDEFIELD 3,H,,5841,0,0,0,Improvement Plan,Improvement Plan,,2,0,6,249,6,6,6,6,6,5,5,5,5,81.3
MORTENSEN ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,6133,0,0,0,Performance Plan,Performance Plan,,1,0,9,250,9,9,9,9,10,9,10,6,8,
WILLIAM (BILL) ROBERTS K-8 SCHOOL,880,DENVER COUNTY 1,M,,9623,0,0,0,,,,1,0,9,250,6,6,6,6,6,12,12,12,8,
ANIMAS VALLEY ELEMENTARY SCHOOL,1520,DURANGO 9-R,E,,225,0,0,0,Performance Plan,Performance Plan,,1,0,9,252,9,9,9,9,9,9,9,9,7,
ASBURY ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,,388,0,0,0,Performance Plan,Performance Plan,,1,0,9,252,7,6,9,7,8,9,9,10,6,
NEW EMERSON SCHOOL AT COLUMBUS,2000,MESA COUNTY VALLEY 51,E,,2724,0,0,0,Performance Plan,Performance Plan,,1,0,9,252,10,12,10,9,10,9,9,9,9,
LOUISVILLE ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,E,,5302,0,0,0,Performance Plan,Performance Plan,,1,0,9,252,11,12,10,9,12,8,6,7,9,
PRESTON MIDDLE SCHOOL,1550,POUDRE R-1,M,,7161,0,0,0,Performance Plan,Performance Plan,,1,0,9,252,10,10,9,11,9,9,6,11,6,
WALDEN ELEMENTARY SCHOOL,1410,NORTH PARK R-1,E,,9198,0,0,0,Performance Plan,Performance Plan,,1,0,9,252,7,6,9,6,10,12,9,9,13,
WEST DENVER PREP - LAKE CAMPUS,880,DENVER COUNTY 1,M,,9390,0,1,0,Performance Plan,Performance Plan,,1,0,9,252,,4,6,6,,13,10,13,13,
EXCEL ACADEMY CHARTER SCHOOL,1420,JEFFERSON COUNTY R-1,E,,2799,0,1,0,,,,1,0,9,252,9,8,9,8,9,8,7,10,6,
COLORADO CONNECTIONS ACADEMY,10,MAPLETON 1,H,,1796,0,0,0,,,,2,0,6,253,6,6,6,7,6,6,6,6,6,
MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,10,MAPLETON 1,H,,187,0,0,0,,,,2,0,6,254,5,5,5,5,5,9,9,9,8,47.6
SKYLINE HIGH SCHOOL,470,ST VRAIN VALLEY RE 1J,H,,7954,0,0,0,Improvement Plan,Improvement Plan,,2,0,6,255,6,6,6,6,6,5,6,5,3,77.7
MOFFAT SENIOR HIGH SCHOOL,2800,MOFFAT 2,H,,5958,0,0,0,Improvement Plan,Improvement Plan,,2,0,6,256,5,6,5,5,4,3,6,3,3,87.2
SOUTH HIGH SCHOOL,880,DENVER COUNTY 1,H,,8086,0,0,0,Improvement Plan,Improvement Plan,,2,0,6,256,3,3,5,3,3,9,9,7,8,61.8
MONTE VISTA SENIOR HIGH SCHOOL,2740,MONTE VISTA C-8,H,,6046,0,0,0,Improvement Plan,Improvement Plan,,2,0,6,258,6,6,6,6,6,5,2,6,5,86.6
MOUNTAIN VALLEY SENIOR HIGH SCHOOL,2790,MOUNTAIN VALLEY RE 1,H,,6146,0,0,0,Improvement Plan,Improvement Plan,,2,0,6,259,5,5,6,3,6,5,4,7,2,79.099999999999994
APPLETON ELEMENTARY SCHOOL,2000,MESA COUNTY VALLEY 51,E,,262,0,0,0,Performance Plan,Performance Plan,,1,0,9,260,6,6,7,6,7,12,9,9,13,
JEFFERSON CHARTER ACADEMY JUNIOR HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,M,,4404,0,1,0,Performance Plan,Performance Plan,,1,0,9,260,9,10,7,10,7,9,9,9,9,
THE VANGUARD SCHOOL (MIDDLE),8001,CHARTER SCHOOL INSTITUTE,M,,9051,0,1,0,Performance Plan,Performance Plan,,1,0,9,260,13,13,12,13,13,7,9,6,8,
BRANSON SCHOOL ONLINE,1750,BRANSON REORGANIZED 82,H,,948,0,0,1,,,,2,0,6,260,6,7,6,6,6,6,6,6,6,45.1
DE BEQUE UNDIVIDED HIGH SCHOOL,1980,DE BEQUE 49JT,H,,2126,0,0,0,,,,2,0,6,260,6,6,6,6,6,6,10,6,4,56
BURLINGTON HIGH SCHOOL,1500,BURLINGTON RE-6J,H,,1152,0,0,0,Improvement Plan,Improvement Plan,,2,0,6,262,6,6,6,6,6,3,5,2,2,92
THORNTON HIGH SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,H,,5816,0,0,0,Improvement Plan,Improvement Plan,,2,0,6,262,5,5,6,5,5,7,7,8,6,69.5
MOFFAT COUNTY HIGH SCHOOL,2020,MOFFAT COUNTY RE:NO 1,H,,5962,0,0,0,Improvement Plan,Improvement Plan,,2,0,6,262,6,6,6,6,6,5,3,6,6,83.8
THOMAS JEFFERSON HIGH SCHOOL,880,DENVER COUNTY 1,H,,8822,0,0,0,Improvement Plan,Improvement Plan,,2,0,6,262,6,6,6,6,6,6,9,6,6,71.599999999999994
EDWARDS ELEMENTARY SCHOOL,910,EAGLE COUNTY RE 50,E,,2530,0,0,0,Performance Plan,Performance Plan,,1,0,9,263,6,6,6,6,6,10,11,9,10,
KINARD CORE KNOWLEDGE MIDDLE SCHOOL,1550,POUDRE R-1,M,,4698,0,0,0,Performance Plan,Performance Plan,,1,0,9,263,12,12,10,12,12,7,6,7,6,
MONUMENT CHARTER ACADEMY,1080,LEWIS-PALMER 38,M,,5093,0,1,0,,,,1,0,9,265,12,12,10,12,12,7,6,6,8,
GREEN GABLES ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,3622,0,0,0,Performance Plan,Performance Plan,,1,0,9,266,7,7,7,6,9,11,12,12,7,
RYAN ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,7529,0,0,0,Performance Plan,Performance Plan,,1,0,9,266,9,9,9,9,8,9,11,7,9,
SIERRA HIGH SCHOOL,980,HARRISON 2,H,,7882,0,0,0,Improvement Plan,Improvement Plan,,2,0,6,266,5,5,5,5,4,6,6,6,6,80.2
WALNUT HILLS COMMUNITY ELEMENTARY SCHOOL,130,CHERRY CREEK 5,E,,9200,0,0,0,Performance Plan,Performance Plan,,1,0,9,266,10,9,10,9,9,9,10,9,9,
GREENWOOD ECE-8,880,DENVER COUNTY 1,M,,3647,0,0,0,,,,1,0,9,266,6,6,6,6,6,11,9,12,9,
AURORA QUEST K-8,180,ADAMS-ARAPAHOE 28J,M,,7232,0,0,0,,,,1,0,9,266,13,13,13,13,13,6,6,6,6,
GREELEY CENTRAL HIGH SCHOOL,3120,GREELEY 6,H,,3610,0,0,0,Improvement Plan,Improvement Plan,,2,0,6,267,5,4,5,5,5,6,5,7,3,72.400000000000006
OVERLAND HIGH SCHOOL,130,CHERRY CREEK 5,H,,6625,0,0,0,Improvement Plan,Improvement Plan,,2,0,6,268,5,5,6,6,6,6,8,6,6,75.599999999999994
BRIDGES,1180,ROARING FORK RE-1,H,,1006,0,0,0,Improvement Plan,Improvement Plan,,2,0,6,269,6,5,6,6,7,6,6,5,8,61.2
GREELEY WEST HIGH SCHOOL,3120,GREELEY 6,H,,3614,0,0,0,Improvement Plan,Improvement Plan,,2,0,6,270,6,6,6,6,5,6,6,6,5,67.599999999999994
WASSON HIGH SCHOOL,1010,COLORADO SPRINGS 11,H,,9298,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,2,0,5,270,4,4,5,4,4,5,5,5,5,67.2
HOLMES MIDDLE SCHOOL,1010,COLORADO SPRINGS 11,M,,4070,0,0,0,Performance Plan,Performance Plan,,1,0,9,271,9,10,8,10,9,9,9,10,7,
SAND CREEK ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,,7610,0,0,0,Performance Plan,Performance Plan,,1,0,9,271,10,9,10,10,9,9,9,6,10,
EDITH TETER ELEMENTARY SCHOOL,2610,PARK COUNTY RE-2,E,,8114,0,0,0,Performance Plan,Performance Plan,,1,0,9,271,9,8,9,9,10,8,6,6,10,
TRINIDAD HIGH SCHOOL,1580,TRINIDAD 1,H,,8906,0,0,0,Improvement Plan,Improvement Plan,,2,0,6,272,6,6,6,6,6,4,4,6,2,74.900000000000006
KIPP DENVER COLLEGIATE HIGH SCHOOL,880,DENVER COUNTY 1,H,,4730,0,1,0,Improvement Plan,Improvement Plan,,2,0,6,273,5,5,6,4,5,6,10,5,3,
CEDAR RIDGE ELEMENTARY SCHOOL,2700,PUEBLO COUNTY 70,E,,1377,0,0,0,Performance Plan,Performance Plan,,1,0,9,274,9,9,9,9,7,7,6,6,9,
PRITCHETT HIGH SCHOOL,240,PRITCHETT RE-3,H,,7180,0,0,0,Improvement Plan,Improvement Plan,,2,0,6,274,,4,4,4,,6,3,7,6,70
CORONADO ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,1876,0,0,0,Performance Plan,Performance Plan,,1,0,9,275,11,10,11,10,10,9,9,10,8,
SARGENT JUNIOR HIGH SCHOOL,2750,SARGENT RE-33J,M,,7668,0,0,0,Performance Plan,Performance Plan,,1,0,9,275,9,9,7,10,12,10,9,12,9,
SIERRA ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,7870,0,0,0,Performance Plan,Performance Plan,,1,0,9,275,10,10,9,11,8,9,9,7,9,
SOUTH HIGH SCHOOL,2690,PUEBLO CITY 60,H,,8082,0,0,0,Improvement Plan,Improvement Plan,,2,0,6,275,6,6,6,6,6,3,6,3,3,75.400000000000006
BANNING LEWIS RANCH ACADEMY,1110,FALCON 49,M,,555,0,1,0,,,,1,0,9,275,9,9,6,9,12,9,12,9,9,
NORTH PARK JUNIOR-SENIOR HIGH SCHOOL,1410,NORTH PARK R-1,M,,6358,0,0,0,,,,1,0,9,275,7,6,6,7,12,8,6,11,5,
SALIDA HIGH SCHOOL,500,SALIDA R-32,H,,7568,0,0,0,Improvement Plan,Improvement Plan,,2,0,5,276,6,6,7,6,6,2,1,5,1,86.9
MANZANOLA JUNIOR-SENIOR HIGH SCHOOL,2535,MANZANOLA 3J,H,,5506,0,0,0,,,,2,0,5,276,,2,5,5,,3,5,3,3,76.5
FORT MORGAN HIGH SCHOOL,2405,FORT MORGAN RE-3,H,,3078,0,0,0,Improvement Plan,Improvement Plan,,2,0,5,278,5,5,6,6,6,6,5,6,6,64.599999999999994
PRAIRIE VIEW HIGH SCHOOL,40,BRIGHTON 27J,H,,7129,0,0,0,Improvement Plan,Improvement Plan,,2,0,5,278,5,5,6,6,6,4,3,5,5,80.8
ROCKY FORD JUNIOR/SENIOR HIGH SCHOOL,2530,ROCKY FORD R-2,H,,7442,0,0,0,,,,2,0,5,278,5,5,4,5,5,6,6,6,8,67.099999999999994
STOBER ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,8276,0,0,0,Performance Plan,Performance Plan,,1,0,9,280,7,7,8,7,6,9,10,9,8,
ACADEMY CHARTER SCHOOL,900,DOUGLAS COUNTY RE 1,E,,11,0,1,0,,,,1,0,9,280,9,9,10,9,9,10,10,12,8,
ROOSEVELT HIGH SCHOOL,3110,JOHNSTOWN-MILLIKEN RE-5J,H,,7490,0,0,0,Improvement Plan,Improvement Plan,,2,0,5,281,6,6,6,6,6,4,1,6,4,73.900000000000006
ADAMS ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,30,0,0,0,Performance Plan,Performance Plan,,1,0,9,282,9,9,9,9,11,7,10,6,6,
LASLEY ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,5004,0,0,0,Performance Plan,Performance Plan,,1,0,9,282,6,6,6,6,5,9,10,9,9,
LONGMONT ESTATES ELEMENTARY SCHOOL,470,ST VRAIN VALLEY RE 1J,E,,5284,0,0,0,Performance Plan,Performance Plan,,1,0,9,282,9,9,9,9,8,8,7,6,10,
TWAIN ELEMENTARY SCHOOL,140,LITTLETON 6,E,,5574,0,0,0,Performance Plan,Performance Plan,,1,0,9,282,9,9,9,8,9,6,6,5,10,
RANGEVIEW HIGH SCHOOL,180,ADAMS-ARAPAHOE 28J,H,,7250,0,0,0,Improvement Plan,Improvement Plan,,2,0,5,282,6,5,6,6,6,7,8,6,6,67.5
ROONEY RANCH ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,7483,0,0,0,Performance Plan,Performance Plan,,1,0,9,282,9,10,10,9,7,9,9,10,6,
DILLON VALLEY ELEMENTARY SCHOOL,3000,SUMMIT RE-1,E,,8370,0,0,0,Performance Plan,Performance Plan,,1,0,9,282,5,4,6,5,6,12,12,9,12,
WEST JEFFERSON ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,9424,0,0,0,Performance Plan,Performance Plan,,1,0,9,282,9,9,9,9,10,6,5,6,6,
EAGLE COUNTY CHARTER ACADEMY,910,EAGLE COUNTY RE 50,M,,2340,0,1,0,,,,1,0,9,282,12,11,9,12,12,7,6,7,6,
KIPP SUNSHINE PEAK ACADEMY,880,DENVER COUNTY 1,M,,4732,0,1,0,,,,1,0,9,282,5,5,5,5,6,13,13,13,9,
ALAMOSA HIGH SCHOOL,100,ALAMOSA RE-11J,H,,118,0,0,0,Improvement Plan,Improvement Plan,,2,0,5,283,6,5,6,6,6,4,4,5,4,80.8
VENTURE PREP,880,DENVER COUNTY 1,H,,2755,0,1,0,,,,2,0,5,283,3,3,4,4,4,7,6,9,7,
ENGLEWOOD HIGH SCHOOL,120,ENGLEWOOD 1,H,,2746,0,0,0,Improvement Plan,Improvement Plan,,2,0,5,285,5,5,6,5,5,5,6,6,3,78
PUEBLO COUNTY HIGH SCHOOL,2700,PUEBLO COUNTY 70,H,,7208,0,0,0,Improvement Plan,Improvement Plan,,2,0,5,286,6,6,6,7,6,3,3,3,5,79.599999999999994
HINKLEY HIGH SCHOOL,180,ADAMS-ARAPAHOE 28J,H,,4024,0,0,0,Improvement Plan,Improvement Plan,,2,0,5,287,5,5,6,5,5,8,9,7,6,55.7
MITCHELL HIGH SCHOOL,1010,COLORADO SPRINGS 11,H,,5948,0,0,0,Improvement Plan,Improvement Plan,,2,0,5,288,5,5,6,5,5,6,6,6,6,71.5
RIDGE VIEW ACADEMY CHARTER SCHOOL,880,DENVER COUNTY 1,H,,40,1,1,0,Pending AEC SPF,AEC: Improvement Plan,,2,0,5,289,1,2,2,2,2,10,8,10,12,5.5
DOLORES HUERTA PREPARATORY HIGH SCHOOL,2690,PUEBLO CITY 60,H,,2217,0,1,0,Improvement Plan,Improvement Plan,,2,0,5,290,6,8,6,9,6,3,6,2,4,67.8
ACADEMY HIGH SCHOOL,10,MAPLETON 1,H,,309,0,0,0,Improvement Plan,Improvement Plan,,2,0,5,291,4,4,5,3,5,7,7,7,6,59.9
BENNETT ELEMENTARY SCHOOL,1550,POUDRE R-1,E,,766,0,0,0,Performance Plan,Performance Plan,,1,0,9,291,10,9,11,10,12,9,9,10,6,
GALETON ELEMENTARY SCHOOL,3085,EATON RE-2,E,,3286,0,0,0,Performance Plan,Performance Plan,,1,0,9,292,9,9,10,9,6,9,7,12,6,
AGUILAR JUNIOR-SENIOR HIGH SCHOOL,1620,AGUILAR REORGANIZED 6,H,,66,0,0,0,,,,2,0,5,292,3,3,3,4,3,7,9,6,6,72.099999999999994
COLORADO VIRTUAL ACADEMY (COVA),20,ADAMS 12 FIVE STAR SCHOOLS,H,,1752,0,1,1,,,,2,0,5,292,6,6,5,6,6,5,6,3,6,12
MESA ELEMENTARY SCHOOL,480,BOULDER VALLEY RE 2,E,,5838,0,0,0,Performance Plan,Performance Plan,,1,0,9,293,12,12,12,11,12,7,6,6,9,
WITT ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,9678,0,0,0,Performance Plan,Performance Plan,,1,0,9,293,7,7,7,6,6,9,6,9,9,
NORTHGLENN HIGH SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,H,,6402,0,0,0,Improvement Plan,Improvement Plan,,2,0,5,294,5,5,5,5,5,6,6,6,6,66.5
MONTEZUMA-CORTEZ HIGH SCHOOL,2035,MONTEZUMA-CORTEZ RE-1,H,,6026,0,0,0,Improvement Plan,Improvement Plan,,2,0,5,295,6,6,6,6,6,5,3,6,4,68.2
WEBER ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,9328,0,0,0,Performance Plan,Performance Plan,,1,0,9,295,8,7,9,7,9,9,9,9,8,
DOLORES ELEMENTARY SCHOOL,2055,DOLORES RE-4A,E,,2204,0,0,0,Performance Plan,Performance Plan,,1,0,9,296,7,8,8,7,6,8,6,9,9,
MAMMOTH HEIGHTS ELEMENTARY,900,DOUGLAS COUNTY RE 1,E,,2952,0,0,0,Performance Plan,Performance Plan,,1,0,9,296,9,9,10,9,6,9,7,9,9,
HACKBERRY HILL ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,3726,0,0,0,Performance Plan,Performance Plan,,1,0,9,296,9,9,10,9,12,9,10,6,7,
IGNACIO HIGH SCHOOL,1540,IGNACIO 11 JT,H,,4258,0,0,0,Improvement Plan,Improvement Plan,,2,0,5,296,4,5,5,4,3,5,5,5,3,59.2
MONTVIEW MATH & HEALTH SCIENCES ELEMENTARY SCHOOL,180,ADAMS-ARAPAHOE 28J,E,,6068,0,0,0,Performance Plan,Performance Plan,,1,0,9,296,6,4,7,5,6,12,8,13,9,
NORMANDY ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,6286,0,0,0,Performance Plan,Performance Plan,,1,0,9,296,12,12,12,12,10,8,6,7,9,
ACADEMIA ANA MARIE SANDOVAL,880,DENVER COUNTY 1,E,,6397,0,0,0,Performance Plan,Performance Plan,,1,0,9,296,6,6,6,6,7,11,9,10,10,
SILVERHEELS MIDDLE SCHOOL,2610,PARK COUNTY RE-2,M,,7891,0,0,0,Performance Plan,Performance Plan,,1,0,9,296,9,9,7,9,9,9,9,10,6,
SUMMIT VIEW ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,,8382,0,0,0,Performance Plan,Performance Plan,,1,0,9,296,11,10,10,12,9,9,9,7,9,
CORWIN INTERNATIONAL MAGNET SCHOOL,2690,PUEBLO CITY 60,E,,2096,0,0,0,,,,1,0,9,296,10,10,10,12,9,9,8,7,9,
JULESBURG HIGH SCHOOL,2862,JULESBURG RE-1,M,,4492,0,0,0,,,,1,0,9,296,9,9,7,9,8,9,9,7,11,
LA JUNTA JR/SR HIGH SCHOOL,2520,EAST OTERO R-1,H,,5015,0,0,0,,,,2,0,5,296,6,6,6,6,6,3,1,6,2,
ODYSSEY CHARTER ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,,6479,0,1,0,,,,1,0,9,296,9,7,9,9,9,9,12,3,12,
SOUTHWEST EARLY COLLEGE CHARTER SCHOOL,880,DENVER COUNTY 1,H,,8132,0,1,0,Improvement Plan,Improvement Plan,,2,0,5,298,5,5,5,5,5,6,6,6,6,30.1
MONTE VISTA ON-LINE ACADEMY,2740,MONTE VISTA C-8,H,,6520,0,0,1,,,,2,0,5,299,6,6,6,6,6,6,9,3,6,40.4
GLOBAL LEADERSHIP ACADEMY,10,MAPLETON 1,H,,263,0,0,0,,,,2,0,5,300,2,1,3,2,1,7,9,5,9,44.1
JOHN MALL HIGH SCHOOL,1390,HUERFANO RE-1,H,,9212,0,0,0,Improvement Plan,Improvement Plan,,2,0,5,301,5,6,5,5,2,2,3,1,5,84.6
CENTENNIAL HIGH SCHOOL,2690,PUEBLO CITY 60,H,,1402,0,0,0,Improvement Plan,Improvement Plan,,2,0,5,302,6,6,6,6,6,2,3,3,1,76.5
SHERIDAN HIGH SCHOOL,123,SHERIDAN 2,H,,7842,0,0,0,Improvement Plan,Improvement Plan,,2,0,5,302,3,3,5,4,4,6,6,7,7,33
FORT LUPTON HIGH SCHOOL,3140,WELD COUNTY S/D RE-8,H,,3070,0,0,0,Improvement Plan,Improvement Plan,,2,0,5,304,5,5,5,5,5,6,6,6,6,58.7
NIKOLA TESLA EDUCATION OPPORTUNITY CENTER,1010,COLORADO SPRINGS 11,A,MH,2528,1,0,0,Pending AEC SPF,AEC: Performance Plan,,2,0,5,305,,,,,,,,,,
CANON CITY HIGH SCHOOL,1140,CANON CITY RE-1,H,,1266,0,0,0,Improvement Plan,Improvement Plan,,2,0,5,306,6,6,6,6,6,2,1,3,3,74.400000000000006
JEFFERSON HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,,4422,0,0,0,Improvement Plan,Improvement Plan,,2,0,5,307,2,3,3,3,1,6,6,6,7,52.5
FLAGSTAFF CHARTER ACADEMY,470,ST VRAIN VALLEY RE 1J,E,,2964,0,1,0,,,,1,0,9,307,12,12,12,10,12,7,7,7,6,
FRONTIER HIGH SCHOOL,920,ELIZABETH C-1,H,,3236,1,0,0,Pending AEC SPF,AEC: Performance Plan,,2,0,5,308,1,2,1,2,1,6,9,5,6,50.4
LIMON JUNIOR-SENIOR HIGH SCHOOL,1790,LIMON RE-4J,M,,5136,0,0,0,,,,1,0,9,308,9,9,6,10,9,9,9,6,12,
AURORA CENTRAL HIGH SCHOOL,180,ADAMS-ARAPAHOE 28J,H,,1458,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,2,0,5,309,3,3,5,3,3,7,9,6,8,41.1
GLENWOOD SPRINGS MIDDLE SCHOOL,1180,ROARING FORK RE-1,M,,3464,0,0,0,Performance Plan,Performance Plan,,1,0,9,309,6,6,6,6,7,9,9,9,10,
PRAIRIE HILLS ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,,7155,0,0,0,Performance Plan,Performance Plan,,1,0,9,309,8,7,9,7,6,9,9,6,10,
SILVER CREEK ELEMENTARY,20,ADAMS 12 FIVE STAR SCHOOLS,E,,7795,0,0,0,Performance Plan,Performance Plan,,1,0,9,309,9,9,12,9,9,9,8,9,6,
WILDCAT MOUNTAIN ELEMENTARY SCHOOL,900,DOUGLAS COUNTY RE 1,E,,9592,0,0,0,Performance Plan,Performance Plan,,1,0,9,309,11,11,12,11,9,6,6,6,6,
ROSS MONTESSORI SCHOOL,8001,CHARTER SCHOOL INSTITUTE,M,,7512,0,1,0,,,,1,0,9,309,6,7,5,9,6,10,12,7,10,
EDCSD: COLORADO CYBER SCHOOL,900,DOUGLAS COUNTY RE 1,H,,5405,0,0,1,,,,2,0,4,310,5,5,5,5,5,1,1,1,5,16.3
VALLEY HIGH SCHOOL,3080,WELD COUNTY RE-1,H,,9032,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,2,0,5,311,6,6,6,6,6,1,3,2,2,77.3
ESCUELA TLATELOLCO SCHOOL,880,DENVER COUNTY 1,H,,2789,0,0,0,,,,2,0,5,312,2,3,1,3,1,7,6,6,10,32.9
EAST HIGH SCHOOL,2690,PUEBLO CITY 60,H,,2394,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,2,0,4,313,5,6,5,6,5,2,5,2,2,68
