School Name,District Number,District Name,EMH,EMH_combined,School Number,rate_at.5_chng_ach,rate_at.5_chng_growth,pct_pts_chnge_.5
MANHATTAN MIDDLE SCHOOL OF THE ARTS AND ACADEMICS,0480,BOULDER VALLEY RE 2,M,,1136,2,2,2
BURLINGTON ELEMENTARY SCHOOL,1500,BURLINGTON RE-6J,E,,1144,1,2,1
BURLINGTON ELEMENTARY SCHOOL,0470,ST VRAIN VALLEY RE 1J,E,,1148,2,2,2
BURLINGTON MIDDLE SCHOOL,1500,BURLINGTON RE-6J,E,EM,1150,3,2,3
BURLINGTON MIDDLE SCHOOL,1500,BURLINGTON RE-6J,M,EM,1150,1,3,3
BURLINGTON HIGH SCHOOL,1500,BURLINGTON RE-6J,H,,1152,2,3,2
BUENA VISTA ONLINE ACADEMY,0490,BUENA VISTA R-31,,,1154,,,
BUFFALO TRAIL ELEMENTARY SCHOOL,0130,CHERRY CREEK 5,E,,1155,2,2,2
BYERS ELEMENTARY SCHOOL,0190,BYERS 32J,E,,1168,3,2,3
BYERS JUNIOR-SENIOR HIGH SCHOOL,0190,BYERS 32J,H,MH,1176,3,3,3
BYERS JUNIOR-SENIOR HIGH SCHOOL,0190,BYERS 32J,M,MH,1176,2,3,3
CACHE LA POUDRE ELEMENTARY SCHOOL,1550,POUDRE R-1,E,,1186,2,2,3
CACHE LA POUDRE MIDDLE SCHOOL,1550,POUDRE R-1,M,,1190,2,1,1
CALHAN ELEMENTARY SCHOOL,0970,CALHAN RJ-1,E,,1210,2,1,1
CALHAN MIDDLE SCHOOL,0970,CALHAN RJ-1,M,,1215,2,3,3
CALHAN HIGH SCHOOL,0970,CALHAN RJ-1,H,,1218,3,2,2
CALICHE ELEMENTARY SCHOOL,1828,VALLEY RE-1,E,,1220,2,2,2
CALICHE JUNIOR-SENIOR HIGH SCHOOL,1828,VALLEY RE-1,H,MH,1224,1,2,2
CALICHE JUNIOR-SENIOR HIGH SCHOOL,1828,VALLEY RE-1,M,MH,1224,3,2,2
CAMERON ELEMENTARY SCHOOL,3120,GREELEY 6,E,,1228,,,
CAMPBELL ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,1238,2,2,2
CENTENNIAL ELEMENTARY,0470,ST VRAIN VALLEY RE 1J,E,,1245,1,2,2
CAMPO ELEMENTARY SCHOOL,0270,CAMPO RE-6,E,,1248,,,
CAMPO UNDIVIDED HIGH SCHOOL,0270,CAMPO RE-6,H,,1252,,,1
CAMPO UNDIVIDED HIGH SCHOOL,0270,CAMPO RE-6,M,,1252,,,
CANON CITY MIDDLE SCHOOL,1140,CANON CITY RE-1,M,,1262,2,2,2
CANON CITY HIGH SCHOOL,1140,CANON CITY RE-1,H,,1266,2,2,2
CANYON CREEK ELEMENTARY SCHOOL,0130,CHERRY CREEK 5,E,,1273,3,3,3
CENTAURI MIDDLE SCHOOL,0550,NORTH CONEJOS RE-1J,M,,1276,2,2,3
CAPROCK ACADEMY,8001,CHARTER SCHOOL INSTITUTE,E,EM,1279,1,2,1
CAPROCK ACADEMY,8001,CHARTER SCHOOL INSTITUTE,M,EM,1279,1,1,1
CARBON VALLEY ACADEMY,0470,ST VRAIN VALLEY RE 1J,E,EMH,1284,3,2,1
CARBON VALLEY ACADEMY,0470,ST VRAIN VALLEY RE 1J,H,EMH,1284,2,,1
CARBON VALLEY ACADEMY,0470,ST VRAIN VALLEY RE 1J,M,EMH,1284,1,1,1
CARBONDALE MIDDLE SCHOOL,1180,ROARING FORK RE-1,E,EM,1296,3,2,2
CARBONDALE MIDDLE SCHOOL,1180,ROARING FORK RE-1,M,EM,1296,3,2,2
CARDINAL COMMUNITY ACADEMY CHARTER SCHOOL,3090,KEENESBURG RE-3(J),E,,1299,1,1,1
CARDINAL COMMUNITY ACADEMY CHARTER SCHOOL,3090,KEENESBURG RE-3(J),M,,1299,3,3,3
CARLILE ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,E,,1304,1,1,1
CARMEL MIDDLE SCHOOL,0980,HARRISON 2,M,,1306,3,2,3
CARMODY MIDDLE SCHOOL,1420,JEFFERSON COUNTY R-1,M,,1318,2,2,1
FRED N THOMAS CAREER EDUCATION CENTER,0880,DENVER COUNTY 1,H,,1319,3,2,2
CAMPBELL ELEMENTARY SCHOOL,1828,VALLEY RE-1,E,,1321,2,2,3
CARRIE MARTIN ELEMENTARY SCHOOL,1560,THOMPSON R-2J,E,,1323,3,3,3
CARSON ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,,1324,2,2,2
CARSON MIDDLE SCHOOL,1000,FOUNTAIN 8,M,,1332,2,3,2
ABRAMS ELEMENTARY SCHOOL,1000,FOUNTAIN 8,E,,1334,2,2,2
CARVER ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,,1340,2,2,2
CESAR CHAVEZ ACADEMY DENVER,0880,DENVER COUNTY 1,E,EM,1345,2,2,2
CESAR CHAVEZ ACADEMY DENVER,0880,DENVER COUNTY 1,M,EM,1345,2,2,2
CASEY MIDDLE SCHOOL,0480,BOULDER VALLEY RE 2,M,,1352,3,2,2
CASTLE ROCK ELEMENTARY SCHOOL,0900,DOUGLAS COUNTY RE 1,E,,1362,2,2,2
CASTLE VIEW HIGH SCHOOL,0900,DOUGLAS COUNTY RE 1,H,,1367,2,2,2
CEDAREDGE HIGH SCHOOL,0870,DELTA COUNTY 50(J),H,,1372,3,3,3
CEDAREDGE MIDDLE SCHOOL,0870,DELTA COUNTY 50(J),M,,1375,3,2,2
SCHOLARS TO LEADERS ACADEMY,8001,CHARTER SCHOOL INSTITUTE,E,EM,1376,2,2,2
SCHOLARS TO LEADERS ACADEMY,8001,CHARTER SCHOOL INSTITUTE,M,EM,1376,1,2,2
CEDAR RIDGE ELEMENTARY SCHOOL,2700,PUEBLO COUNTY 70,E,,1377,1,2,2
CENTAURI HIGH SCHOOL,0550,NORTH CONEJOS RE-1J,H,,1378,3,3,2
CENTAURUS HIGH SCHOOL,0480,BOULDER VALLEY RE 2,H,,1380,2,2,2
CENTENNIAL ACADEMY OF FINE ARTS EDUCATION,0140,LITTLETON 6,E,,1382,3,2,3
CENTENNIAL ELEMENTARY SCHOOL,0980,HARRISON 2,E,,1383,2,2,1
CENTENNIAL ELEMENTARY SCHOOL,3120,GREELEY 6,E,,1384,1,2,1
CENTENNIAL ELEMENTARY SCHOOL,1560,THOMPSON R-2J,E,,1385,2,2,3
TRINIDAD MIDDLE SCHOOL,1580,TRINIDAD 1,M,,1386,2,2,2
CENTENNIAL ELEMENTARY SCHOOL,0020,ADAMS 12 FIVE STAR SCHOOLS,E,,1388,2,1,1
CENTENNIAL MIDDLE SCHOOL,0480,BOULDER VALLEY RE 2,M,,1390,2,2,2
CENTENNIAL MIDDLE SCHOOL,2180,MONTROSE COUNTY RE-1J,M,,1392,2,2,3
CENTENNIAL JUNIOR HIGH SCHOOL,0640,CENTENNIAL R-1,M,,1396,2,3,3
CENTENNIAL HIGH SCHOOL,0640,CENTENNIAL R-1,H,,1398,2,2,2
CENTENNIAL K-8 SCHOOL,0880,DENVER COUNTY 1,E,EM,1400,2,2,2
CENTENNIAL K-8 SCHOOL,0880,DENVER COUNTY 1,M,EM,1400,2,2,2
CENTENNIAL HIGH SCHOOL,2690,PUEBLO CITY 60,H,,1402,3,3,3
HASKIN ELEMENTARY SCHOOL,2810,CENTER 26 JT,E,,1412,2,3,3
SKOGLUND MIDDLE SCHOOL,2810,CENTER 26 JT,M,,1416,1,2,1
CENTER HIGH SCHOOL,2810,CENTER 26 JT,H,,1420,2,3,2
CENTRAL ELEMENTARY SCHOOL,0030,ADAMS COUNTY 14,E,,1426,1,1,1
CENTRAL ELEMENTARY SCHOOL,0470,ST VRAIN VALLEY RE 1J,E,,1434,1,2,1
BEAVER VALLEY ELEMENTARY SCHOOL,2395,BRUSH RE-2(J),E,,1438,2,2,2
WELD CENTRAL SENIOR HIGH SCHOOL,3090,KEENESBURG RE-3(J),H,,1446,2,2,2
CENTRAL HIGH SCHOOL,2000,MESA COUNTY VALLEY 51,H,,1450,2,2,2
CENTRAL HIGH SCHOOL,2690,PUEBLO CITY 60,H,,1454,3,3,2
AURORA CENTRAL HIGH SCHOOL,0180,ADAMS-ARAPAHOE 28J,H,,1458,1,2,2
CENTURY ELEMENTARY SCHOOL,0180,ADAMS-ARAPAHOE 28J,E,,1470,2,2,3
CENTURY MIDDLE SCHOOL,0020,ADAMS 12 FIVE STAR SCHOOLS,M,,1480,2,2,1
CESAR CHAVEZ ACADEMY,2690,PUEBLO CITY 60,E,,1488,1,1,1
CESAR CHAVEZ ACADEMY,2690,PUEBLO CITY 60,M,,1488,1,1,2
CHAMBERLIN ACADEMY,0980,HARRISON 2,E,,1490,3,1,1
CHAPPELOW K-8 MAGNET SCHOOL,3120,GREELEY 6,E,,1500,2,2,2
CHAPPELOW K-8 MAGNET SCHOOL,3120,GREELEY 6,M,,1500,3,2,2
CHAPARRAL HIGH SCHOOL,0900,DOUGLAS COUNTY RE 1,H,,1503,2,2,2
GOODNIGHT ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,E,,1504,2,2,1
GOODNIGHT ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,M,,1504,2,2,1
CHAFFEE COUNTY HIGH SCHOOL,0490,BUENA VISTA R-31,H,,1508,1,,1
CHALLENGE SCHOOL,0130,CHERRY CREEK 5,E,,1510,2,2,2
CHALLENGE SCHOOL,0130,CHERRY CREEK 5,M,,1510,2,2,2
CHALLENGE TO EXCELLENCE CHARTER SCHOOL,0900,DOUGLAS COUNTY RE 1,E,,1512,3,2,2
CHALLENGE TO EXCELLENCE CHARTER SCHOOL,0900,DOUGLAS COUNTY RE 1,M,,1512,2,3,2
CHARLES HAY WORLD SCHOOL,0120,ENGLEWOOD 1,E,,1514,2,2,2
STARGATE CHARTER SCHOOL,0020,ADAMS 12 FIVE STAR SCHOOLS,E,,1519,2,2,2
STARGATE CHARTER SCHOOL,0020,ADAMS 12 FIVE STAR SCHOOLS,M,,1519,2,2,2
CHATFIELD ELEMENTARY SCHOOL,2000,MESA COUNTY VALLEY 51,E,,1520,2,2,1
CHATFIELD HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,,1522,1,2,2
CHELTENHAM ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,,1528,3,2,3
CHERAW ELEMENTARY SCHOOL,2560,CHERAW 31,E,,1538,1,1,1
CHERAW HIGH SCHOOL,2560,CHERAW 31,H,,1546,1,3,3
CHERAW MIDDLE SCHOOL,2560,CHERAW 31,M,,1548,2,2,1
CHEROKEE TRAIL HIGH SCHOOL,0130,CHERRY CREEK 5,H,,1551,2,2,2
CHERRELYN ELEMENTARY SCHOOL,0120,ENGLEWOOD 1,E,,1556,2,3,3
CAMPUS MIDDLE SCHOOL,0130,CHERRY CREEK 5,M,,1566,2,2,2
WEST MIDDLE SCHOOL,0130,CHERRY CREEK 5,M,,1568,2,2,2
CHERRY CREEK HIGH SCHOOL,0130,CHERRY CREEK 5,H,,1570,2,2,2
CHERRY CREEK CHARTER ACADEMY,0130,CHERRY CREEK 5,E,,1571,2,2,2
CHERRY CREEK CHARTER ACADEMY,0130,CHERRY CREEK 5,M,,1571,2,3,2
HIGH PLAINS ELEMENTARY SCHOOL,0130,CHERRY CREEK 5,E,,1572,2,2,2
CHERRY HILLS VILLAGE ELEMENTARY SCHOOL,0130,CHERRY CREEK 5,E,,1574,2,2,2
CHERRY VALLEY ELEMENTARY SCHOOL,0900,DOUGLAS COUNTY RE 1,E,,1578,1,2,2
NORTH STAR ACADEMY,0900,DOUGLAS COUNTY RE 1,E,,1579,3,3,3
NORTH STAR ACADEMY,0900,DOUGLAS COUNTY RE 1,M,,1579,2,2,2
CHEYENNE MOUNTAIN CHARTER ACADEMY,1020,CHEYENNE MOUNTAIN 12,E,,1582,2,2,2
CHEYENNE MOUNTAIN ELEMENTARY SCHOOL,1020,CHEYENNE MOUNTAIN 12,E,,1586,2,1,2
CHEYENNE MOUNTAIN JUNIOR HIGH SCHOOL,1020,CHEYENNE MOUNTAIN 12,M,,1588,2,2,2
CHEYENNE MOUNTAIN HIGH SCHOOL,1020,CHEYENNE MOUNTAIN 12,H,,1590,2,2,2
BROADMOOR ELEMENTARY SCHOOL,1020,CHEYENNE MOUNTAIN 12,E,,1592,2,2,2
SKYWAY PARK ELEMENTARY SCHOOL,1020,CHEYENNE MOUNTAIN 12,E,,1604,2,2,2
CHEYENNE WELLS ELEMENTARY SCHOOL,0520,CHEYENNE COUNTY RE-5,E,,1608,2,2,3
CHEYENNE WELLS MIDDLE SCHOOL,0520,CHEYENNE COUNTY RE-5,M,,1610,2,3,3
CHEYENNE WELLS HIGH SCHOOL,0520,CHEYENNE COUNTY RE-5,H,,1612,1,2,1
CHIPETA ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,,1613,2,1,1
CIMARRON ELEMENTARY SCHOOL,0130,CHERRY CREEK 5,E,,1614,2,2,2
CHINOOK TRAIL ELEMENTARY SCHOOL,1040,ACADEMY 20,E,,1615,3,2,2
CIVA CHARTER ACADEMY,1010,COLORADO SPRINGS 11,H,,1616,3,2,3
EVANS INTERNATIONAL ELEMENTARY SCHOOL,1110,FALCON 49,E,,1618,2,3,2
CHIPETA ELEMENTARY SCHOOL,2000,MESA COUNTY VALLEY 51,E,,1619,3,3,3
CLARA E. METZ ELEMENTARY SCHOOL,0070,WESTMINSTER 50,E,,1622,2,2,2
MCAULIFFE ELEMENTARY,1010,COLORADO SPRINGS 11,E,,1625,2,2,1
THE CLASSICAL ACADEMY CHARTER,1040,ACADEMY 20,E,,1627,2,2,2
THE CLASSICAL ACADEMY MIDDLE SCHOOL,1040,ACADEMY 20,M,,1629,2,2,2
THE CLASSICAL ACADEMY HIGH SCHOOL,1040,ACADEMY 20,H,,1630,2,2,2
GILPIN COUNTY ELEMENTARY SCHOOL,1330,GILPIN COUNTY RE-1,E,,1632,2,2,2
GILPIN COUNTY UNDIVIDED HIGH SCHOOL,1330,GILPIN COUNTY RE-1,H,,1634,3,3,2
GILPIN COUNTY UNDIVIDED HIGH SCHOOL,1330,GILPIN COUNTY RE-1,M,,1634,1,1,1
CLAYTON ELEMENTARY SCHOOL,0120,ENGLEWOOD 1,E,,1652,2,2,3
CLEAR CREEK MIDDLE SCHOOL,0540,CLEAR CREEK RE-1,M,,1660,3,2,2
CLEAR LAKE MIDDLE SCHOOL,0070,WESTMINSTER 50,M,,1666,,,
CLIFTON ELEMENTARY SCHOOL,2000,MESA COUNTY VALLEY 51,E,,1686,3,3,3
CLYDE MILLER K-8,0180,ADAMS-ARAPAHOE 28J,E,,1720,3,3,3
COAL CREEK ELEMENTARY SCHOOL,0480,BOULDER VALLEY RE 2,E,,1725,2,2,2
COAL CREEK CANYON K-8 ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,EM,1730,2,2,2
COAL CREEK CANYON K-8 ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,M,EM,1730,1,3,2
COLORADO HIGH SCHOOL,0880,DENVER COUNTY 1,H,,1748,,,2
COLORADO VIRTUAL ACADEMY (COVA),0020,ADAMS 12 FIVE STAR SCHOOLS,E,,1752,1,1,1
COLORADO VIRTUAL ACADEMY (COVA),0020,ADAMS 12 FIVE STAR SCHOOLS,H,,1752,1,2,1
COLORADO VIRTUAL ACADEMY (COVA),0020,ADAMS 12 FIVE STAR SCHOOLS,M,,1752,1,1,1
COLFAX ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,,1774,2,3,2
COLORADO HIGH SCHOOL OF GREELEY,3120,GREELEY 6,H,,1780,,,
COLORADO ONLINE ACADEMY (COLA),0260,VILAS RE-5,H,,1781,,,
COLE ARTS AND SCIENCE ACADEMY,0880,DENVER COUNTY 1,E,EM,1785,3,2,2
COLE ARTS AND SCIENCE ACADEMY,0880,DENVER COUNTY 1,M,EM,1785,2,2,2
COLLEGE VIEW ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,,1788,1,2,1
COLOROW ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,1790,3,3,2
COLORADO SPRINGS CHARTER ACADEMY,8001,CHARTER SCHOOL INSTITUTE,E,EM,1791,2,2,2
COLORADO SPRINGS CHARTER ACADEMY,8001,CHARTER SCHOOL INSTITUTE,M,EM,1791,1,2,2
COLORADO SPRINGS EARLY COLLEGES,8001,CHARTER SCHOOL INSTITUTE,H,,1795,2,3,2
COLORADO CONNECTIONS ACADEMY,0010,MAPLETON 1,,,1796,,,
COLUMBIA ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,,1798,3,3,3
COLUMBIA MIDDLE SCHOOL,0180,ADAMS-ARAPAHOE 28J,M,,1800,2,2,3
LAS ANIMAS ELEMENTARY SCHOOL,0290,LAS ANIMAS RE-1,E,,1812,3,3,3
COLUMBIAN ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,,1816,2,2,1
COLUMBIAN ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,E,,1828,2,2,3
COLUMBINE ELEMENTARY SCHOOL,0480,BOULDER VALLEY RE 2,E,,1842,3,2,2
COLUMBINE ELEMENTARY SCHOOL,0470,ST VRAIN VALLEY RE 1J,E,,1844,3,3,3
COLUMBINE ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,,1846,3,2,2
COLUMBINE ELEMENTARY SCHOOL,2405,FORT MORGAN RE-3,E,,1850,2,2,2
COLUMBINE HILLS ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,1861,3,2,2
COLUMBINE HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,,1864,2,2,2
ACE COMMUNITY CHALLENGE CHARTER SCHOOL,0880,DENVER COUNTY 1,H,,1866,1,2,1
ACE COMMUNITY CHALLENGE CHARTER SCHOOL,0880,DENVER COUNTY 1,M,,1866,3,1,2
COMPASS MONTESSORI - WHEAT RIDGE CHARTER SCHOOL,1420,JEFFERSON COUNTY R-1,E,EMH,1869,2,3,2
COMPASS MONTESSORI - WHEAT RIDGE CHARTER SCHOOL,1420,JEFFERSON COUNTY R-1,H,EMH,1869,,,
COMPASS MONTESSORI - WHEAT RIDGE CHARTER SCHOOL,1420,JEFFERSON COUNTY R-1,M,EMH,1869,1,3,2
CORONADO HIGH SCHOOL,1010,COLORADO SPRINGS 11,H,,1870,2,2,2
COMMUNITY TRANSITION HOUSE,2690,PUEBLO CITY 60,H,,1872,,,2
CORE KNOWLEDGE CHARTER SCHOOL,0900,DOUGLAS COUNTY RE 1,E,,1873,2,2,2
CORE KNOWLEDGE CHARTER SCHOOL,0900,DOUGLAS COUNTY RE 1,M,,1873,2,3,2
FRONTIER CHARTER ACADEMY,3120,GREELEY 6,E,,1875,2,2,2
FRONTIER CHARTER ACADEMY,3120,GREELEY 6,H,,1875,3,3,2
FRONTIER CHARTER ACADEMY,3120,GREELEY 6,M,,1875,2,2,1
CORONADO ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,1876,3,3,3
COLORADO PROVOST ACADEMY,8001,CHARTER SCHOOL INSTITUTE,,,1877,,,
CORONADO HILLS ELEMENTARY SCHOOL,0020,ADAMS 12 FIVE STAR SCHOOLS,E,,1878,3,2,1
COMPASS MONTESSORI - GOLDEN CHARTER SCHOOL,1420,JEFFERSON COUNTY R-1,E,EMH,1880,2,1,2
COMPASS MONTESSORI - GOLDEN CHARTER SCHOOL,1420,JEFFERSON COUNTY R-1,H,EMH,1880,2,2,2
COMPASS MONTESSORI - GOLDEN CHARTER SCHOOL,1420,JEFFERSON COUNTY R-1,M,EMH,1880,2,2,2
COMMUNITY LEADERSHIP ACADEMY,0030,ADAMS COUNTY 14,E,,1882,3,3,3
COMMUNITY LEADERSHIP ACADEMY,0030,ADAMS COUNTY 14,M,,1882,3,3,3
COMMUNITY MONTESSORI SCHOOL,0480,BOULDER VALLEY RE 2,E,,1883,2,2,2
COMMUNITY PREP CHARTER SCHOOL,1010,COLORADO SPRINGS 11,H,,1885,3,3,3
CONIFER SENIOR HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,,1886,1,2,1
CONNECTIONS ACADEMY,0880,DENVER COUNTY 1,E,,1887,,,
CONNECTIONS ACADEMY,0880,DENVER COUNTY 1,H,,1887,,,
CONNECTIONS ACADEMY,0880,DENVER COUNTY 1,M,,1887,,,
CORTEZ MIDDLE SCHOOL,2035,MONTEZUMA-CORTEZ RE-1,M,,1888,2,3,3
CORRIDOR COMMUNITY ACADEMY,0050,BENNETT 29J,E,EM,1889,1,1,1
CORRIDOR COMMUNITY ACADEMY,0050,BENNETT 29J,M,EM,1889,,,1
COPPER MESA ELEMENTARY SCHOOL,0900,DOUGLAS COUNTY RE 1,E,,1899,2,2,2
COLORADO CALVERT ACADEMY,8001,CHARTER SCHOOL INSTITUTE,,,1901,,,
CORY ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,,1908,2,3,2
COTTON CREEK ELEMENTARY SCHOOL,0020,ADAMS 12 FIVE STAR SCHOOLS,E,,1914,2,2,2
COTTONWOOD ELEMENTARY SCHOOL,2180,MONTROSE COUNTY RE-1J,E,,1915,2,2,2
COTTONWOOD CREEK ELEMENTARY SCHOOL,0130,CHERRY CREEK 5,E,,1916,2,2,2
COTTONWOOD PLAINS ELEMENTARY SCHOOL,1560,THOMPSON R-2J,E,,1920,2,2,1
COUGAR RUN ELEMENTARY SCHOOL,0900,DOUGLAS COUNTY RE 1,E,,1925,2,3,2
COWELL ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,,1928,3,2,2
COYOTE CREEK ELEMENTARY SCHOOL,0900,DOUGLAS COUNTY RE 1,E,,1934,2,2,2
SANDROCK ELEMENTARY,2020,MOFFAT COUNTY RE:NO 1,E,,1936,1,1,1
COYOTE RIDGE ELEMENTARY SCHOOL,0020,ADAMS 12 FIVE STAR SCHOOLS,E,,1937,2,2,1
CRAIG MIDDLE SCHOOL SCHOOL,2020,MOFFAT COUNTY RE:NO 1,M,,1938,2,3,2
CRAWFORD ELEMENTARY SCHOOL,0180,ADAMS-ARAPAHOE 28J,E,,1948,3,3,3
CRAWFORD ELEMENTARY SCHOOL,0870,DELTA COUNTY 50(J),E,EM,1952,2,2,2
CRAWFORD ELEMENTARY SCHOOL,0870,DELTA COUNTY 50(J),M,EM,1952,3,2,2
LAMB ELEMENTARY SCHOOL,2010,CREEDE SCHOOL DISTRICT,E,,1962,1,1,3
CREEDE JUNIOR-SENIOR HIGH SCHOOL,2010,CREEDE SCHOOL DISTRICT,H,MH,1966,1,1,3
CREEDE JUNIOR-SENIOR HIGH SCHOOL,2010,CREEDE SCHOOL DISTRICT,M,MH,1966,,,3
CROWLEY COUNTY ONLINE ACADEMY,0770,CROWLEY COUNTY RE-1-J,H,,1967,,,2
CREEKSIDE ELEMENTARY SCHOOL,0130,CHERRY CREEK 5,E,,1970,2,2,2
CREEKSIDE MIDDLE SCHOOL,1080,LEWIS-PALMER 38,M,,1972,,,
CREIGHTON MIDDLE SCHOOL,1420,JEFFERSON COUNTY R-1,M,,1976,2,2,2
CREST VIEW ELEMENTARY SCHOOL,0480,BOULDER VALLEY RE 2,E,,1996,2,3,3
CRESTED BUTTE COMMUNITY SCHOOL,1360,GUNNISON WATERSHED RE1J,E,,2006,3,2,2
CRESTED BUTTE COMMUNITY SCHOOL,1360,GUNNISON WATERSHED RE1J,H,,2006,2,2,1
CRESTED BUTTE COMMUNITY SCHOOL,1360,GUNNISON WATERSHED RE1J,M,,2006,2,2,1
CRESTHILL MIDDLE SCHOOL,0900,DOUGLAS COUNTY RE 1,M,,2012,2,2,2
CRESTONE CHARTER SCHOOL,2800,MOFFAT 2,E,EMH,2018,2,1,3
CRESTONE CHARTER SCHOOL,2800,MOFFAT 2,H,EMH,2018,,,3
CRESTONE CHARTER SCHOOL,2800,MOFFAT 2,M,EMH,2018,3,1,3
CRIPPLE CREEK-VICTOR JUNIOR-SENIOR HIGH SCHOOL,3010,CRIPPLE CREEK-VICTOR RE-1,H,,2024,3,3,2
CRIPPLE CREEK-VICTOR JUNIOR-SENIOR HIGH SCHOOL,3010,CRIPPLE CREEK-VICTOR RE-1,M,,2024,1,1,1
POLARIS AT EBERT ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,,2027,2,2,2
CROSSROAD ALTERNATIVE SCHOOL,0020,ADAMS 12 FIVE STAR SCHOOLS,E,,2031,,,
CROSSROAD ALTERNATIVE SCHOOL,0020,ADAMS 12 FIVE STAR SCHOOLS,M,,2031,,,
CROWN POINTE CHARTER ACADEMY,0070,WESTMINSTER 50,E,,2035,2,2,2
CROWN POINTE CHARTER ACADEMY,0070,WESTMINSTER 50,M,,2035,2,2,1
CROWLEY COUNTY ELEMENTARY SCHOOL,0770,CROWLEY COUNTY RE-1-J,E,,2050,2,1,1
CROWLEY COUNTY WARD MIDDLE SCHOOL,0770,CROWLEY COUNTY RE-1-J,M,,2054,3,1,1
CROWLEY COUNTY HIGH SCHOOL,0770,CROWLEY COUNTY RE-1-J,H,,2058,2,2,2
CRYSTAL RIVER ELEMENTARY SCHOOL,1180,ROARING FORK RE-1,E,,2063,3,3,3
CUSTER COUNTY ELEMENTARY SCHOOL,0860,CUSTER COUNTY SCHOOL DISTR,E,,2088,2,2,2
COYOTE RIDGE ELEMENTARY SCHOOL,1560,THOMPSON R-2J,E,,2089,3,2,2
CUSTER MIDDLE SCHOOL,0860,CUSTER COUNTY SCHOOL DISTR,M,,2091,2,2,2
CUSTER COUNTY HIGH SCHOOL,0860,CUSTER COUNTY SCHOOL DISTR,H,,2092,3,3,2
DAKOTA RIDGE SENIOR HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,,2093,2,2,2
DAKOTA VALLEY ELEMENTARY SCHOOL,0130,CHERRY CREEK 5,E,,2094,2,2,2
DALTON ELEMENTARY SCHOOL,0180,ADAMS-ARAPAHOE 28J,E,,2095,3,3,3
CORWIN INTERNATIONAL MAGNET SCHOOL,2690,PUEBLO CITY 60,E,,2096,2,2,2
CORWIN INTERNATIONAL MAGNET SCHOOL,2690,PUEBLO CITY 60,M,,2096,2,2,2
DARTMOUTH ELEMENTARY SCHOOL,0180,ADAMS-ARAPAHOE 28J,E,,2114,2,3,3
D'EVELYN JUNIOR/SENIOR HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,MH,2120,2,2,2
D'EVELYN JUNIOR/SENIOR HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,M,MH,2120,2,2,2
DE BEQUE ELEMENTARY SCHOOL,1980,DE BEQUE 49JT,E,,2122,2,3,3
DENVER GREEN SCHOOL,0880,DENVER COUNTY 1,,,2125,,,
DE BEQUE UNDIVIDED HIGH SCHOOL,1980,DE BEQUE 49JT,H,MH,2126,2,1,1
DE BEQUE UNDIVIDED HIGH SCHOOL,1980,DE BEQUE 49JT,M,MH,2126,,,1
DENVER LANGUAGE SCHOOL,0880,DENVER COUNTY 1,,,2127,,,
INDEPENDENCE ACADEMY,2000,MESA COUNTY VALLEY 51,E,EM,2128,3,3,3
INDEPENDENCE ACADEMY,2000,MESA COUNTY VALLEY 51,M,EM,2128,3,3,3
DEER CREEK MIDDLE SCHOOL,1420,JEFFERSON COUNTY R-1,M,,2130,2,2,2
DEER TRAIL ELEMENTARY SCHOOL,0170,DEER TRAIL 26J,E,,2136,2,3,3
DEER TRAIL JUNIOR-SENIOR HIGH SCHOOL,0170,DEER TRAIL 26J,H,,2140,3,3,1
DEER TRAIL JUNIOR-SENIOR HIGH SCHOOL,0170,DEER TRAIL 26J,M,,2140,1,2,2
DENVER SCHOOL OF SCIENCE AND TECHNOLOGY: GVR,0880,DENVER COUNTY 1,,,2145,,,
