Record_no,District Code,District Name,School Code,School Name,EMH,EMH_combined,AEC10,SPF_PS_ELL_GRAD_RATE,School_Grade,rank_tot,Overall_Ach_Grade,read_ach_grade,math_ach_grade,Write_Ach_Grade,Sci_Ach_Grade,Overall_Weighted_Growth_Grade,Read_Growth_Grade,Math_Growth_Grade,Write_Growth_Grade,ELL_Growth_Grade,SPF_PS_IND_GRAD_RATE
499,1010,COLORADO SPRINGS 11,0594,BATES ELEMENTARY SCHOOL,E,E,N,,1,952,6,6,6,6,6,1,3,3,1,,
500,1010,COLORADO SPRINGS 11,1032,BRISTOL ELEMENTARY SCHOOL,E,E,N,,7,366,6,6,6,6,6,7,7,7,6,,
501,1010,COLORADO SPRINGS 11,1126,BUENA VISTA ELEMENTARY SCHOOL,E,E,N,,6,632,7,9,6,7,9,5,6,4,3,,
502,1010,COLORADO SPRINGS 11,1340,CARVER ELEMENTARY SCHOOL,E,E,N,,6,507,6,6,6,6,5,7,7,8,4,13,
503,1010,COLORADO SPRINGS 11,1613,CHIPETA ELEMENTARY SCHOOL,E,E,N,,12,44,12,10,12,12,11,9,10,7,9,,
504,1010,COLORADO SPRINGS 11,1616,CIVA CHARTER ACADEMY,H,H,N,-,6,200,6,6,5,6,5,6,9,6,6,,71.
505,1010,COLORADO SPRINGS 11,1798,COLUMBIA ELEMENTARY SCHOOL,E,E,N,,9,265,6,7,7,7,5,9,6,12,8,,
507,1010,COLORADO SPRINGS 11,1870,CORONADO HIGH SCHOOL,H,H,N,-,6,193,8,7,9,7,7,4,6,3,5,6,78.
508,1010,COLORADO SPRINGS 11,2202,DOHERTY HIGH SCHOOL,H,H,N,-,7,124,7,7,8,7,7,6,6,7,6,11,77.
509,1010,COLORADO SPRINGS 11,2510,EDISON ELEMENTARY SCHOOL,E,E,N,,11,85,6,6,6,6,5,13,12,13,12,9,
510,1010,COLORADO SPRINGS 11,3175,FREEDOM ELEMENTARY SCHOOL,E,E,N,,9,180,8,8,9,7,7,9,9,9,8,,
511,1010,COLORADO SPRINGS 11,3218,FREMONT ELEMENTARY SCHOOL,E,E,N,,6,507,6,6,6,6,6,8,7,8,8,,
512,1010,COLORADO SPRINGS 11,3360,GALILEO SCHOOL OF MATH AND SCIENCE,M,M,N,,6,356,6,6,6,5,6,6,5,7,4,6,
513,1010,COLORADO SPRINGS 11,3470,GLOBE CHARTER SCHOOL,E,E,N,,6,455,6,6,7,5,6,7,9,9,5,,
514,1010,COLORADO SPRINGS 11,3592,GRANT ELEMENTARY SCHOOL,E,E,N,,6,693,6,6,6,6,6,5,6,4,6,5,
515,1010,COLORADO SPRINGS 11,3920,HENRY ELEMENTARY SCHOOL,E,E,N,,3,927,6,5,6,6,6,1,3,1,2,5,
516,1010,COLORADO SPRINGS 11,4070,HOLMES MIDDLE SCHOOL,M,M,N,,9,120,9,9,9,9,9,9,7,9,6,7,
517,1010,COLORADO SPRINGS 11,4138,HOWBERT ELEMENTARY SCHOOL,E,E,N,,11,85,9,9,9,10,12,9,6,9,9,,
518,1010,COLORADO SPRINGS 11,3890,HUNT ELEMENTARY SCHOOL,E,E,N,,5,840,3,2,3,3,3,6,5,6,6,9,
519,1010,COLORADO SPRINGS 11,8457,JACK SWIGERT AEROSPACE ACADEMY,M,M,N,,2,464,2,2,1,2,1,3,5,2,3,6,
520,1010,COLORADO SPRINGS 11,4358,JACKSON ELEMENTARY SCHOOL,E,E,N,,6,632,6,6,7,6,9,6,4,9,3,,
521,1010,COLORADO SPRINGS 11,4424,JENKINS MIDDLE SCHOOL,M,M,N,,7,180,9,9,9,9,9,6,6,6,5,,
522,1010,COLORADO SPRINGS 11,4530,KELLER ELEMENTARY SCHOOL,E,E,N,,9,215,6,6,6,6,6,9,10,9,7,7,
523,1010,COLORADO SPRINGS 11,5604,KING ELEMENTARY SCHOOL,E,E,N,,6,455,6,6,6,6,6,6,6,6,6,,
525,1010,COLORADO SPRINGS 11,5162,LINCOLN ELEMENTARY SCHOOL,E,E,N,,11,95,6,5,6,5,5,13,10,13,11,12,
526,1010,COLORADO SPRINGS 11,5404,MADISON ELEMENTARY SCHOOL,E,E,N,,7,410,8,7,8,9,6,6,6,6,7,,
527,1010,COLORADO SPRINGS 11,4090,MANN MIDDLE SCHOOL,M,M,N,,6,319,6,6,6,5,6,6,6,6,5,6,
528,1010,COLORADO SPRINGS 11,5610,MARTINEZ ELEMENTARY SCHOOL,E,E,N,,6,507,9,9,9,9,6,5,5,5,6,10,
529,1010,COLORADO SPRINGS 11,1625,MCAULIFFE ELEMENTARY,E,E,N,,6,559,5,5,6,5,4,7,5,12,6,,
530,1010,COLORADO SPRINGS 11,5878,MIDLAND ELEMENTARY SCHOOL,E,E,N,,6,632,6,6,6,6,6,6,6,9,6,3,
531,1010,COLORADO SPRINGS 11,5948,MITCHELL HIGH SCHOOL,H,H,N,76.,5,270,3,3,3,3,5,6,5,6,6,5,72.
532,1010,COLORADO SPRINGS 11,5988,MONROE ELEMENTARY SCHOOL,E,E,N,,4,853,5,3,5,5,3,6,6,6,1,6,
535,1010,COLORADO SPRINGS 11,6306,NORTH MIDDLE SCHOOL,M,M,N,,5,406,6,6,6,6,6,3,5,3,3,7,
536,1010,COLORADO SPRINGS 11,6680,PALMER HIGH SCHOOL,H,H,N,26.,7,136,7,7,9,7,7,9,7,10,6,10,74.
537,1010,COLORADO SPRINGS 11,6856,PENROSE ELEMENTARY SCHOOL,E,E,N,,3,882,6,6,6,6,6,2,1,1,4,9,
538,1010,COLORADO SPRINGS 11,7228,QUEEN PALMER ELEMENTARY SCHOOL,E,E,N,,4,853,5,4,6,4,3,5,1,12,1,,
539,1010,COLORADO SPRINGS 11,9618,ROGERS ELEMENTARY SCHOOL,E,E,N,,5,760,5,5,3,5,5,6,6,6,4,5,
540,1010,COLORADO SPRINGS 11,7482,ROOSEVELT EDISON CHARTER SCHOOL,E,E,N,,6,720,6,5,6,6,5,6,6,5,3,8,
541,1010,COLORADO SPRINGS 11,7513,RUDY ELEMENTARY SCHOOL,E,E,N,,6,507,8,7,9,7,7,6,10,3,6,,
542,1010,COLORADO SPRINGS 11,7523,RUSSELL MIDDLE SCHOOL,M,M,N,,6,250,6,6,6,6,6,6,7,6,6,,
543,1010,COLORADO SPRINGS 11,7556,SABIN MIDDLE SCHOOL,M,M,N,,5,401,6,6,6,6,6,3,6,3,3,8,
544,1010,COLORADO SPRINGS 11,7705,SCOTT ELEMENTARY SCHOOL,E,E,N,,10,146,12,12,12,12,10,6,7,6,7,12,
545,1010,COLORADO SPRINGS 11,8359,SPACE TECHNOLOGY AND ARTS ACADEMY (STAR ACADEMY),E,EM,N,,1,983,5,5,5,5,6,1,1,1,1,1,
546,1010,COLORADO SPRINGS 11,8359,SPACE TECHNOLOGY AND ARTS ACADEMY (STAR ACADEMY),M,EM,N,,6,356,4,3,5,4,,9,7,6,9,,
547,1010,COLORADO SPRINGS 11,8246,STEELE ELEMENTARY SCHOOL,E,E,N,,12,44,10,9,12,10,10,10,6,12,9,,
548,1010,COLORADO SPRINGS 11,8346,STRATTON ELEMENTARY SCHOOL,E,E,N,,6,559,9,9,7,9,7,6,8,5,7,,
549,1010,COLORADO SPRINGS 11,8466,TAYLOR ELEMENTARY SCHOOL,E,E,N,,6,578,6,6,6,4,6,6,3,12,5,,
551,1010,COLORADO SPRINGS 11,8902,TRAILBLAZER ELEMENTARY SCHOOL,E,E,N,,6,720,8,8,7,9,7,3,4,2,3,9,
552,1010,COLORADO SPRINGS 11,5576,TWAIN ELEMENTARY SCHOOL,E,E,N,,5,779,5,5,5,5,3,6,6,5,5,12,
553,1010,COLORADO SPRINGS 11,9298,WASSON HIGH SCHOOL,H,H,N,47.,2,293,2,2,4,3,3,2,1,2,2,7,65.
554,1010,COLORADO SPRINGS 11,9445,WEST ELEMENTARY SCHOOL,E,E,N,,4,853,5,5,5,5,6,3,5,1,3,5,
555,1010,COLORADO SPRINGS 11,9404,WEST INTERGENERATIONAL CENTER,M,M,N,,6,364,6,6,6,5,6,6,6,6,4,6,
556,1010,COLORADO SPRINGS 11,9660,WILSON ELEMENTARY SCHOOL,E,E,N,,6,608,6,6,6,6,5,6,6,5,6,8,
557,1160,COTOPAXI RE-3,3220,COTOPAXI ELEMENTARY SCHOOL,E,E,N,,9,265,6,6,6,6,7,8,6,12,6,,
558,1160,COTOPAXI RE-3,3228,COTOPAXI JUNIOR-SENIOR HIGH SCHOOL,M,MH,N,,11,49,7,7,6,6,,12,13,8,10,,
559,1160,COTOPAXI RE-3,3228,COTOPAXI JUNIOR-SENIOR HIGH SCHOOL,H,MH,N,-,9,98,8,7,7,9,7,9,7,8,10,,83.
560,2010,CREEDE SCHOOL DISTRICT,1966,CREEDE MIDDLE/HIGH SCHOOL,M,MH,N,,,,8,9,8,6,,6,6,5,6,,
561,2010,CREEDE SCHOOL DISTRICT,1966,CREEDE MIDDLE/HIGH SCHOOL,H,MH,N,-,,,10,9,9,9,12,9,7,10,9,,97.
562,2010,CREEDE SCHOOL DISTRICT,1962,LAMB ELEMENTARY SCHOOL,E,E,N,,1,969,9,9,8,9,6,1,1,1,1,,
563,3010,CRIPPLE CREEK-VICTOR RE-1,9080,CRESSON ELEMENTARY SCHOOL,E,E,N,,6,559,6,7,6,6,9,6,3,6,9,,
564,3010,CRIPPLE CREEK-VICTOR RE-1,2024,CRIPPLE CREEK-VICTOR JUNIOR-SENIOR HIGH SCHOOL,M,MH,N,,5,401,5,5,6,5,6,5,6,6,2,,
565,3010,CRIPPLE CREEK-VICTOR RE-1,2024,CRIPPLE CREEK-VICTOR JUNIOR-SENIOR HIGH SCHOOL,H,MH,N,-,6,182,5,6,3,3,5,9,12,12,5,,88.
566,0770,CROWLEY COUNTY RE-1-J,2050,CROWLEY COUNTY ELEMENTARY SCHOOL,E,E,N,,7,393,6,6,6,6,8,7,3,6,12,,
567,0770,CROWLEY COUNTY RE-1-J,2058,CROWLEY COUNTY HIGH SCHOOL,H,H,N,-,6,244,5,6,6,4,5,3,6,6,1,,81.
568,0770,CROWLEY COUNTY RE-1-J,2054,CROWLEY COUNTY WARD MIDDLE SCHOOL,M,M,N,,6,364,6,6,6,6,6,5,4,4,6,,
569,0860,CUSTER COUNTY SCHOOL DISTRICT C-1,2088,CUSTER COUNTY ELEMENTARY SCHOOL,E,E,N,,6,538,7,7,8,7,6,5,5,5,5,,
570,0860,CUSTER COUNTY SCHOOL DISTRICT C-1,2092,CUSTER COUNTY HIGH SCHOOL,H,H,N,-,9,98,6,6,6,6,6,10,7,9,11,,92.
571,0860,CUSTER COUNTY SCHOOL DISTRICT C-1,2091,CUSTER MIDDLE SCHOOL,M,M,N,,11,49,9,10,9,8,10,10,11,7,10,,
572,1980,DE BEQUE 49JT,2122,DE BEQUE ELEMENTARY SCHOOL,E,E,N,,8,338,8,9,7,7,6,6,6,7,6,,
573,1980,DE BEQUE 49JT,2126,DE BEQUE UNDIVIDED HIGH SCHOOL,M,MH,N,,5,401,5,5,6,5,3,4,2,9,1,,
574,1980,DE BEQUE 49JT,2126,DE BEQUE UNDIVIDED HIGH SCHOOL,H,MH,N,-,4,279,5,5,4,5,6,6,9,5,5,,53.
575,0170,DEER TRAIL 26J,2136,DEER TRAIL ELEMENTARY SCHOOL,E,E,N,,7,366,9,9,9,8,9,6,6,6,5,,
576,0170,DEER TRAIL 26J,2140,DEER TRAIL JUNIOR-SENIOR HIGH SCHOOL,M,MH,N,,2,459,6,6,5,6,6,1,3,1,1,,
577,0170,DEER TRAIL 26J,2140,DEER TRAIL JUNIOR-SENIOR HIGH SCHOOL,H,MH,N,-,6,188,6,7,6,6,6,7,7,8,6,,93.
578,2730,DEL NORTE C-7,2150,DEL NORTE HIGH SCHOOL,H,H,N,-,6,217,6,6,6,6,6,5,6,3,6,,88.
579,2730,DEL NORTE C-7,2148,DEL NORTE MIDDLE SCHOOL,M,M,N,,9,75,6,6,7,6,9,12,11,13,7,12,
580,2730,DEL NORTE C-7,8960,UNDERWOOD ELEMENTARY SCHOOL,E,E,N,,4,869,6,7,7,6,6,3,6,3,2,,
581,0870,DELTA COUNTY 50(J),4182,CEDAREDGE ELEMENTARY SCHOOL,E,E,N,,6,632,7,6,7,7,6,6,6,7,5,2,
582,0870,DELTA COUNTY 50(J),1372,CEDAREDGE HIGH SCHOOL,H,H,N,-,10,46,9,9,7,9,9,9,9,9,9,,91.
583,0870,DELTA COUNTY 50(J),1375,CEDAREDGE MIDDLE SCHOOL,M,M,N,,9,131,7,7,6,9,9,8,7,7,7,,
584,0870,DELTA COUNTY 50(J),1952,CRAWFORD ELEMENTARY SCHOOL,E,E,N,,9,265,9,6,10,8,7,6,6,5,5,,
585,0870,DELTA COUNTY 50(J),2152,DELTA ACADEMY OF APPLIED LEARNING,E,EM,N,,,,11,10,12,10,,6,3,7,8,,
586,0870,DELTA COUNTY 50(J),2152,DELTA ACADEMY OF APPLIED LEARNING,M,EM,N,,,,9,7,12,9,6,9,9,9,9,,
589,0870,DELTA COUNTY 50(J),2293,DELTA COUNTY VIRTUAL ACADEMY,E,E,N,,,,,,,,,,,,,,
590,0870,DELTA COUNTY 50(J),2164,DELTA HIGH SCHOOL,H,H,N,90.,6,159,6,6,6,6,5,6,9,3,6,,91.
591,0870,DELTA COUNTY 50(J),2160,DELTA MIDDLE SCHOOL,M,M,N,,6,250,6,6,7,6,7,6,6,6,6,,
592,0870,DELTA COUNTY 50(J),2166,DELTA VISION SCHOOL,E,EMH,N,,3,913,4,5,3,4,6,2,4,2,3,,
593,0870,DELTA COUNTY 50(J),2166,DELTA VISION SCHOOL,M,EMH,N,,6,285,6,6,6,6,6,7,6,6,9,,
594,0870,DELTA COUNTY 50(J),2166,DELTA VISION SCHOOL,H,EMH,N,-,6,238,6,6,5,6,6,6,6,5,6,,80.
595,0870,DELTA COUNTY 50(J),3330,GARNET MESA ELEMENTARY SCHOOL,E,E,N,,7,410,7,6,7,7,6,6,6,6,6,6,
596,0870,DELTA COUNTY 50(J),4124,HOTCHKISS ELEMENTARY SCHOOL,E,EM,N,,8,338,9,9,10,9,8,6,5,6,6,6,
597,0870,DELTA COUNTY 50(J),4124,HOTCHKISS ELEMENTARY SCHOOL,M,EM,N,,6,312,8,7,9,9,8,5,5,5,5,,
598,0870,DELTA COUNTY 50(J),4128,HOTCHKISS HIGH SCHOOL,H,H,N,-,9,68,8,7,6,9,7,7,9,3,11,5,94.
599,0870,DELTA COUNTY 50(J),5154,LINCOLN ELEMENTARY SCHOOL,E,E,N,,10,146,7,6,7,7,9,10,9,12,9,6,
600,0870,DELTA COUNTY 50(J),6298,NORTH FORK MONTESSORI SCHOOL,E,E,N,,12,56,13,13,10,13,12,11,12,7,11,,
601,0870,DELTA COUNTY 50(J),9146,NORTH FORK VISION SCHOOL,E,EMH,N,,,,6,5,6,6,,5,2,3,10,,
602,0870,DELTA COUNTY 50(J),9146,NORTH FORK VISION SCHOOL,M,EMH,N,,9,131,6,7,6,6,6,9,11,6,9,,
603,0870,DELTA COUNTY 50(J),9146,NORTH FORK VISION SCHOOL,H,EMH,N,-,7,136,7,7,6,8,9,12,9,11,13,,43.
604,0870,DELTA COUNTY 50(J),6700,PAONIA ELEMENTARY SCHOOL,E,E,N,,12,56,10,9,10,10,9,12,9,12,9,,
605,0870,DELTA COUNTY 50(J),6708,PAONIA HIGH SCHOOL,M,MH,N,,6,319,9,9,9,9,9,3,6,2,3,,
606,0870,DELTA COUNTY 50(J),6708,PAONIA HIGH SCHOOL,H,MH,N,-,9,98,9,9,7,9,9,8,9,6,9,,90.
607,0870,DELTA COUNTY 50(J),8419,SURFACE CREEK VISION SCHOOL,E,EMH,N,,5,800,3,5,1,2,5,5,10,1,5,,
608,0870,DELTA COUNTY 50(J),8419,SURFACE CREEK VISION SCHOOL,M,EMH,N,,9,140,6,9,5,6,,7,10,6,9,,
609,0870,DELTA COUNTY 50(J),8419,SURFACE CREEK VISION SCHOOL,H,EMH,N,-,6,217,6,8,3,6,5,6,5,6,10,,66.
610,0880,DENVER COUNTY 1,0010,ABRAHAM LINCOLN HIGH SCHOOL,H,H,N,50.,5,270,1,1,3,1,1,7,8,6,7,6,64.
611,0880,DENVER COUNTY 1,6397,ACADEMIA ANA MARIE SANDOVAL,E,E,N,,9,296,6,6,5,6,6,8,9,10,10,3,
615,0880,DENVER COUNTY 1,0220,AMESSE ELEMENTARY SCHOOL,E,E,N,,5,760,1,1,1,3,3,6,9,5,9,5,
616,0880,DENVER COUNTY 1,3340,ARCHULETA ELEMENTARY SCHOOL,E,E,N,,6,693,5,3,5,5,5,7,6,7,6,7,
617,0880,DENVER COUNTY 1,0388,ASBURY ELEMENTARY SCHOOL,E,E,N,,9,215,6,6,7,7,6,9,9,9,6,8,
618,0880,DENVER COUNTY 1,0418,ASHLEY ELEMENTARY SCHOOL,E,E,N,,3,927,1,1,1,1,1,5,6,6,3,5,
619,0880,DENVER COUNTY 1,0520,BARNUM ELEMENTARY SCHOOL,E,E,N,,6,720,3,2,3,4,1,7,9,5,9,6,
620,0880,DENVER COUNTY 1,0540,BARRETT ELEMENTARY SCHOOL,E,E,N,,5,779,1,1,1,1,1,6,7,7,5,1,
621,0880,DENVER COUNTY 1,0650,BEACH COURT ELEMENTARY SCHOOL,E,E,N,,,,3,3,2,3,6,,,,,6,
622,0880,DENVER COUNTY 1,0964,BRADLEY ELEMENTARY SCHOOL,E,E,N,,12,70,7,7,6,7,7,13,13,12,12,12,
623,0880,DENVER COUNTY 1,1056,BROMWELL ELEMENTARY SCHOOL,E,E,N,,12,39,12,12,13,12,12,9,13,9,6,,
624,0880,DENVER COUNTY 1,1076,BROWN ELEMENTARY SCHOOL,E,E,N,,6,559,6,6,6,6,6,6,6,7,7,4,
625,0880,DENVER COUNTY 1,6350,BRUCE RANDOLPH SCHOOL,M,MH,N,,3,444,1,1,1,1,1,5,6,5,4,3,
626,0880,DENVER COUNTY 1,6350,BRUCE RANDOLPH SCHOOL,H,MH,N,81.,6,222,1,1,2,1,1,8,9,9,9,3,86.
627,0880,DENVER COUNTY 1,1106,BRYANT WEBSTER K-8 SCHOOL,E,EM,N,,6,663,4,3,5,5,3,8,7,13,7,5,
628,0880,DENVER COUNTY 1,1106,BRYANT WEBSTER K-8 SCHOOL,M,EM,N,,6,232,5,5,5,5,5,9,9,6,9,9,
629,0880,DENVER COUNTY 1,1324,CARSON ELEMENTARY SCHOOL,E,E,N,,10,130,12,10,12,11,11,9,9,9,5,9,
630,0880,DENVER COUNTY 1,9496,CASTRO ELEMENTARY SCHOOL,E,E,N,,3,890,1,1,1,1,3,7,7,6,7,6,
631,0880,DENVER COUNTY 1,1400,CENTENNIAL K-8 SCHOOL,E,EM,N,,1,983,3,3,4,5,3,1,1,3,1,6,
632,0880,DENVER COUNTY 1,1400,CENTENNIAL K-8 SCHOOL,M,EM,N,,5,384,3,4,3,3,4,6,6,6,6,6,
633,0880,DENVER COUNTY 1,1345,CESAR CHAVEZ ACADEMY DENVER,E,EM,N,,5,760,5,5,6,6,1,6,6,3,6,9,
634,0880,DENVER COUNTY 1,1345,CESAR CHAVEZ ACADEMY DENVER,M,EM,N,,6,364,3,3,3,3,5,6,9,7,6,,
635,0880,DENVER COUNTY 1,7694,CHARLES M. SCHENCK (CMS) COMMUNITY SCHOOL,E,E,N,,6,608,2,1,1,3,1,9,12,6,11,7,
636,0880,DENVER COUNTY 1,1528,CHELTENHAM ELEMENTARY SCHOOL,E,E,N,,5,800,1,1,1,1,1,6,7,7,9,3,
637,0880,DENVER COUNTY 1,1785,COLE ARTS AND SCIENCE ACADEMY,E,EM,N,,3,882,1,1,1,1,1,5,5,7,4,3,
638,0880,DENVER COUNTY 1,1785,COLE ARTS AND SCIENCE ACADEMY,M,EM,N,,6,265,1,1,2,1,3,12,11,10,10,8,
639,0880,DENVER COUNTY 1,1774,COLFAX ELEMENTARY SCHOOL,E,E,N,,5,814,3,2,2,4,3,6,7,5,6,7,
640,0880,DENVER COUNTY 1,1788,COLLEGE VIEW ELEMENTARY SCHOOL,E,E,N,,3,890,2,2,1,1,2,5,6,5,6,3,
641,0880,DENVER COUNTY 1,1295,COLLEGIATE PREPARATORY ACADEMY,H,H,N,,,,1,1,5,1,,9,6,10,9,9,
643,0880,DENVER COUNTY 1,1816,COLUMBIAN ELEMENTARY SCHOOL,E,E,N,,6,663,3,3,1,3,3,6,10,6,4,6,
644,0880,DENVER COUNTY 1,1846,COLUMBINE ELEMENTARY SCHOOL,E,E,N,,3,913,2,2,1,3,1,5,3,6,6,5,
646,0880,DENVER COUNTY 1,1908,CORY ELEMENTARY SCHOOL,E,E,N,,13,14,12,12,12,12,10,12,10,12,12,9,
647,0880,DENVER COUNTY 1,1928,COWELL ELEMENTARY SCHOOL,E,E,N,,6,738,2,1,1,3,1,7,9,6,8,6,
648,0880,DENVER COUNTY 1,2209,DCIS AT MONTBELLO,M,M,N,,5,384,3,3,4,1,,7,5,10,6,6,
649,0880,DENVER COUNTY 1,2174,DENISON MONTESSORI SCHOOL,E,E,N,,7,366,6,6,4,6,6,9,12,6,12,6,
652,0880,DENVER COUNTY 1,2183,DENVER CENTER FOR INTERNATIONAL STUDIES,M,MH,N,,7,217,9,8,8,9,9,6,6,5,9,8,
653,0880,DENVER COUNTY 1,2183,DENVER CENTER FOR INTERNATIONAL STUDIES,H,MH,N,-,9,53,7,8,6,7,5,9,9,6,9,9,90.
654,0880,DENVER COUNTY 1,2125,DENVER GREEN SCHOOL,E,EM,N,,3,913,6,6,6,6,,6,4,6,3,8,
655,0880,DENVER COUNTY 1,2125,DENVER GREEN SCHOOL,M,EM,N,,9,78,6,6,5,5,,12,12,8,12,,
656,0880,DENVER COUNTY 1,2127,DENVER LANGUAGE SCHOOL,E,E,N,,,,6,6,6,6,,,,,,9,
657,0880,DENVER COUNTY 1,2184,DENVER SCHOOL OF THE ARTS,M,MH,N,,6,232,11,12,9,12,11,5,6,3,6,5,
658,0880,DENVER COUNTY 1,2184,DENVER SCHOOL OF THE ARTS,H,MH,N,-,12,12,12,12,10,12,12,9,9,8,9,,96.
659,0880,DENVER COUNTY 1,2258,DOULL ELEMENTARY SCHOOL,E,E,N,,7,366,3,2,3,3,1,12,10,8,12,10,
660,0880,DENVER COUNTY 1,2223,DSST: COLE,M,M,N,,10,56,6,6,8,6,,12,12,13,12,5,
661,0880,DENVER COUNTY 1,2145,DSST: GREEN VALLEY RANCH,M,M,N,,12,28,7,6,8,6,,12,12,13,11,8,
662,0880,DENVER COUNTY 1,2185,DSST: STAPLETON,M,MH,N,,12,13,10,9,11,10,12,12,12,12,13,6,
663,0880,DENVER COUNTY 1,2185,DSST: STAPLETON,H,MH,N,-,13,1,12,12,13,9,12,12,11,13,9,,80.
664,0880,DENVER COUNTY 1,2364,EAGLETON ELEMENTARY SCHOOL,E,E,N,,6,663,3,1,3,3,2,9,5,9,12,7,
665,0880,DENVER COUNTY 1,2398,EAST HIGH SCHOOL,H,H,N,-,6,182,9,8,9,9,9,7,7,6,7,6,88.
666,0880,DENVER COUNTY 1,2506,EDISON ELEMENTARY SCHOOL,E,E,N,,6,538,6,6,6,7,9,7,7,6,7,,
667,0880,DENVER COUNTY 1,2652,ELLIS ELEMENTARY SCHOOL,E,E,N,,6,693,5,3,5,5,6,7,9,3,8,8,
669,0880,DENVER COUNTY 1,2789,ESCUELA TLATELOLCO SCHOOL,E,EMH,N,,,,1,1,1,1,,,,,,,
670,0880,DENVER COUNTY 1,2789,ESCUELA TLATELOLCO SCHOOL,M,EMH,N,,1,481,1,1,1,1,1,1,2,1,3,,
671,0880,DENVER COUNTY 1,2789,ESCUELA TLATELOLCO SCHOOL,H,EMH,N,38.,1,320,1,1,1,1,1,6,6,6,6,,32.
672,0880,DENVER COUNTY 1,2856,FAIRMONT K-8 SCHOOL,E,EM,N,,3,913,1,1,1,1,1,6,5,6,6,6,
673,0880,DENVER COUNTY 1,2856,FAIRMONT K-8 SCHOOL,M,EM,N,,6,344,1,1,3,2,1,9,6,7,12,10,
674,0880,DENVER COUNTY 1,2880,FAIRVIEW ELEMENTARY SCHOOL,E,E,N,,6,455,1,1,1,1,6,9,10,9,11,6,
676,0880,DENVER COUNTY 1,3032,FORCE ELEMENTARY SCHOOL,E,E,N,,6,479,3,3,2,4,3,9,8,12,12,6,
677,0880,DENVER COUNTY 1,1319,FRED N THOMAS CAREER EDUCATION CENTER,H,H,N,85.,9,61,7,9,6,6,6,9,10,6,9,11,85.
678,0880,DENVER COUNTY 1,3296,GARDEN PLACE ELEMENTARY SCHOOL,E,E,N,,6,608,1,1,3,1,1,9,6,12,9,6,
679,0880,DENVER COUNTY 1,3378,GEORGE WASHINGTON HIGH SCHOOL,H,H,N,92.,5,200,5,5,7,5,6,6,7,5,9,3,82.
680,0880,DENVER COUNTY 1,3426,GILPIN ELEMENTARY SCHOOL,E,E,N,,2,939,1,1,1,1,1,5,6,5,6,1,
681,0880,DENVER COUNTY 1,3639,GIRLS ATHLETIC LEADERSHIP SCHOOL,M,M,N,,9,148,6,6,6,6,6,9,10,6,11,,
682,0880,DENVER COUNTY 1,3478,GODSMAN ELEMENTARY SCHOOL,E,E,N,,6,608,2,2,1,2,3,9,9,8,9,7,
683,0880,DENVER COUNTY 1,3512,GOLDRICK ELEMENTARY SCHOOL,E,E,N,,6,673,3,3,4,3,5,7,6,9,6,6,
684,0880,DENVER COUNTY 1,3600,GRANT MIDDLE SCHOOL,M,M,N,,5,384,3,2,5,2,5,7,6,9,6,3,
685,0880,DENVER COUNTY 1,3605,GRANT RANCH K-8 SCHOOL,E,EM,N,,7,410,6,6,6,6,5,8,9,6,6,13,
686,0880,DENVER COUNTY 1,3605,GRANT RANCH K-8 SCHOOL,M,EM,N,,9,120,6,6,7,6,6,9,9,8,8,9,
687,0880,DENVER COUNTY 1,3641,GREEN VALLEY ELEMENTARY SCHOOL,E,E,N,,10,120,5,5,6,5,5,12,12,13,11,6,
688,0880,DENVER COUNTY 1,3655,GREENLEE ELEMENTARY SCHOOL,E,E,N,,3,882,1,2,1,1,1,6,3,5,3,10,
689,0880,DENVER COUNTY 1,3647,GREENWOOD ECE-8,E,EM,N,,5,800,3,2,3,3,2,8,6,9,7,7,
690,0880,DENVER COUNTY 1,3647,GREENWOOD ECE-8,M,EM,N,,7,191,6,5,6,6,5,9,9,10,9,6,
691,0880,DENVER COUNTY 1,3704,GUST ELEMENTARY SCHOOL,E,E,N,,7,366,6,5,6,5,5,10,8,12,6,12,
692,0880,DENVER COUNTY 1,4782,HALLETT FUNDAMENTAL ACADEMY,E,E,N,,9,296,5,5,5,5,2,9,9,9,9,6,
693,0880,DENVER COUNTY 1,3746,HAMILTON MIDDLE SCHOOL,M,M,N,,6,232,7,7,7,8,8,7,9,6,9,6,
694,0880,DENVER COUNTY 1,3778,HARRINGTON ELEMENTARY SCHOOL,E,E,N,,6,720,1,1,1,1,1,7,6,8,8,6,
695,0880,DENVER COUNTY 1,8054,HENRY WORLD SCHOOL GRADES 6-8,M,M,N,,6,319,5,3,6,5,6,6,6,6,8,6,
696,0880,DENVER COUNTY 1,2757,HIGH TECH EARLY COLLEGE,H,H,N,,,,5,4,6,3,,13,13,13,12,9,
697,0880,DENVER COUNTY 1,3987,HIGHLINE ACADEMY CHARTER SCHOOL,E,EM,N,,9,180,8,9,7,8,6,9,9,6,10,10,
698,0880,DENVER COUNTY 1,3987,HIGHLINE ACADEMY CHARTER SCHOOL,M,EM,N,,11,49,9,9,9,11,6,12,12,7,13,,
699,0880,DENVER COUNTY 1,3990,HILL CAMPUS OF ARTS AND SCIENCES,M,M,N,,8,162,6,5,6,6,6,9,7,9,9,6,
