Record_no,SPF_DIST_NUMBER,SPF_DISTRICT_NAME,SPF_SCHOOL_NUMBER,SPF_SCHOOL_NAME,SPF_EMH_CODE,SPF_INCLUDED_EMH_FOR_A,rate_at.5_chng_ach,rate_at.5_chng_growth,pct_pts_chng_.5
251,0480,BOULDER VALLEY RE 2,2940,FIRESIDE ELEMENTARY SCHOOL,E,E,2,2,2
252,0480,BOULDER VALLEY RE 2,2970,FLATIRONS ELEMENTARY SCHOOL,E,E,2,3,3
253,0480,BOULDER VALLEY RE 2,3022,FOOTHILL ELEMENTARY SCHOOL,E,E,2,2,2
254,0480,BOULDER VALLEY RE 2,3488,GOLD HILL ELEMENTARY SCHOOL,E,E,,,1
255,0480,BOULDER VALLEY RE 2,3499,HALCYON SCHOOL (SPECIAL EDUCATION),M,MH,,,
256,0480,BOULDER VALLEY RE 2,3499,HALCYON SCHOOL (SPECIAL EDUCATION),H,MH,,,2
257,0480,BOULDER VALLEY RE 2,3882,HEATHERWOOD ELEMENTARY SCHOOL,E,E,2,3,2
258,0480,BOULDER VALLEY RE 2,3940,HIGH PEAKS ELEMENTARY SCHOOL,E,E,2,1,1
259,0480,BOULDER VALLEY RE 2,6642,HORIZONS K8 SCHOOL,E,EM,2,2,2
260,0480,BOULDER VALLEY RE 2,6642,HORIZONS K8 SCHOOL,M,EM,2,3,3
261,0480,BOULDER VALLEY RE 2,4386,JAMESTOWN ELEMENTARY SCHOOL,E,E,,,1
262,0480,BOULDER VALLEY RE 2,4496,JUSTICE HIGH CHARTER SCHOOL,M,MH,,,
263,0480,BOULDER VALLEY RE 2,4496,JUSTICE HIGH CHARTER SCHOOL,H,MH,1,,2
264,0480,BOULDER VALLEY RE 2,4792,KOHL ELEMENTARY SCHOOL,E,E,2,2,2
265,0480,BOULDER VALLEY RE 2,4874,LAFAYETTE ELEMENTARY SCHOOL,E,E,2,3,2
266,0480,BOULDER VALLEY RE 2,5302,LOUISVILLE ELEMENTARY SCHOOL,E,E,2,3,2
267,0480,BOULDER VALLEY RE 2,5306,LOUISVILLE MIDDLE SCHOOL,M,M,2,2,2
268,0480,BOULDER VALLEY RE 2,1136,MANHATTAN MIDDLE SCHOOL OF THE ARTS AND ACADEMICS,M,M,2,2,2
269,0480,BOULDER VALLEY RE 2,5838,MESA ELEMENTARY SCHOOL,E,E,2,3,3
270,0480,BOULDER VALLEY RE 2,5999,MONARCH HIGH SCHOOL,H,H,2,1,2
271,0480,BOULDER VALLEY RE 2,6000,MONARCH K8 SCHOOL,E,EM,2,2,2
272,0480,BOULDER VALLEY RE 2,6000,MONARCH K8 SCHOOL,M,EM,2,3,2
273,0480,BOULDER VALLEY RE 2,6208,NEDERLAND ELEMENTARY SCHOOL,E,E,3,3,3
274,0480,BOULDER VALLEY RE 2,6212,NEDERLAND MIDDLESENIOR HIGH SCHOOL,M,MH,1,1,1
275,0480,BOULDER VALLEY RE 2,6212,NEDERLAND MIDDLESENIOR HIGH SCHOOL,H,MH,3,3,2
276,0480,BOULDER VALLEY RE 2,6224,NEVIN PLATT MIDDLE SCHOOL,M,M,2,2,2
277,0480,BOULDER VALLEY RE 2,6195,NEW VISTA HIGH SCHOOL,H,H,2,3,2
278,0480,BOULDER VALLEY RE 2,6816,PEAK TO PEAK CHARTER SCHOOL,E,EMH,2,2,3
279,0480,BOULDER VALLEY RE 2,6816,PEAK TO PEAK CHARTER SCHOOL,M,EMH,2,3,3
280,0480,BOULDER VALLEY RE 2,6816,PEAK TO PEAK CHARTER SCHOOL,H,EMH,2,2,2
281,0480,BOULDER VALLEY RE 2,6962,PIONEER BILINGUAL ELEMENTARY SCHOOL,E,E,1,2,2
282,0480,BOULDER VALLEY RE 2,7528,RYAN ELEMENTARY SCHOOL,E,E,2,3,3
283,0480,BOULDER VALLEY RE 2,7592,SANCHEZ ELEMENTARY SCHOOL,E,E,3,3,3
284,0480,BOULDER VALLEY RE 2,8135,SOUTHERN HILLS MIDDLE SCHOOL,M,M,2,2,2
285,0480,BOULDER VALLEY RE 2,8387,SUMMIT MIDDLE CHARTER SCHOOL,M,M,2,2,2
286,0480,BOULDER VALLEY RE 2,8418,SUPERIOR ELEMENTARY SCHOOL,E,E,2,2,2
287,0480,BOULDER VALLEY RE 2,8978,UNIVERSITY HILL ELEMENTARY SCHOOL,E,E,2,3,2
288,0480,BOULDER VALLEY RE 2,9544,WHITTIER ELEMENTARY SCHOOL,E,E,2,3,2
289,1750,BRANSON REORGANIZED 82,0974,BRANSON ELEMENTARY SCHOOL,E,E,,,1
290,1750,BRANSON REORGANIZED 82,0948,BRANSON SCHOOL ONLINE,E,EMH,3,3,3
291,1750,BRANSON REORGANIZED 82,0948,BRANSON SCHOOL ONLINE,M,EMH,2,2,3
292,1750,BRANSON REORGANIZED 82,0948,BRANSON SCHOOL ONLINE,H,EMH,3,2,2
293,1750,BRANSON REORGANIZED 82,0978,BRANSON UNDIVIDED HIGH SCHOOL,M,MH,,,
294,1750,BRANSON REORGANIZED 82,0978,BRANSON UNDIVIDED HIGH SCHOOL,H,MH,,,1
295,3146,BRIGGSDALE RE10,1008,BRIGGSDALE ELEMENTARY SCHOOL,E,E,2,3,3
296,3146,BRIGGSDALE RE10,1012,BRIGGSDALE UNDIVIDED HIGH SCHOOL,M,MH,3,1,2
297,3146,BRIGGSDALE RE10,1012,BRIGGSDALE UNDIVIDED HIGH SCHOOL,H,MH,1,1,2
298,0040,BRIGHTON 27J,0700,BELLE CREEK CHARTER SCHOOL,E,EM,2,1,1
299,0040,BRIGHTON 27J,0700,BELLE CREEK CHARTER SCHOOL,M,EM,2,1,1
300,0040,BRIGHTON 27J,1021,BRIGHTON HERITAGE ACADEMY,M,MH,,,1
301,0040,BRIGHTON 27J,1021,BRIGHTON HERITAGE ACADEMY,H,MH,3,1,2
302,0040,BRIGHTON 27J,1022,BRIGHTON HIGH SCHOOL,H,H,2,2,2
303,0040,BRIGHTON 27J,1052,BROMLEY EAST CHARTER SCHOOL,E,EM,2,2,2
304,0040,BRIGHTON 27J,1052,BROMLEY EAST CHARTER SCHOOL,M,EM,2,2,2
305,0040,BRIGHTON 27J,2399,EAGLE RIDGE ACADEMY,H,H,2,2,2
306,0040,BRIGHTON 27J,2945,FOUNDATIONS ACADEMY,E,E,2,2,3
307,0040,BRIGHTON 27J,3900,HENDERSON ELEMENTARY SCHOOL,E,E,2,3,3
308,0040,BRIGHTON 27J,8032,JOHN W THIMMIG ELEMENTARY SCHOOL,E,E,2,2,2
309,0040,BRIGHTON 27J,4950,LANDMARK ACADEMY AT REUNION,E,EM,2,2,2
310,0040,BRIGHTON 27J,4950,LANDMARK ACADEMY AT REUNION,M,EM,2,3,2
311,0040,BRIGHTON 27J,5615,MARY E PENNOCK ELEMENTARY SCHOOL,E,E,2,2,2
312,0040,BRIGHTON 27J,6294,NORTH ELEMENTARY SCHOOL,E,E,1,1,1
313,0040,BRIGHTON 27J,6395,NORTHEAST ELEMENTARY SCHOOL,E,E,2,3,3
314,0040,BRIGHTON 27J,6702,OTHO E STUART MIDDLE SCHOOL,M,M,2,2,2
315,0040,BRIGHTON 27J,6638,OVERLAND TRAIL MIDDLE SCHOOL,M,M,2,2,2
316,0040,BRIGHTON 27J,7129,PRAIRIE VIEW HIGH SCHOOL,H,H,3,2,2
317,0040,BRIGHTON 27J,7131,PRAIRIE VIEW MIDDLE SCHOOL,M,M,2,2,1
318,0040,BRIGHTON 27J,7714,SECOND CREEK ELEMENTARY SCHOOL,E,E,2,1,2
319,0040,BRIGHTON 27J,8060,SOUTH ELEMENTARY SCHOOL,E,E,2,2,2
320,0040,BRIGHTON 27J,8130,SOUTHEAST ELEMENTARY SCHOOL,E,E,2,2,2
321,0040,BRIGHTON 27J,8820,TURNBERRY ELEMENTARY,E,E,3,3,3
322,0040,BRIGHTON 27J,9230,VIKAN MIDDLE SCHOOL,M,M,2,2,1
323,0040,BRIGHTON 27J,9426,WEST RIDGE ELEMENTARY,E,E,2,2,2
324,2395,BRUSH RE2(J),1438,BEAVER VALLEY ELEMENTARY SCHOOL,E,E,2,1,1
325,2395,BRUSH RE2(J),1096,BRUSH HIGH SCHOOL,H,H,2,2,2
326,2395,BRUSH RE2(J),1094,BRUSH MIDDLE SCHOOL,M,M,2,1,1
327,0490,BUENA VISTA R31,4306,AVERY/PARSONS ELEMENTARY SCHOOL,E,E,2,2,2
328,0490,BUENA VISTA R31,1130,BUENA VISTA HIGH SCHOOL,H,H,2,3,2
329,0490,BUENA VISTA R31,1154,BUENA VISTA ONLINE ACADEMY,E,EMH,,,
330,0490,BUENA VISTA R31,1154,BUENA VISTA ONLINE ACADEMY,M,EMH,,,
331,0490,BUENA VISTA R31,1154,BUENA VISTA ONLINE ACADEMY,H,EMH,,,
332,0490,BUENA VISTA R31,1508,CHAFFEE COUNTY HIGH SCHOOL,H,H,,,1
333,0490,BUENA VISTA R31,1132,HARRY L MC GINNIS MIDDLE SCHOOL,M,M,2,2,2
334,1860,BUFFALO RE4J,5802,MERINO ELEMENTARY SCHOOL,E,E,1,1,1
335,1860,BUFFALO RE4J,5806,MERINO JUNIOR SENIOR HIGH SCHOOL,M,MH,2,1,2
336,1860,BUFFALO RE4J,5806,MERINO JUNIOR SENIOR HIGH SCHOOL,H,MH,1,1,2
337,1500,BURLINGTON RE6J,1144,BURLINGTON ELEMENTARY SCHOOL,E,E,2,3,3
338,1500,BURLINGTON RE6J,1152,BURLINGTON HIGH SCHOOL,H,H,1,1,2
339,1500,BURLINGTON RE6J,1150,BURLINGTON MIDDLE SCHOOL,E,EM,1,1,2
340,1500,BURLINGTON RE6J,1150,BURLINGTON MIDDLE SCHOOL,M,EM,3,2,2
341,0190,BYERS 32J,1168,BYERS ELEMENTARY SCHOOL,E,E,1,2,1
342,0190,BYERS 32J,1176,BYERS JUNIORSENIOR HIGH SCHOOL,M,MH,2,2,2
343,0190,BYERS 32J,1176,BYERS JUNIORSENIOR HIGH SCHOOL,H,MH,2,2,2
344,0970,CALHAN RJ1,1210,CALHAN ELEMENTARY SCHOOL,E,E,1,2,2
345,0970,CALHAN RJ1,1218,CALHAN HIGH SCHOOL,H,H,2,1,2
346,0970,CALHAN RJ1,1215,CALHAN MIDDLE SCHOOL,M,M,2,2,2
347,0270,CAMPO RE6,1248,CAMPO ELEMENTARY SCHOOL,E,E,,,1
348,0270,CAMPO RE6,1252,CAMPO UNDIVIDED HIGH SCHOOL,M,MH,,,1
349,0270,CAMPO RE6,1252,CAMPO UNDIVIDED HIGH SCHOOL,H,MH,,,3
350,1140,CANON CITY RE1,1266,CANON CITY HIGH SCHOOL,H,H,2,1,2
351,1140,CANON CITY RE1,1262,CANON CITY MIDDLE SCHOOL,M,M,1,2,2
352,1140,CANON CITY RE1,0419,CANON ONLINE ACADEMY,M,MH,,,
353,1140,CANON CITY RE1,0419,CANON ONLINE ACADEMY,H,MH,,,
354,1140,CANON CITY RE1,3802,HARRISON SCHOOL,E,EM,3,3,2
355,1140,CANON CITY RE1,3802,HARRISON SCHOOL,M,EM,2,2,2
356,1140,CANON CITY RE1,5166,LINCOLN ELEMENTARY SCHOOL,E,E,3,3,3
357,1140,CANON CITY RE1,5704,MCKINLEY ELEMENTARY SCHOOL,E,E,1,1,2
358,1140,CANON CITY RE1,6752,MOUNT VIEW CORE KNOWLEDGE CHARTER SCHOOL,E,EM,3,2,2
359,1140,CANON CITY RE1,6752,MOUNT VIEW CORE KNOWLEDGE CHARTER SCHOOL,M,EM,2,3,2
360,1140,CANON CITY RE1,7950,SKYLINE ELEMENTARY SCHOOL,E,E,3,2,3
361,1140,CANON CITY RE1,9248,WASHINGTON ELEMENTARY SCHOOL,E,E,2,3,2
362,0640,CENTENNIAL R1,7588,CENTENNIAL ELEMENTARY SCHOOL,E,E,1,1,1
363,0640,CENTENNIAL R1,1398,CENTENNIAL HIGH SCHOOL,H,H,1,2,2
364,0640,CENTENNIAL R1,1396,CENTENNIAL JUNIOR HIGH SCHOOL,M,M,3,1,2
365,2810,CENTER 26 JT,1420,CENTER HIGH SCHOOL,H,H,3,2,2
366,2810,CENTER 26 JT,1368,CENTER VIRTUAL ACADEMY,H,H,,,
367,2810,CENTER 26 JT,1412,HASKIN ELEMENTARY SCHOOL,E,E,3,2,2
368,2810,CENTER 26 JT,1416,SKOGLUND MIDDLE SCHOOL,M,M,2,2,2
369,2810,CENTER 26 JT,0051,THE ACADEMIC RECOVERY CENTER OF SAN LUIS VALLEY,H,H,,,3
370,8001,CHARTER SCHOOL INSTITUTE,0075,ANIMAS HIGH SCHOOL,H,H,2,2,2
371,8001,CHARTER SCHOOL INSTITUTE,1279,CAPROCK ACADEMY,E,EMH,2,2,2
372,8001,CHARTER SCHOOL INSTITUTE,1279,CAPROCK ACADEMY,M,EMH,2,3,2
373,8001,CHARTER SCHOOL INSTITUTE,1279,CAPROCK ACADEMY,H,EMH,2,1,2
374,8001,CHARTER SCHOOL INSTITUTE,1901,COLORADO CALVERT ACADEMY,E,EM,2,,2
375,8001,CHARTER SCHOOL INSTITUTE,1901,COLORADO CALVERT ACADEMY,M,EM,1,2,2
376,8001,CHARTER SCHOOL INSTITUTE,1877,COLORADO PROVOST ACADEMY,H,H,1,2,2
377,8001,CHARTER SCHOOL INSTITUTE,1791,COLORADO SPRINGS CHARTER ACADEMY,E,EM,2,3,2
378,8001,CHARTER SCHOOL INSTITUTE,1791,COLORADO SPRINGS CHARTER ACADEMY,M,EM,2,2,2
379,8001,CHARTER SCHOOL INSTITUTE,1795,COLORADO SPRINGS EARLY COLLEGES,H,H,2,1,2
380,8001,CHARTER SCHOOL INSTITUTE,1882,COMMUNITY LEADERSHIP ACADEMY,E,EM,3,3,3
381,8001,CHARTER SCHOOL INSTITUTE,1882,COMMUNITY LEADERSHIP ACADEMY,M,EM,3,2,2
382,8001,CHARTER SCHOOL INSTITUTE,2837,EARLY COLLEGE HIGH SCHOOL AT ARVADA,M,MH,2,2,3
383,8001,CHARTER SCHOOL INSTITUTE,2837,EARLY COLLEGE HIGH SCHOOL AT ARVADA,H,MH,2,1,2
384,8001,CHARTER SCHOOL INSTITUTE,0035,FRONTIER CHARTER ACADEMY,E,EM,1,,1
385,8001,CHARTER SCHOOL INSTITUTE,0035,FRONTIER CHARTER ACADEMY,M,EM,,,1
386,8001,CHARTER SCHOOL INSTITUTE,3475,GOAL ACADEMY,M,MH,2,2,2
387,8001,CHARTER SCHOOL INSTITUTE,3475,GOAL ACADEMY,H,MH,2,3,2
388,8001,CHARTER SCHOOL INSTITUTE,0655,HIGH POINT ACADEMY,E,EM,2,3,3
389,8001,CHARTER SCHOOL INSTITUTE,0655,HIGH POINT ACADEMY,M,EM,1,1,2
390,8001,CHARTER SCHOOL INSTITUTE,5453,MOUNTAIN MIDDLE SCHOOL,M,M,2,2,2
391,8001,CHARTER SCHOOL INSTITUTE,8929,PIKES PEAK PREP,E,EMH,1,2,2
392,8001,CHARTER SCHOOL INSTITUTE,8929,PIKES PEAK PREP,M,EMH,2,2,2
393,8001,CHARTER SCHOOL INSTITUTE,8929,PIKES PEAK PREP,H,EMH,1,1,3
394,8001,CHARTER SCHOOL INSTITUTE,7278,RICARDO FLORES MAGON ACADEMY,E,E,1,1,1
395,8001,CHARTER SCHOOL INSTITUTE,7512,ROSS MONTESSORI SCHOOL,E,EM,2,2,1
396,8001,CHARTER SCHOOL INSTITUTE,7512,ROSS MONTESSORI SCHOOL,M,EM,2,1,2
397,8001,CHARTER SCHOOL INSTITUTE,1376,SCHOLARS TO LEADERS ACADEMY,E,EM,2,1,2
398,8001,CHARTER SCHOOL INSTITUTE,1376,SCHOLARS TO LEADERS ACADEMY,M,EM,3,2,2
399,8001,CHARTER SCHOOL INSTITUTE,0653,STONE CREEK SCHOOL,E,EM,3,3,3
400,8001,CHARTER SCHOOL INSTITUTE,0653,STONE CREEK SCHOOL,M,EM,2,2,2
401,8001,CHARTER SCHOOL INSTITUTE,0657,T.R. PAUL ACADEMY OF ARTS & KNOWLEDGE,E,EM,3,2,2
402,8001,CHARTER SCHOOL INSTITUTE,0657,T.R. PAUL ACADEMY OF ARTS & KNOWLEDGE,M,EM,3,3,2
403,8001,CHARTER SCHOOL INSTITUTE,0654,THE PINNACLE CHARTER SCHOOL ELEMENTARY,E,E,1,1,1
404,8001,CHARTER SCHOOL INSTITUTE,6914,THE PINNACLE CHARTER SCHOOL HIGH,H,H,1,2,2
405,8001,CHARTER SCHOOL INSTITUTE,6913,THE PINNACLE CHARTER SCHOOL MIDDLE,M,M,2,2,2
406,8001,CHARTER SCHOOL INSTITUTE,9057,THE VANGUARD SCHOOL (HIGH),H,H,2,2,2
407,8001,CHARTER SCHOOL INSTITUTE,9051,THE VANGUARD SCHOOL (MIDDLE),M,M,1,1,2
408,8001,CHARTER SCHOOL INSTITUTE,8825,THOMAS MACLAREN STATE CHARTER SCHOOL,M,MH,3,1,1
409,8001,CHARTER SCHOOL INSTITUTE,8825,THOMAS MACLAREN STATE CHARTER SCHOOL,H,MH,2,2,2
410,8001,CHARTER SCHOOL INSTITUTE,9785,YOUTH & FAMILY ACADEMY CHARTER,M,MH,3,,1
411,8001,CHARTER SCHOOL INSTITUTE,9785,YOUTH & FAMILY ACADEMY CHARTER,H,MH,1,1,1
412,2560,CHERAW 31,1538,CHERAW ELEMENTARY SCHOOL,E,E,2,3,3
413,2560,CHERAW 31,1546,CHERAW HIGH SCHOOL,H,H,3,3,2
414,2560,CHERAW 31,1548,CHERAW MIDDLE SCHOOL,M,M,1,3,3
415,0130,CHERRY CREEK 5,0242,ANTELOPE RIDGE ELEMENTARY SCHOOL,E,E,2,2,2
416,0130,CHERRY CREEK 5,0348,ARROWHEAD ELEMENTARY SCHOOL,E,E,2,1,1
417,0130,CHERRY CREEK 5,0442,ASPEN CROSSING ELEMENTARY SCHOOL,E,E,2,1,2
418,0130,CHERRY CREEK 5,0714,BELLEVIEW ELEMENTARY SCHOOL,E,E,2,2,2
419,0130,CHERRY CREEK 5,1155,BUFFALO TRAIL ELEMENTARY SCHOOL,E,E,2,1,1
420,0130,CHERRY CREEK 5,1566,CAMPUS MIDDLE SCHOOL,M,M,2,2,2
421,0130,CHERRY CREEK 5,1273,CANYON CREEK ELEMENTARY SCHOOL,E,E,1,1,1
422,0130,CHERRY CREEK 5,1510,CHALLENGE SCHOOL,E,EM,2,1,2
423,0130,CHERRY CREEK 5,1510,CHALLENGE SCHOOL,M,EM,2,2,2
424,0130,CHERRY CREEK 5,1551,CHEROKEE TRAIL HIGH SCHOOL,H,H,2,2,2
425,0130,CHERRY CREEK 5,1571,CHERRY CREEK CHARTER ACADEMY,E,EM,2,2,2
426,0130,CHERRY CREEK 5,1571,CHERRY CREEK CHARTER ACADEMY,M,EM,2,2,2
427,0130,CHERRY CREEK 5,1570,CHERRY CREEK HIGH SCHOOL,H,H,2,2,2
428,0130,CHERRY CREEK 5,1574,CHERRY HILLS VILLAGE ELEMENTARY SCHOOL,E,E,2,1,2
429,0130,CHERRY CREEK 5,1614,CIMARRON ELEMENTARY SCHOOL,E,E,2,2,2
430,0130,CHERRY CREEK 5,1916,COTTONWOOD CREEK ELEMENTARY SCHOOL,E,E,2,2,2
431,0130,CHERRY CREEK 5,0243,COYOTE HILLS ELEMENTARY SCHOOL,E,E,2,2,2
432,0130,CHERRY CREEK 5,1970,CREEKSIDE ELEMENTARY SCHOOL,E,E,2,2,2
433,0130,CHERRY CREEK 5,2094,DAKOTA VALLEY ELEMENTARY SCHOOL,E,E,2,2,2
434,0130,CHERRY CREEK 5,2292,DRY CREEK ELEMENTARY SCHOOL,E,E,2,2,2
435,0130,CHERRY CREEK 5,2357,EAGLECREST HIGH SCHOOL,H,H,2,2,2
436,0130,CHERRY CREEK 5,2428,EASTRIDGE COMMUNITY ELEMENTARY SCHOOL,E,E,2,1,2
437,0130,CHERRY CREEK 5,2897,FALCON CREEK MIDDLE SCHOOL,M,M,2,2,2
438,0130,CHERRY CREEK 5,0016,FOX HOLLOW ELEMENTARY SCHOOL,E,E,2,2,2
439,0130,CHERRY CREEK 5,3030,FOX RIDGE MIDDLE SCHOOL,M,M,2,1,2
440,0130,CHERRY CREEK 5,3589,GRANDVIEW HIGH SCHOOL,H,H,2,3,2
441,0130,CHERRY CREEK 5,3648,GREENWOOD ELEMENTARY SCHOOL,E,E,2,2,2
442,0130,CHERRY CREEK 5,3926,HERITAGE ELEMENTARY SCHOOL,E,E,1,1,2
443,0130,CHERRY CREEK 5,1572,HIGH PLAINS ELEMENTARY SCHOOL,E,E,2,1,2
444,0130,CHERRY CREEK 5,3988,HIGHLINE COMMUNITY ELEMENTARY SCHOOL,E,E,1,1,1
445,0130,CHERRY CREEK 5,4062,HOLLY HILLS ELEMENTARY SCHOOL,E,E,2,1,2
446,0130,CHERRY CREEK 5,4078,HOMESTEAD ELEMENTARY SCHOOL,E,E,2,2,2
447,0130,CHERRY CREEK 5,4100,HORIZON MIDDLE SCHOOL,M,M,2,2,2
448,0130,CHERRY CREEK 5,4276,INDEPENDENCE ELEMENTARY SCHOOL,E,E,1,1,2
449,0130,CHERRY CREEK 5,4280,INDIAN RIDGE ELEMENTARY SCHOOL,E,E,2,2,2
450,0130,CHERRY CREEK 5,4975,LAREDO MIDDLE SCHOOL,M,M,2,2,2
451,0130,CHERRY CREEK 5,0018,LIBERTY MIDDLE SCHOOL,M,M,2,1,2
452,0130,CHERRY CREEK 5,5744,MEADOW POINT ELEMENTARY SCHOOL,E,E,2,2,2
453,0130,CHERRY CREEK 5,5934,MISSION VIEJO ELEMENTARY SCHOOL,E,E,2,1,1
454,0130,CHERRY CREEK 5,6625,OVERLAND HIGH SCHOOL,H,H,3,2,2
455,0130,CHERRY CREEK 5,6820,PEAKVIEW ELEMENTARY SCHOOL,E,E,2,2,2
456,0130,CHERRY CREEK 5,6955,PINE RIDGE ELEMENTARY SCHOOL,E,E,2,2,2
457,0130,CHERRY CREEK 5,7102,POLTON COMMUNITY ELEMENTARY SCHOOL,E,E,2,3,2
458,0130,CHERRY CREEK 5,7116,PONDEROSA ELEMENTARY SCHOOL,E,E,2,1,2
459,0130,CHERRY CREEK 5,7158,PRAIRIE MIDDLE SCHOOL,M,M,2,2,2
460,0130,CHERRY CREEK 5,7277,RED HAWK RIDGE ELEMENTARY SCHOOL,E,E,2,2,2
461,0130,CHERRY CREEK 5,7476,ROLLING HILLS ELEMENTARY SCHOOL,E,E,2,2,2
462,0130,CHERRY CREEK 5,7559,SAGEBRUSH ELEMENTARY SCHOOL,E,E,2,2,2
463,0130,CHERRY CREEK 5,0141,SKY VISTA MIDDLE SCHOOL,M,M,2,2,2
464,0130,CHERRY CREEK 5,8020,SMOKY HILL HIGH SCHOOL,H,H,2,2,2
465,0130,CHERRY CREEK 5,8380,SUMMIT ELEMENTARY SCHOOL,E,E,2,2,2
466,0130,CHERRY CREEK 5,8394,SUNRISE ELEMENTARY SCHOOL,E,E,1,1,1
467,0130,CHERRY CREEK 5,8848,THUNDER RIDGE MIDDLE SCHOOL,M,M,2,2,2
468,0130,CHERRY CREEK 5,8850,TIMBERLINE ELEMENTARY SCHOOL,E,E,2,3,2
469,0130,CHERRY CREEK 5,8887,TRAILS WEST ELEMENTARY SCHOOL,E,E,1,2,2
470,0130,CHERRY CREEK 5,9108,VILLAGE EAST COMMUNITY ELEMENTARY SCHOOL,E,E,3,2,2
471,0130,CHERRY CREEK 5,9200,WALNUT HILLS COMMUNITY ELEMENTARY SCHOOL,E,E,2,2,2
472,0130,CHERRY CREEK 5,1568,WEST MIDDLE SCHOOL,M,M,2,2,2
473,0130,CHERRY CREEK 5,9624,WILLOW CREEK ELEMENTARY SCHOOL,E,E,2,2,3
474,0520,CHEYENNE COUNTY RE5,1608,CHEYENNE WELLS ELEMENTARY SCHOOL,E,E,2,3,3
475,0520,CHEYENNE COUNTY RE5,1612,CHEYENNE WELLS HIGH SCHOOL,H,H,3,1,2
476,0520,CHEYENNE COUNTY RE5,1610,CHEYENNE WELLS MIDDLE SCHOOL,M,M,2,2,2
477,1020,CHEYENNE MOUNTAIN 12,1592,BROADMOOR ELEMENTARY SCHOOL,E,E,2,2,2
478,1020,CHEYENNE MOUNTAIN 12,1582,CHEYENNE MOUNTAIN CHARTER ACADEMY,E,E,2,2,2
479,1020,CHEYENNE MOUNTAIN 12,1586,CHEYENNE MOUNTAIN ELEMENTARY SCHOOL,E,E,2,2,2
480,1020,CHEYENNE MOUNTAIN 12,1590,CHEYENNE MOUNTAIN HIGH SCHOOL,H,H,2,2,2
481,1020,CHEYENNE MOUNTAIN 12,1588,CHEYENNE MOUNTAIN JUNIOR HIGH SCHOOL,M,M,2,2,2
482,1020,CHEYENNE MOUNTAIN 12,3482,GOLD CAMP ELEMENTARY SCHOOL,E,E,2,2,2
483,1020,CHEYENNE MOUNTAIN 12,6953,PINON VALLEY ELEMENTARY SCHOOL,E,E,2,3,3
484,1020,CHEYENNE MOUNTAIN 12,1604,SKYWAY PARK ELEMENTARY SCHOOL,E,E,2,3,3
485,0540,CLEAR CREEK RE1,4212,CARLSON ELEMENTARY SCHOOL,E,E,2,1,1
486,0540,CLEAR CREEK RE1,4216,CLEAR CREEK HIGH SCHOOL,H,H,3,1,2
487,0540,CLEAR CREEK RE1,1660,CLEAR CREEK MIDDLE SCHOOL,M,M,2,2,2
488,0540,CLEAR CREEK RE1,3385,GEORGETOWN COMMUNITY SCHOOL,E,E,1,1,1
489,0540,CLEAR CREEK RE1,4700,KINGMURPHY ELEMENTARY SCHOOL,E,E,1,1,1
490,9000,Colorado School for the Deaf and Blind,9999,COLORADO SCHOOL FOR THE DEAF AND BLIND,E,EMH,1,,2
491,9000,Colorado School for the Deaf and Blind,9999,COLORADO SCHOOL FOR THE DEAF AND BLIND,M,EMH,3,1,1
492,9000,Colorado School for the Deaf and Blind,9999,COLORADO SCHOOL FOR THE DEAF AND BLIND,H,EMH,1,2,2
493,1010,COLORADO SPRINGS 11,0517,ACADEMY FOR ADVANCED AND CREATIVE LEARNING,E,EM,2,3,3
494,1010,COLORADO SPRINGS 11,0517,ACADEMY FOR ADVANCED AND CREATIVE LEARNING,M,EM,2,3,3
495,1010,COLORADO SPRINGS 11,0269,ACHIEVEK12,E,EMH,,,1
496,1010,COLORADO SPRINGS 11,0269,ACHIEVEK12,M,EMH,1,2,3
497,1010,COLORADO SPRINGS 11,0269,ACHIEVEK12,H,EMH,3,,2
498,1010,COLORADO SPRINGS 11,0452,AUDUBON ELEMENTARY SCHOOL,E,E,3,2,2
499,1010,COLORADO SPRINGS 11,0594,BATES ELEMENTARY SCHOOL,E,E,2,2,2
500,1010,COLORADO SPRINGS 11,1032,BRISTOL ELEMENTARY SCHOOL,E,E,2,2,2
501,1010,COLORADO SPRINGS 11,1126,BUENA VISTA ELEMENTARY SCHOOL,E,E,1,2,1
502,1010,COLORADO SPRINGS 11,1340,CARVER ELEMENTARY SCHOOL,E,E,2,3,3
503,1010,COLORADO SPRINGS 11,1613,CHIPETA ELEMENTARY SCHOOL,E,E,2,2,2
504,1010,COLORADO SPRINGS 11,1616,CIVA CHARTER ACADEMY,H,H,2,2,2
505,1010,COLORADO SPRINGS 11,1798,COLUMBIA ELEMENTARY SCHOOL,E,E,3,2,2
506,1010,COLORADO SPRINGS 11,1885,COMMUNITY PREP CHARTER SCHOOL,H,H,2,1,1
507,1010,COLORADO SPRINGS 11,1870,CORONADO HIGH SCHOOL,H,H,2,2,2
508,1010,COLORADO SPRINGS 11,2202,DOHERTY HIGH SCHOOL,H,H,2,3,3
509,1010,COLORADO SPRINGS 11,2510,EDISON ELEMENTARY SCHOOL,E,E,3,3,3
510,1010,COLORADO SPRINGS 11,3175,FREEDOM ELEMENTARY SCHOOL,E,E,2,2,2
