DISTRICT CODE,DISTRICT NAME,SCHOOL CODE,SCHOOL NAME,% FREE AND REDUCED,,,Developed: 11-5-12
0180,ADAMS-ARAPAHOE 28J,6869,PEORIA ELEMENTARY SCHOOL,86.97%,,,
0180,ADAMS-ARAPAHOE 28J,7232,AURORA QUEST K-8,25.83%,,,
0180,ADAMS-ARAPAHOE 28J,7250,RANGEVIEW HIGH SCHOOL,42.06%,,,
0180,ADAMS-ARAPAHOE 28J,7558,SABLE ELEMENTARY SCHOOL,84.99%,,,
0180,ADAMS-ARAPAHOE 28J,7865,SIDE CREEK ELEMENTARY SCHOOL,44.78%,,,
0180,ADAMS-ARAPAHOE 28J,7932,SIXTH AVENUE ELEMENTARY SCHOOL,83.77%,,,
0180,ADAMS-ARAPAHOE 28J,8078,SOUTH MIDDLE SCHOOL,86.15%,,,
0180,ADAMS-ARAPAHOE 28J,8356,WILLIAM SMITH HIGH SCHOOL,51.77%,,,
0180,ADAMS-ARAPAHOE 28J,8858,TOLLGATE ELEMENTARY SCHOOL,79.29%,,,
0180,ADAMS-ARAPAHOE 28J,9056,VANGUARD CLASSICAL SCHOOL,64.24%,,,
0180,ADAMS-ARAPAHOE 28J,9059,VASSAR ELEMENTARY SCHOOL,61.33%,,,
0180,ADAMS-ARAPAHOE 28J,9060,VAUGHN ELEMENTARY SCHOOL,89.61%,,,
0180,ADAMS-ARAPAHOE 28J,9083,VISTA PEAK P-8 EXPLORATORY,53.19%,,,
0180,ADAMS-ARAPAHOE 28J,9125,VISTA PEAK 9-12 PREPARATORY,53.01%,,,
0180,ADAMS-ARAPAHOE 28J,9140,VIRGINIA COURT ELEMENTARY SCHOOL,81.42%,,,
0180,ADAMS-ARAPAHOE 28J,9396,AURORA WEST COLLEGE PREPARATORY ACADEMY,94.52%,,,
0180,ADAMS-ARAPAHOE 28J,9514,WHEELING ELEMENTARY SCHOOL,81.10%,,,
0180,ADAMS-ARAPAHOE 28J,9756,YALE ELEMENTARY SCHOOL,70.08%,,,
0190,BYERS 32J,1168,BYERS ELEMENTARY SCHOOL,53.30%,,,
0190,BYERS 32J,1176,BYERS JUNIOR-SENIOR HIGH SCHOOL,34.84%,,,
0220,ARCHULETA COUNTY 50 JT,0064,ARCHULETA COUNTY HIGH SCHOOL,100.00%,,,
0220,ARCHULETA COUNTY 50 JT,6652,PAGOSA SPRINGS ELEMENTARY SCHOOL,59.38%,,,
0220,ARCHULETA COUNTY 50 JT,6657,PAGOSA SPRINGS MIDDLE SCHOOL,55.40%,,,
0220,ARCHULETA COUNTY 50 JT,6658,PAGOSA SPRINGS HIGH SCHOOL,39.39%,,,
0230,WALSH RE-1,9222,WALSH ELEMENTARY SCHOOL,50.75%,,,
0230,WALSH RE-1,9226,WALSH HIGH SCHOOL,35.29%,,,
0240,PRITCHETT RE-3,7174,PRITCHETT ELEMENTARY SCHOOL,62.07%,,,
0240,PRITCHETT RE-3,7176,PRITCHETT MIDDLE SCHOOL,47.06%,,,
0240,PRITCHETT RE-3,7180,PRITCHETT HIGH SCHOOL,65.00%,,,
0250,SPRINGFIELD RE-4,8160,SPRINGFIELD ELEMENTARY SCHOOL,73.98%,,,
0250,SPRINGFIELD RE-4,8164,SPRINGFIELD JUNIOR HIGH SCHOOL,50.00%,,,
0250,SPRINGFIELD RE-4,8168,SPRINGFIELD HIGH SCHOOL,55.79%,,,
0260,VILAS RE-5,9085,V.I.L.A.S. ONLINE SCHOOL,50.66%,,,
0260,VILAS RE-5,9090,VILAS ELEMENTARY SCHOOL,53.85%,,,
0260,VILAS RE-5,9100,VILAS UNDIVIDED HIGH SCHOOL,23.33%,,,
0270,CAMPO RE-6,1248,CAMPO ELEMENTARY SCHOOL,80.00%,,,
0270,CAMPO RE-6,1252,CAMPO UNDIVIDED HIGH SCHOOL,71.43%,,,
0290,LAS ANIMAS RE-1,1812,LAS ANIMAS ELEMENTARY SCHOOL,83.53%,,,
0290,LAS ANIMAS RE-1,4495,JUMP START LEARNING CENTER,0.00%,,,
0290,LAS ANIMAS RE-1,4986,LAS ANIMAS MIDDLE SCHOOL,87.63%,,,
0290,LAS ANIMAS RE-1,4990,LAS ANIMAS HIGH SCHOOL,72.41%,,,
0310,MC CLAVE RE-2,5666,MC CLAVE ELEMENTARY SCHOOL,61.54%,,,
0310,MC CLAVE RE-2,5670,MC CLAVE UNDIVIDED HIGH SCHOOL,54.35%,,,
0470,ST VRAIN VALLEY RE 1J,0060,LEGACY ELEMENTARY SCHOOL,21.63%,,,
0470,ST VRAIN VALLEY RE 1J,0061,ALPINE ELEMENTARY SCHOOL,23.79%,,,
0470,ST VRAIN VALLEY RE 1J,0071,ASPEN RIDGE PREPATORY SCHOOL,5.06%,,,
0470,ST VRAIN VALLEY RE 1J,0226,ALTONA MIDDLE SCHOOL,18.40%,,,
0470,ST VRAIN VALLEY RE 1J,0875,BLACK ROCK ELEMENTARY,4.65%,,,
0470,ST VRAIN VALLEY RE 1J,0878,BLUE MOUNTAIN ELEMENTARY,8.78%,,,
0470,ST VRAIN VALLEY RE 1J,1148,BURLINGTON ELEMENTARY SCHOOL,40.82%,,,
0470,ST VRAIN VALLEY RE 1J,1245,CENTENNIAL ELEMENTARY,32.18%,,,
0470,ST VRAIN VALLEY RE 1J,1284,CARBON VALLEY ACADEMY,15.03%,,,
0470,ST VRAIN VALLEY RE 1J,1434,CENTRAL ELEMENTARY SCHOOL,57.72%,,,
0470,ST VRAIN VALLEY RE 1J,1844,COLUMBINE ELEMENTARY SCHOOL,92.66%,,,
0470,ST VRAIN VALLEY RE 1J,2343,EAGLE CREST ELEMENTARY SCHOOL,26.97%,,,
0470,ST VRAIN VALLEY RE 1J,2758,ERIE ELEMENTARY SCHOOL,17.23%,,,
0470,ST VRAIN VALLEY RE 1J,2760,ERIE MIDDLE SCHOOL,16.22%,,,
0470,ST VRAIN VALLEY RE 1J,2761,ERIE HIGH SCHOOL,13.49%,,,
0470,ST VRAIN VALLEY RE 1J,2912,FALL RIVER ELEMENTARY SCHOOL,15.11%,,,
0470,ST VRAIN VALLEY RE 1J,2964,FLAGSTAFF CHARTER ACADEMY,6.81%,,,
0470,ST VRAIN VALLEY RE 1J,3192,FREDERICK ELEMENTARY SCHOOL,64.80%,,,
0470,ST VRAIN VALLEY RE 1J,3194,COAL RIDGE MIDDLE SCHOOL,40.85%,,,
0470,ST VRAIN VALLEY RE 1J,3196,FREDERICK SENIOR HIGH SCHOOL,31.65%,,,
0470,ST VRAIN VALLEY RE 1J,4202,HYGIENE ELEMENTARY SCHOOL,21.81%,,,
0470,ST VRAIN VALLEY RE 1J,4278,INDIAN PEAKS ELEMENTARY SCHOOL,95.34%,,,
0470,ST VRAIN VALLEY RE 1J,4333,IMAGINE CHARTER,14.33%,,,
0470,ST VRAIN VALLEY RE 1J,5181,RED HAWK ELEMENTARY,6.88%,,,
0470,ST VRAIN VALLEY RE 1J,5246,LOMA LINDA ELEMENTARY SCHOOL,76.98%,,,
0470,ST VRAIN VALLEY RE 1J,5282,LONGMONT HIGH SCHOOL,35.72%,,,
0470,ST VRAIN VALLEY RE 1J,5284,LONGMONT ESTATES ELEMENTARY SCHOOL,30.64%,,,
0470,ST VRAIN VALLEY RE 1J,5286,SUNSET MIDDLE SCHOOL,39.24%,,,
0470,ST VRAIN VALLEY RE 1J,5288,LONGS PEAK MIDDLE SCHOOL,70.41%,,,
0470,ST VRAIN VALLEY RE 1J,5364,LYONS ELEMENTARY SCHOOL,20.92%,,,
0470,ST VRAIN VALLEY RE 1J,5368,LYONS MIDDLE/SENIOR HIGH SCHOOL,15.68%,,,
0470,ST VRAIN VALLEY RE 1J,5722,MEAD HIGH SCHOOL,23.09%,,,
0470,ST VRAIN VALLEY RE 1J,5726,MEAD ELEMENTARY SCHOOL,17.76%,,,
0470,ST VRAIN VALLEY RE 1J,5730,MEAD MIDDLE SCHOOL,16.08%,,,
0470,ST VRAIN VALLEY RE 1J,6156,MOUNTAIN VIEW ELEMENTARY SCHOOL,74.71%,,,
0470,ST VRAIN VALLEY RE 1J,6274,NIWOT ELEMENTARY SCHOOL,5.86%,,,
0470,ST VRAIN VALLEY RE 1J,6276,NIWOT HIGH SCHOOL,16.29%,,,
0470,ST VRAIN VALLEY RE 1J,6344,HERITAGE MIDDLE SCHOOL,79.18%,,,
0470,ST VRAIN VALLEY RE 1J,6404,NORTHRIDGE ELEMENTARY SCHOOL,86.59%,,,
0470,ST VRAIN VALLEY RE 1J,6498,OLDE COLUMBINE HIGH SCHOOL,51.61%,,,
0470,ST VRAIN VALLEY RE 1J,6499,ADULT EDUCATION/LINCOLN CENTER,12.35%,,,
0470,ST VRAIN VALLEY RE 1J,7157,PRAIRIE RIDGE ELEMENTARY SCHOOL,20.05%,,,
0470,ST VRAIN VALLEY RE 1J,7464,ROCKY MOUNTAIN ELEMENTARY SCHOOL,89.40%,,,
0470,ST VRAIN VALLEY RE 1J,7565,ST. VRAIN COMMUNITY MONTOSSORI SCHOOL,6.87%,,,
0470,ST VRAIN VALLEY RE 1J,7584,SANBORN ELEMENTARY SCHOOL,41.81%,,,
0470,ST VRAIN VALLEY RE 1J,7789,SILVER CREEK HIGH SCHOOL,17.66%,,,
0470,ST VRAIN VALLEY RE 1J,7839,ST. VRAIN GLOBAL ONLINE ACADEMY,26.15%,,,
0470,ST VRAIN VALLEY RE 1J,7954,SKYLINE HIGH SCHOOL,45.06%,,,
0470,ST VRAIN VALLEY RE 1J,8140,SPANGLER ELEMENTARY SCHOOL,95.38%,,,
0470,ST VRAIN VALLEY RE 1J,8903,TRAIL RIDGE MIDDLE SCHOOL,45.15%,,,
0470,ST VRAIN VALLEY RE 1J,8927,TWIN PEAKS CHARTER ACADEMY,25.40%,,,
0470,ST VRAIN VALLEY RE 1J,9430,WESTVIEW MIDDLE SCHOOL,28.76%,,,
0480,BOULDER VALLEY RE 2,0125,ARAPAHOE RIDGE HIGH SCHOOL,56.67%,,,
0480,BOULDER VALLEY RE 2,0441,ASPEN CREEK K-8 SCHOOL,11.14%,,,
0480,BOULDER VALLEY RE 2,0652,BEAR CREEK ELEMENTARY SCHOOL,2.65%,,,
0480,BOULDER VALLEY RE 2,0872,BIRCH ELEMENTARY SCHOOL,31.91%,,,
0480,BOULDER VALLEY RE 2,0919,BOULDER COMMUNITY SCHOOL/INTEGRATED STUDIES,17.91%,,,
0480,BOULDER VALLEY RE 2,0924,BOULDER HIGH SCHOOL,17.38%,,,
0480,BOULDER VALLEY RE 2,0930,BOULDER UNIVERSAL,12.80%,,,
0480,BOULDER VALLEY RE 2,0934,BOULDER PREP CHARTER HIGH SCHOOL,37.30%,,,
0480,BOULDER VALLEY RE 2,1066,BROOMFIELD HEIGHTS MIDDLE SCHOOL,26.38%,,,
0480,BOULDER VALLEY RE 2,1070,BROOMFIELD HIGH SCHOOL,13.31%,,,
0480,BOULDER VALLEY RE 2,1136,MANHATTAN MIDDLE SCHOOL OF THE ARTS AND ACADEMICS,27.47%,,,
0480,BOULDER VALLEY RE 2,1352,CASEY MIDDLE SCHOOL,36.26%,,,
0480,BOULDER VALLEY RE 2,1380,CENTAURUS HIGH SCHOOL,31.27%,,,
0480,BOULDER VALLEY RE 2,1390,CENTENNIAL MIDDLE SCHOOL,25.81%,,,
0480,BOULDER VALLEY RE 2,1725,COAL CREEK ELEMENTARY SCHOOL,6.41%,,,
0480,BOULDER VALLEY RE 2,1842,COLUMBINE ELEMENTARY SCHOOL,73.37%,,,
0480,BOULDER VALLEY RE 2,1883,COMMUNITY MONTESSORI SCHOOL,24.12%,,,
0480,BOULDER VALLEY RE 2,1996,CREST VIEW ELEMENTARY SCHOOL,24.16%,,,
0480,BOULDER VALLEY RE 2,2240,DOUGLASS ELEMENTARY SCHOOL,4.39%,,,
0480,BOULDER VALLEY RE 2,2552,EISENHOWER ELEMENTARY SCHOOL,16.78%,,,
0480,BOULDER VALLEY RE 2,2589,ELDORADO K-8 SCHOOL,6.07%,,,
0480,BOULDER VALLEY RE 2,2702,EMERALD ELEMENTARY SCHOOL,55.59%,,,
0480,BOULDER VALLEY RE 2,2892,FAIRVIEW HIGH SCHOOL,7.28%,,,
0480,BOULDER VALLEY RE 2,2940,FIRESIDE ELEMENTARY SCHOOL,14.06%,,,
0480,BOULDER VALLEY RE 2,2970,FLATIRONS ELEMENTARY SCHOOL,3.42%,,,
0480,BOULDER VALLEY RE 2,3022,FOOTHILL ELEMENTARY SCHOOL,11.47%,,,
0480,BOULDER VALLEY RE 2,3488,GOLD HILL ELEMENTARY SCHOOL,30.77%,,,
0480,BOULDER VALLEY RE 2,3499,HALCYON SCHOOL (SPECIAL EDUCATION),66.67%,,,
0480,BOULDER VALLEY RE 2,3882,HEATHERWOOD ELEMENTARY SCHOOL,7.95%,,,
0480,BOULDER VALLEY RE 2,3940,HIGH PEAKS ELEMENTARY SCHOOL,10.38%,,,
0480,BOULDER VALLEY RE 2,4386,JAMESTOWN ELEMENTARY SCHOOL,19.05%,,,
0480,BOULDER VALLEY RE 2,4496,JUSTICE HIGH CHARTER SCHOOL,68.37%,,,
0480,BOULDER VALLEY RE 2,4792,KOHL ELEMENTARY SCHOOL,19.15%,,,
0480,BOULDER VALLEY RE 2,4874,LAFAYETTE ELEMENTARY SCHOOL,19.86%,,,
0480,BOULDER VALLEY RE 2,4878,ANGEVINE MIDDLE SCHOOL,46.51%,,,
0480,BOULDER VALLEY RE 2,5302,LOUISVILLE ELEMENTARY SCHOOL,12.05%,,,
0480,BOULDER VALLEY RE 2,5306,LOUISVILLE MIDDLE SCHOOL,12.68%,,,
0480,BOULDER VALLEY RE 2,5606,CREEKSIDE ELEMENTARY SCHOOL AT MARTIN PARK,40.45%,,,
0480,BOULDER VALLEY RE 2,5838,MESA ELEMENTARY SCHOOL,4.04%,,,
0480,BOULDER VALLEY RE 2,5999,MONARCH HIGH SCHOOL,5.65%,,,
0480,BOULDER VALLEY RE 2,6000,MONARCH K-8 SCHOOL,12.28%,,,
0480,BOULDER VALLEY RE 2,6195,NEW VISTA HIGH SCHOOL,13.83%,,,
0480,BOULDER VALLEY RE 2,6208,NEDERLAND ELEMENTARY SCHOOL,20.38%,,,
0480,BOULDER VALLEY RE 2,6212,NEDERLAND MIDDLE-SENIOR HIGH SCHOOL,21.98%,,,
0480,BOULDER VALLEY RE 2,6224,NEVIN PLATT MIDDLE SCHOOL,7.97%,,,
0480,BOULDER VALLEY RE 2,6642,HORIZONS K-8 SCHOOL,5.42%,,,
0480,BOULDER VALLEY RE 2,6816,PEAK TO PEAK CHARTER SCHOOL,7.40%,,,
0480,BOULDER VALLEY RE 2,6962,PIONEER BILINGUAL ELEMENTARY SCHOOL,46.39%,,,
0480,BOULDER VALLEY RE 2,7528,RYAN ELEMENTARY SCHOOL,29.86%,,,
0480,BOULDER VALLEY RE 2,7592,SANCHEZ ELEMENTARY SCHOOL,75.35%,,,
0480,BOULDER VALLEY RE 2,8135,SOUTHERN HILLS MIDDLE SCHOOL,4.49%,,,
0480,BOULDER VALLEY RE 2,8387,SUMMIT MIDDLE CHARTER SCHOOL,3.59%,,,
0480,BOULDER VALLEY RE 2,8418,SUPERIOR ELEMENTARY SCHOOL,2.97%,,,
0480,BOULDER VALLEY RE 2,8978,UNIVERSITY HILL ELEMENTARY SCHOOL,52.30%,,,
0480,BOULDER VALLEY RE 2,9544,WHITTIER ELEMENTARY SCHOOL,35.79%,,,
0490,BUENA VISTA R-31,1130,BUENA VISTA HIGH SCHOOL,33.33%,,,
0490,BUENA VISTA R-31,1132,HARRY L MC GINNIS MIDDLE SCHOOL,49.04%,,,
0490,BUENA VISTA R-31,1154,BUENA VISTA ONLINE ACADEMY,45.45%,,,
0490,BUENA VISTA R-31,1508,CHAFFEE COUNTY HIGH SCHOOL,64.10%,,,
0490,BUENA VISTA R-31,4306,AVERY/PARSONS ELEMENTARY SCHOOL,45.89%,,,
0500,SALIDA R-32,1554,CREST ACADEMY,0.00%,,,
0500,SALIDA R-32,4085,HORIZONS EXPLORATORY ACADEMY,39.13%,,,
0500,SALIDA R-32,4680,SALIDA MIDDLE SCHOOL,48.96%,,,
0500,SALIDA R-32,5268,LONGFELLOW ELEMENTARY SCHOOL,45.22%,,,
0500,SALIDA R-32,7568,SALIDA HIGH SCHOOL,39.58%,,,
0500,SALIDA R-32,7643,SALIDA EARLY CHILDHOOD CENTER,0.00%,,,
0510,KIT CARSON R-1,4738,KIT CARSON ELEMENTARY SCHOOL,54.69%,,,
0510,KIT CARSON R-1,4742,KIT CARSON JUNIOR-SENIOR HIGH SCHOOL,41.07%,,,
0520,CHEYENNE COUNTY RE-5,1608,CHEYENNE WELLS ELEMENTARY SCHOOL,50.65%,,,
0520,CHEYENNE COUNTY RE-5,1610,CHEYENNE WELLS MIDDLE SCHOOL,37.21%,,,
0520,CHEYENNE COUNTY RE-5,1612,CHEYENNE WELLS HIGH SCHOOL,47.17%,,,
0540,CLEAR CREEK RE-1,1660,CLEAR CREEK MIDDLE SCHOOL,26.05%,,,
0540,CLEAR CREEK RE-1,3385,GEORGETOWN COMMUNITY SCHOOL,11.32%,,,
0540,CLEAR CREEK RE-1,4212,CARLSON ELEMENTARY SCHOOL,46.96%,,,
0540,CLEAR CREEK RE-1,4216,CLEAR CREEK HIGH SCHOOL,20.95%,,,
0540,CLEAR CREEK RE-1,4700,KING-MURPHY ELEMENTARY SCHOOL,7.66%,,,
0550,NORTH CONEJOS RE-1J,1276,CENTAURI MIDDLE SCHOOL,75.10%,,,
0550,NORTH CONEJOS RE-1J,1378,CENTAURI HIGH SCHOOL,71.05%,,,
0550,NORTH CONEJOS RE-1J,4836,LA JARA ELEMENTARY SCHOOL,65.66%,,,
0550,NORTH CONEJOS RE-1J,4837,LA JARA SECOND CHANCE SCHOOL,12.07%,,,
0550,NORTH CONEJOS RE-1J,5422,MANASSA ELEMENTARY SCHOOL,75.11%,,,
0560,SANFORD 6J,7612,SANFORD ELEMENTARY SCHOOL,69.68%,,,
0560,SANFORD 6J,7616,SANFORD JUNIOR/SENIOR HIGH SCHOOL,59.86%,,,
0580,SOUTH CONEJOS RE-10,0248,GUADALUPE ELEMENTARY SCHOOL,71.76%,,,
0580,SOUTH CONEJOS RE-10,0250,ANTONITO JUNIOR HIGH SCHOOL,70.00%,,,
0580,SOUTH CONEJOS RE-10,0252,ANTONITO HIGH SCHOOL,60.27%,,,
0640,CENTENNIAL R-1,1396,CENTENNIAL JUNIOR HIGH SCHOOL,82.86%,,,
0640,CENTENNIAL R-1,1398,CENTENNIAL HIGH SCHOOL,81.08%,,,
0640,CENTENNIAL R-1,7588,CENTENNIAL ELEMENTARY SCHOOL,95.49%,,,
0740,SIERRA GRANDE R-30,7876,SIERRA GRANDE ELEMENTARY SCHOOL,92.98%,,,
0740,SIERRA GRANDE R-30,7878,SIERRA GRANDE MIDDLE SCHOOL,87.30%,,,
0740,SIERRA GRANDE R-30,7880,SIERRA GRANDE SENIOR HIGH SCHOOL,73.63%,,,
0770,CROWLEY COUNTY RE-1-J,2050,CROWLEY COUNTY ELEMENTARY SCHOOL,75.74%,,,
0770,CROWLEY COUNTY RE-1-J,2054,CROWLEY COUNTY WARD MIDDLE SCHOOL,73.19%,,,
0770,CROWLEY COUNTY RE-1-J,2058,CROWLEY COUNTY HIGH SCHOOL,66.19%,,,
0860,CUSTER COUNTY SCHOOL DISTRICT C-1,2088,CUSTER COUNTY ELEMENTARY SCHOOL,51.33%,,,
0860,CUSTER COUNTY SCHOOL DISTRICT C-1,2091,CUSTER MIDDLE SCHOOL,40.63%,,,
0860,CUSTER COUNTY SCHOOL DISTRICT C-1,2092,CUSTER COUNTY HIGH SCHOOL,42.69%,,,
0870,DELTA COUNTY 50(J),0489,BACKPACK EARLY LEARNING ACADEMY,0.00%,,,
0870,DELTA COUNTY 50(J),1372,CEDAREDGE HIGH SCHOOL,37.45%,,,
0870,DELTA COUNTY 50(J),1375,CEDAREDGE MIDDLE SCHOOL,44.80%,,,
0870,DELTA COUNTY 50(J),1952,CRAWFORD ELEMENTARY SCHOOL,61.11%,,,
0870,DELTA COUNTY 50(J),2152,DELTA ACADEMY OF APPLIED LEARNING,23.08%,,,
0870,DELTA COUNTY 50(J),2155,DELTA COUNTY OPPORTUNITY SCHOOL,54.95%,,,
0870,DELTA COUNTY 50(J),2160,DELTA MIDDLE SCHOOL,57.53%,,,
0870,DELTA COUNTY 50(J),2164,DELTA HIGH SCHOOL,50.15%,,,
0870,DELTA COUNTY 50(J),2166,DELTA VISION SCHOOL,13.44%,,,
0870,DELTA COUNTY 50(J),2293,DELTA COUNTY VIRTUAL ACADEMY,42.86%,,,
0870,DELTA COUNTY 50(J),3330,GARNET MESA ELEMENTARY SCHOOL,60.98%,,,
0870,DELTA COUNTY 50(J),4124,HOTCHKISS ELEMENTARY SCHOOL,44.38%,,,
0870,DELTA COUNTY 50(J),4128,HOTCHKISS HIGH SCHOOL,41.42%,,,
0870,DELTA COUNTY 50(J),4182,CEDAREDGE ELEMENTARY SCHOOL,53.79%,,,
0870,DELTA COUNTY 50(J),5154,LINCOLN ELEMENTARY SCHOOL,63.72%,,,
0870,DELTA COUNTY 50(J),6298,NORTH FORK MONTESSORI SCHOOL,44.44%,,,
0870,DELTA COUNTY 50(J),6700,PAONIA ELEMENTARY SCHOOL,45.87%,,,
0870,DELTA COUNTY 50(J),6708,PAONIA HIGH SCHOOL,26.36%,,,
0870,DELTA COUNTY 50(J),8419,SURFACE CREEK VISION SCHOOL,20.69%,,,
0870,DELTA COUNTY 50(J),9146,NORTH FORK VISION SCHOOL,13.54%,,,
0880,DENVER COUNTY 1,0006,COUNTY JAIL,0.00%,,,
0880,DENVER COUNTY 1,0010,ABRAHAM LINCOLN HIGH SCHOOL,92.96%,,,
0880,DENVER COUNTY 1,0040,RIDGE VIEW ACADEMY CHARTER SCHOOL,99.65%,,,
0880,DENVER COUNTY 1,0067,ACADEMY OF URBAN LEARNING,87.05%,,,
0880,DENVER COUNTY 1,0220,AMESSE ELEMENTARY SCHOOL,96.17%,,,
0880,DENVER COUNTY 1,0388,ASBURY ELEMENTARY SCHOOL,47.92%,,,
0880,DENVER COUNTY 1,0408,VALDEZ ELEMENTARY SCHOOL,74.72%,,,
0880,DENVER COUNTY 1,0418,ASHLEY ELEMENTARY SCHOOL,96.24%,,,
0880,DENVER COUNTY 1,0520,BARNUM ELEMENTARY SCHOOL,93.87%,,,
0880,DENVER COUNTY 1,0540,BARRETT ELEMENTARY SCHOOL,94.71%,,,
0880,DENVER COUNTY 1,0650,BEACH COURT ELEMENTARY SCHOOL,96.06%,,,
0880,DENVER COUNTY 1,0964,BRADLEY ELEMENTARY SCHOOL,50.88%,,,
0880,DENVER COUNTY 1,1056,BROMWELL ELEMENTARY SCHOOL,9.09%,,,
0880,DENVER COUNTY 1,1076,BROWN ELEMENTARY SCHOOL,50.77%,,,
0880,DENVER COUNTY 1,1106,BRYANT WEBSTER K-8 SCHOOL,95.67%,,,
0880,DENVER COUNTY 1,1295,COLLEGIATE PREPARATORY ACADEMY,92.31%,,,
0880,DENVER COUNTY 1,1319,FRED N THOMAS CAREER EDUCATION CENTER,88.63%,,,
0880,DENVER COUNTY 1,1324,CARSON ELEMENTARY SCHOOL,16.06%,,,
0880,DENVER COUNTY 1,1345,CESAR CHAVEZ ACADEMY DENVER,83.11%,,,
0880,DENVER COUNTY 1,1400,CENTENNIAL K-8 SCHOOL,80.92%,,,
0880,DENVER COUNTY 1,1528,CHELTENHAM ELEMENTARY SCHOOL,98.11%,,,
0880,DENVER COUNTY 1,1748,COLORADO HIGH SCHOOL,65.87%,,,
0880,DENVER COUNTY 1,1774,COLFAX ELEMENTARY SCHOOL,98.22%,,,
0880,DENVER COUNTY 1,1785,COLE ARTS AND SCIENCE ACADEMY,96.06%,,,
0880,DENVER COUNTY 1,1788,COLLEGE VIEW ELEMENTARY SCHOOL,96.02%,,,
0880,DENVER COUNTY 1,1816,COLUMBIAN ELEMENTARY SCHOOL,93.89%,,,
0880,DENVER COUNTY 1,1846,COLUMBINE ELEMENTARY SCHOOL,92.94%,,,
0880,DENVER COUNTY 1,1866,ACE COMMUNITY CHALLENGE CHARTER SCHOOL,93.64%,,,
0880,DENVER COUNTY 1,1908,CORY ELEMENTARY SCHOOL,8.52%,,,
0880,DENVER COUNTY 1,1928,COWELL ELEMENTARY SCHOOL,98.06%,,,
0880,DENVER COUNTY 1,2027,POLARIS AT EBERT ELEMENTARY SCHOOL,7.83%,,,
0880,DENVER COUNTY 1,2125,DENVER GREEN SCHOOL,58.31%,,,
0880,DENVER COUNTY 1,2127,DENVER LANGUAGE SCHOOL,17.70%,,,
0880,DENVER COUNTY 1,2145,DENVER SCHOOL OF SCIENCE AND TECHNOLOGY: GVR,66.74%,,,
0880,DENVER COUNTY 1,2174,DENISON MONTESSORI SCHOOL,63.02%,,,
0880,DENVER COUNTY 1,2183,DENVER CENTER FOR INTERNATIONAL STUDIES,42.45%,,,
0880,DENVER COUNTY 1,2184,DENVER SCHOOL OF THE ARTS,14.46%,,,
0880,DENVER COUNTY 1,2185,DENVER SCHOOL OF SCIENCE AND TECHNOLOGY,43.26%,,,
0880,DENVER COUNTY 1,2188,DENVER CENTER FOR 21ST LEARNING AT WYMAN,86.84%,,,
0880,DENVER COUNTY 1,2205,DCIS AT FORD,97.18%,,,
0880,DENVER COUNTY 1,2209,DCIS AT MONTBELLO,88.26%,,,
0880,DENVER COUNTY 1,2223,DSST: COLE,73.57%,,,
0880,DENVER COUNTY 1,2258,DOULL ELEMENTARY SCHOOL,95.44%,,,
0880,DENVER COUNTY 1,2349,ESCALANTE-BIGGS ACADEMY,75.17%,,,
0880,DENVER COUNTY 1,2364,EAGLETON ELEMENTARY SCHOOL,94.92%,,,
0880,DENVER COUNTY 1,2398,EAST HIGH SCHOOL,35.45%,,,
0880,DENVER COUNTY 1,2506,EDISON ELEMENTARY SCHOOL,40.75%,,,
0880,DENVER COUNTY 1,2652,ELLIS ELEMENTARY SCHOOL,90.47%,,,
0880,DENVER COUNTY 1,2726,EMILY GRIFFITH OPPORTUNITY SCHOOL,35.80%,,,
0880,DENVER COUNTY 1,2755,VENTURE PREP,88.25%,,,
0880,DENVER COUNTY 1,2757,HIGH TECH EARLY COLLEGE,84.38%,,,
0880,DENVER COUNTY 1,2789,ESCUELA TLATELOLCO SCHOOL,73.23%,,,
0880,DENVER COUNTY 1,2856,FAIRMONT K-8 SCHOOL,98.21%,,,
0880,DENVER COUNTY 1,2880,FAIRVIEW ELEMENTARY SCHOOL,96.92%,,,
0880,DENVER COUNTY 1,3000,FLORENCE CRITTENTON HIGH SCHOOL,88.39%,,,
0880,DENVER COUNTY 1,3032,FORCE ELEMENTARY SCHOOL,96.12%,,,
0880,DENVER COUNTY 1,3038,FORD ELEMENTARY SCHOOL,99.32%,,,
0880,DENVER COUNTY 1,3296,GARDEN PLACE ELEMENTARY SCHOOL,97.93%,,,
0880,DENVER COUNTY 1,3340,ARCHULETA ELEMENTARY SCHOOL,88.85%,,,
0880,DENVER COUNTY 1,3378,GEORGE WASHINGTON HIGH SCHOOL,54.44%,,,
0880,DENVER COUNTY 1,3426,GILPIN ELEMENTARY SCHOOL,83.98%,,,
0880,DENVER COUNTY 1,3478,GODSMAN ELEMENTARY SCHOOL,96.92%,,,
0880,DENVER COUNTY 1,3512,GOLDRICK ELEMENTARY SCHOOL,96.15%,,,
0880,DENVER COUNTY 1,3600,GRANT MIDDLE SCHOOL,84.99%,,,
0880,DENVER COUNTY 1,3605,GRANT RANCH K-8 SCHOOL,53.73%,,,
0880,DENVER COUNTY 1,3639,GIRLS ATHLETIC LEADERSHIP SCHOOL,51.14%,,,
