DISTRICT CODE,DISTRICT NAME,SCHOOL CODE,SCHOOL NAME,% FREE AND REDUCED
0260,VILAS RE-5,9100,VILAS UNDIVIDED HIGH SCHOOL,45.7%
0270,CAMPO RE-6,1248,CAMPO ELEMENTARY SCHOOL,66.7%
0270,CAMPO RE-6,1252,CAMPO UNDIVIDED HIGH SCHOOL,71.4%
0290,LAS ANIMAS RE-1,1812,LAS ANIMAS ELEMENTARY SCHOOL,81.3%
0290,LAS ANIMAS RE-1,4986,LAS ANIMAS MIDDLE SCHOOL,87.3%
0290,LAS ANIMAS RE-1,4990,LAS ANIMAS HIGH SCHOOL,65.9%
0310,MC CLAVE RE-2,5666,MC CLAVE ELEMENTARY SCHOOL,60.6%
0310,MC CLAVE RE-2,5670,MC CLAVE UNDIVIDED HIGH SCHOOL,54.2%
0470,ST VRAIN VALLEY RE 1J,0060,LEGACY ELEMENTARY SCHOOL,21.8%
0470,ST VRAIN VALLEY RE 1J,0061,ALPINE ELEMENTARY SCHOOL,21.8%
0470,ST VRAIN VALLEY RE 1J,0226,ALTONA MIDDLE SCHOOL,15.2%
0470,ST VRAIN VALLEY RE 1J,0875,BLACK ROCK ELEMENTARY,4.8%
0470,ST VRAIN VALLEY RE 1J,0878,BLUE MOUNTAIN ELEMENTARY,8.2%
0470,ST VRAIN VALLEY RE 1J,1148,BURLINGTON ELEMENTARY SCHOOL,41.7%
0470,ST VRAIN VALLEY RE 1J,1245,CENTENNIAL ELEMENTARY,31.5%
0470,ST VRAIN VALLEY RE 1J,1284,CARBON VALLEY ACADEMY,13.8%
0470,ST VRAIN VALLEY RE 1J,1434,CENTRAL ELEMENTARY SCHOOL,61.9%
0470,ST VRAIN VALLEY RE 1J,1844,COLUMBINE ELEMENTARY SCHOOL,87.0%
0470,ST VRAIN VALLEY RE 1J,2343,EAGLE CREST ELEMENTARY SCHOOL,25.4%
0470,ST VRAIN VALLEY RE 1J,2758,ERIE ELEMENTARY SCHOOL,15.5%
0470,ST VRAIN VALLEY RE 1J,2760,ERIE MIDDLE SCHOOL,15.1%
0470,ST VRAIN VALLEY RE 1J,2761,ERIE HIGH SCHOOL,14.7%
0470,ST VRAIN VALLEY RE 1J,2912,FALL RIVER ELEMENTARY SCHOOL,13.0%
0470,ST VRAIN VALLEY RE 1J,2964,FLAGSTAFF CHARTER ACADEMY,5.7%
0470,ST VRAIN VALLEY RE 1J,3192,FREDERICK ELEMENTARY SCHOOL,62.4%
0470,ST VRAIN VALLEY RE 1J,3194,COAL RIDGE MIDDLE SCHOOL,38.2%
0470,ST VRAIN VALLEY RE 1J,3196,FREDERICK SENIOR HIGH SCHOOL,32.5%
0470,ST VRAIN VALLEY RE 1J,4202,HYGIENE ELEMENTARY SCHOOL,16.4%
0470,ST VRAIN VALLEY RE 1J,4278,INDIAN PEAKS ELEMENTARY SCHOOL,91.6%
0470,ST VRAIN VALLEY RE 1J,4333,IMAGINE CHARTER,14.6%
0470,ST VRAIN VALLEY RE 1J,5246,LOMA LINDA ELEMENTARY SCHOOL,79.1%
0470,ST VRAIN VALLEY RE 1J,5282,LONGMONT HIGH SCHOOL,33.6%
0470,ST VRAIN VALLEY RE 1J,5284,LONGMONT ESTATES ELEMENTARY SCHOOL,27.8%
0470,ST VRAIN VALLEY RE 1J,5286,SUNSET MIDDLE SCHOOL,36.2%
0470,ST VRAIN VALLEY RE 1J,5288,LONGS PEAK MIDDLE SCHOOL,66.4%
0470,ST VRAIN VALLEY RE 1J,5364,LYONS ELEMENTARY SCHOOL,18.0%
0470,ST VRAIN VALLEY RE 1J,5368,LYONS MIDDLE/SENIOR HIGH SCHOOL,15.4%
0470,ST VRAIN VALLEY RE 1J,5722,MEAD HIGH SCHOOL,21.3%
0470,ST VRAIN VALLEY RE 1J,5726,MEAD ELEMENTARY SCHOOL,17.5%
0470,ST VRAIN VALLEY RE 1J,5730,MEAD MIDDLE SCHOOL,17.6%
0470,ST VRAIN VALLEY RE 1J,6156,MOUNTAIN VIEW ELEMENTARY SCHOOL,70.0%
0470,ST VRAIN VALLEY RE 1J,6274,NIWOT ELEMENTARY SCHOOL,6.2%
0470,ST VRAIN VALLEY RE 1J,6276,NIWOT HIGH SCHOOL,16.0%
0470,ST VRAIN VALLEY RE 1J,6344,HERITAGE MIDDLE SCHOOL,76.6%
0470,ST VRAIN VALLEY RE 1J,6404,NORTHRIDGE ELEMENTARY SCHOOL,89.3%
0470,ST VRAIN VALLEY RE 1J,6498,OLDE COLUMBINE HIGH SCHOOL,45.7%
0470,ST VRAIN VALLEY RE 1J,6499,ADULT EDUCATION/LINCOLN CENTER,14.5%
0470,ST VRAIN VALLEY RE 1J,7157,PRAIRIE RIDGE ELEMENTARY SCHOOL,22.3%
0470,ST VRAIN VALLEY RE 1J,7464,ROCKY MOUNTAIN ELEMENTARY SCHOOL,88.9%
0470,ST VRAIN VALLEY RE 1J,7565,ST. VRAIN COMMUNITY MONTOSSORI SCHOOL,4.5%
0470,ST VRAIN VALLEY RE 1J,7584,SANBORN ELEMENTARY SCHOOL,41.1%
0470,ST VRAIN VALLEY RE 1J,7789,SILVER CREEK HIGH SCHOOL,13.6%
0470,ST VRAIN VALLEY RE 1J,7954,SKYLINE HIGH SCHOOL,44.1%
0470,ST VRAIN VALLEY RE 1J,8140,SPANGLER ELEMENTARY SCHOOL,96.2%
0470,ST VRAIN VALLEY RE 1J,8903,TRAIL RIDGE MIDDLE SCHOOL,42.7%
0470,ST VRAIN VALLEY RE 1J,8927,TWIN PEAKS CHARTER ACADEMY,25.0%
0470,ST VRAIN VALLEY RE 1J,9430,WESTVIEW MIDDLE SCHOOL,27.8%
0480,BOULDER VALLEY RE 2,0125,ARAPAHOE RIDGE HIGH SCHOOL,50.7%
0480,BOULDER VALLEY RE 2,0441,ASPEN CREEK K-8 SCHOOL,8.8%
0480,BOULDER VALLEY RE 2,0652,BEAR CREEK ELEMENTARY SCHOOL,3.5%
0480,BOULDER VALLEY RE 2,0872,BIRCH ELEMENTARY SCHOOL,28.9%
0480,BOULDER VALLEY RE 2,0919,BOULDER COMMUNITY SCHOOL/INTEGRATED STUDIES,19.7%
0480,BOULDER VALLEY RE 2,0924,BOULDER HIGH SCHOOL,16.5%
0480,BOULDER VALLEY RE 2,0930,BOULDER UNIVERSAL,15.3%
0480,BOULDER VALLEY RE 2,0934,BOULDER PREP CHARTER HIGH SCHOOL,44.1%
0480,BOULDER VALLEY RE 2,1066,BROOMFIELD HEIGHTS MIDDLE SCHOOL,25.1%
0480,BOULDER VALLEY RE 2,1070,BROOMFIELD HIGH SCHOOL,12.9%
0480,BOULDER VALLEY RE 2,1136,MANHATTAN MIDDLE SCHOOL OF THE ARTS AND ACADEMICS,25.9%
0480,BOULDER VALLEY RE 2,1352,CASEY MIDDLE SCHOOL,41.0%
0480,BOULDER VALLEY RE 2,1380,CENTAURUS HIGH SCHOOL,31.4%
0480,BOULDER VALLEY RE 2,1390,CENTENNIAL MIDDLE SCHOOL,21.4%
0480,BOULDER VALLEY RE 2,1725,COAL CREEK ELEMENTARY SCHOOL,7.1%
0480,BOULDER VALLEY RE 2,1842,COLUMBINE ELEMENTARY SCHOOL,74.7%
0480,BOULDER VALLEY RE 2,1883,COMMUNITY MONTESSORI SCHOOL,20.8%
0480,BOULDER VALLEY RE 2,1996,CREST VIEW ELEMENTARY SCHOOL,22.0%
0480,BOULDER VALLEY RE 2,2240,DOUGLASS ELEMENTARY SCHOOL,4.9%
0480,BOULDER VALLEY RE 2,2552,EISENHOWER ELEMENTARY SCHOOL,17.5%
0480,BOULDER VALLEY RE 2,2589,ELDORADO K-8 SCHOOL,7.4%
0480,BOULDER VALLEY RE 2,2702,EMERALD ELEMENTARY SCHOOL,49.4%
0480,BOULDER VALLEY RE 2,2892,FAIRVIEW HIGH SCHOOL,6.5%
0480,BOULDER VALLEY RE 2,2940,FIRESIDE ELEMENTARY SCHOOL,15.8%
0480,BOULDER VALLEY RE 2,2970,FLATIRONS ELEMENTARY SCHOOL,24.0%
0480,BOULDER VALLEY RE 2,3022,FOOTHILL ELEMENTARY SCHOOL,21.8%
0480,BOULDER VALLEY RE 2,3488,GOLD HILL ELEMENTARY SCHOOL,100.0%
0480,BOULDER VALLEY RE 2,3499,HALCYON SCHOOL (SPECIAL EDUCATION),76.0%
0480,BOULDER VALLEY RE 2,3882,HEATHERWOOD ELEMENTARY SCHOOL,10.0%
0480,BOULDER VALLEY RE 2,3940,HIGH PEAKS ELEMENTARY SCHOOL,9.0%
0480,BOULDER VALLEY RE 2,4386,JAMESTOWN ELEMENTARY SCHOOL,12.0%
0480,BOULDER VALLEY RE 2,4496,JUSTICE HIGH CHARTER SCHOOL,50.7%
0480,BOULDER VALLEY RE 2,4792,KOHL ELEMENTARY SCHOOL,20.2%
0480,BOULDER VALLEY RE 2,4874,LAFAYETTE ELEMENTARY SCHOOL,20.8%
0480,BOULDER VALLEY RE 2,4878,ANGEVINE MIDDLE SCHOOL,47.2%
0480,BOULDER VALLEY RE 2,5302,LOUISVILLE ELEMENTARY SCHOOL,14.0%
0480,BOULDER VALLEY RE 2,5306,LOUISVILLE MIDDLE SCHOOL,11.8%
0480,BOULDER VALLEY RE 2,5606,CREEKSIDE ELEMENTARY SCHOOL AT MARTIN PARK,40.2%
0480,BOULDER VALLEY RE 2,5838,MESA ELEMENTARY SCHOOL,3.2%
0480,BOULDER VALLEY RE 2,5999,MONARCH HIGH SCHOOL,5.1%
0480,BOULDER VALLEY RE 2,6000,MONARCH K-8 SCHOOL,10.1%
0480,BOULDER VALLEY RE 2,6195,NEW VISTA HIGH SCHOOL,14.8%
0480,BOULDER VALLEY RE 2,6208,NEDERLAND ELEMENTARY SCHOOL,21.5%
0480,BOULDER VALLEY RE 2,6212,NEDERLAND MIDDLE-SENIOR HIGH SCHOOL,19.2%
0480,BOULDER VALLEY RE 2,6224,NEVIN PLATT MIDDLE SCHOOL,5.8%
0480,BOULDER VALLEY RE 2,6642,HORIZONS K-8 SCHOOL,6.9%
0480,BOULDER VALLEY RE 2,6816,PEAK TO PEAK CHARTER SCHOOL,8.2%
0480,BOULDER VALLEY RE 2,6962,PIONEER BILINGUAL ELEMENTARY SCHOOL,43.5%
0480,BOULDER VALLEY RE 2,7528,RYAN ELEMENTARY SCHOOL,32.1%
0480,BOULDER VALLEY RE 2,7592,SANCHEZ ELEMENTARY SCHOOL,73.5%
0480,BOULDER VALLEY RE 2,8135,SOUTHERN HILLS MIDDLE SCHOOL,6.0%
0480,BOULDER VALLEY RE 2,8387,SUMMIT MIDDLE CHARTER SCHOOL,3.0%
0480,BOULDER VALLEY RE 2,8418,SUPERIOR ELEMENTARY SCHOOL,1.9%
0480,BOULDER VALLEY RE 2,8978,UNIVERSITY HILL ELEMENTARY SCHOOL,48.6%
0480,BOULDER VALLEY RE 2,9544,WHITTIER ELEMENTARY SCHOOL,35.2%
0490,BUENA VISTA R-31,1130,BUENA VISTA HIGH SCHOOL,26.6%
0490,BUENA VISTA R-31,1132,HARRY L MC GINNIS MIDDLE SCHOOL,43.3%
0490,BUENA VISTA R-31,1154,BUENA VISTA ONLINE ACADEMY,20.0%
0490,BUENA VISTA R-31,1508,CHAFFEE COUNTY HIGH SCHOOL,59.1%
0490,BUENA VISTA R-31,4306,AVERY/PARSONS ELEMENTARY SCHOOL,46.3%
0500,SALIDA R-32,4085,HORIZONS EXPLORATORY ACADEMY,40.0%
0500,SALIDA R-32,4680,SALIDA MIDDLE SCHOOL,46.5%
0500,SALIDA R-32,5268,LONGFELLOW ELEMENTARY SCHOOL,41.3%
0500,SALIDA R-32,7568,SALIDA HIGH SCHOOL,33.7%
0510,KIT CARSON R-1,4738,KIT CARSON ELEMENTARY SCHOOL,54.5%
0510,KIT CARSON R-1,4742,KIT CARSON JUNIOR-SENIOR HIGH SCHOOL,37.0%
0520,CHEYENNE COUNTY RE-5,1608,CHEYENNE WELLS ELEMENTARY SCHOOL,34.7%
0520,CHEYENNE COUNTY RE-5,1610,CHEYENNE WELLS MIDDLE SCHOOL,36.8%
0520,CHEYENNE COUNTY RE-5,1612,CHEYENNE WELLS HIGH SCHOOL,24.1%
0540,CLEAR CREEK RE-1,1660,CLEAR CREEK MIDDLE SCHOOL,25.2%
0540,CLEAR CREEK RE-1,3385,GEORGETOWN COMMUNITY SCHOOL,14.7%
0540,CLEAR CREEK RE-1,4212,CARLSON ELEMENTARY SCHOOL,52.8%
0540,CLEAR CREEK RE-1,4216,CLEAR CREEK HIGH SCHOOL,24.3%
0540,CLEAR CREEK RE-1,4700,KING-MURPHY ELEMENTARY SCHOOL,8.7%
0550,NORTH CONEJOS RE-1J,1276,CENTAURI MIDDLE SCHOOL,77.7%
0550,NORTH CONEJOS RE-1J,1378,CENTAURI HIGH SCHOOL,65.5%
0550,NORTH CONEJOS RE-1J,4836,LA JARA ELEMENTARY SCHOOL,71.5%
0550,NORTH CONEJOS RE-1J,4837,LA JARA SECOND CHANCE SCHOOL,41.4%
0550,NORTH CONEJOS RE-1J,5422,MANASSA ELEMENTARY SCHOOL,78.4%
0560,SANFORD 6J,7612,SANFORD ELEMENTARY SCHOOL,69.7%
0560,SANFORD 6J,7616,SANFORD JUNIOR/SENIOR HIGH SCHOOL,57.9%
0580,SOUTH CONEJOS RE-10,0248,GUADALUPE ELEMENTARY SCHOOL,84.2%
0580,SOUTH CONEJOS RE-10,0250,ANTONITO JUNIOR HIGH SCHOOL,80.6%
0580,SOUTH CONEJOS RE-10,0252,ANTONITO HIGH SCHOOL,69.1%
0640,CENTENNIAL R-1,1396,CENTENNIAL JUNIOR HIGH SCHOOL,88.5%
0640,CENTENNIAL R-1,1398,CENTENNIAL HIGH SCHOOL,77.3%
0640,CENTENNIAL R-1,7588,CENTENNIAL ELEMENTARY SCHOOL,84.7%
0740,SIERRA GRANDE R-30,7876,SIERRA GRANDE ELEMENTARY SCHOOL,87.3%
0740,SIERRA GRANDE R-30,7878,SIERRA GRANDE MIDDLE SCHOOL,83.3%
0740,SIERRA GRANDE R-30,7880,SIERRA GRANDE SENIOR HIGH SCHOOL,70.5%
0770,CROWLEY COUNTY RE-1-J,1967,CROWLEY COUNTY ONLINE ACADEMY,81.8%
0770,CROWLEY COUNTY RE-1-J,2050,CROWLEY COUNTY ELEMENTARY SCHOOL,76.2%
0770,CROWLEY COUNTY RE-1-J,2054,CROWLEY COUNTY WARD MIDDLE SCHOOL,67.4%
0770,CROWLEY COUNTY RE-1-J,2058,CROWLEY COUNTY HIGH SCHOOL,64.1%
0860,CUSTER COUNTY SCHOOL DISTRICT C-1,2088,CUSTER COUNTY ELEMENTARY SCHOOL,45.2%
0860,CUSTER COUNTY SCHOOL DISTRICT C-1,2091,CUSTER MIDDLE SCHOOL,38.6%
0860,CUSTER COUNTY SCHOOL DISTRICT C-1,2092,CUSTER COUNTY HIGH SCHOOL,34.3%
0870,DELTA COUNTY 50(J),1372,CEDAREDGE HIGH SCHOOL,42.9%
0870,DELTA COUNTY 50(J),1375,CEDAREDGE MIDDLE SCHOOL,46.3%
0870,DELTA COUNTY 50(J),1952,CRAWFORD ELEMENTARY SCHOOL,55.8%
0870,DELTA COUNTY 50(J),2152,DELTA ACADEMY OF APPLIED LEARNING,33.3%
0870,DELTA COUNTY 50(J),2155,DELTA COUNTY OPPORTUNITY SCHOOL,52.3%
0870,DELTA COUNTY 50(J),2160,DELTA MIDDLE SCHOOL,60.6%
0870,DELTA COUNTY 50(J),2164,DELTA HIGH SCHOOL,54.2%
0870,DELTA COUNTY 50(J),2166,DELTA VISION SCHOOL,8.5%
0870,DELTA COUNTY 50(J),3330,GARNET MESA ELEMENTARY SCHOOL,63.1%
0870,DELTA COUNTY 50(J),4124,HOTCHKISS ELEMENTARY SCHOOL,47.0%
0870,DELTA COUNTY 50(J),4128,HOTCHKISS HIGH SCHOOL,42.9%
0870,DELTA COUNTY 50(J),4182,CEDAREDGE ELEMENTARY SCHOOL,50.8%
0870,DELTA COUNTY 50(J),5154,LINCOLN ELEMENTARY SCHOOL,65.2%
0870,DELTA COUNTY 50(J),6298,NORTH FORK MONTESSORI SCHOOL,51.7%
0870,DELTA COUNTY 50(J),6700,PAONIA ELEMENTARY SCHOOL,44.3%
0870,DELTA COUNTY 50(J),6708,PAONIA HIGH SCHOOL,32.8%
0870,DELTA COUNTY 50(J),8419,SURFACE CREEK VISION SCHOOL,15.4%
0870,DELTA COUNTY 50(J),9146,NORTH FORK VISION SCHOOL,24.0%
0880,DENVER COUNTY 1,0010,ABRAHAM LINCOLN HIGH SCHOOL,93.0%
0880,DENVER COUNTY 1,0040,RIDGE VIEW ACADEMY CHARTER SCHOOL,100.0%
0880,DENVER COUNTY 1,0067,ACADEMY OF URBAN LEARNING,87.9%
0880,DENVER COUNTY 1,0220,AMESSE ELEMENTARY SCHOOL,94.3%
0880,DENVER COUNTY 1,0388,ASBURY ELEMENTARY SCHOOL,53.6%
0880,DENVER COUNTY 1,0408,VALDEZ ELEMENTARY SCHOOL,80.8%
0880,DENVER COUNTY 1,0418,ASHLEY ELEMENTARY SCHOOL,82.4%
0880,DENVER COUNTY 1,0520,BARNUM ELEMENTARY SCHOOL,97.9%
0880,DENVER COUNTY 1,0540,BARRETT ELEMENTARY SCHOOL,95.5%
0880,DENVER COUNTY 1,0650,BEACH COURT ELEMENTARY SCHOOL,96.6%
0880,DENVER COUNTY 1,0964,BRADLEY ELEMENTARY SCHOOL,44.7%
0880,DENVER COUNTY 1,1056,BROMWELL ELEMENTARY SCHOOL,7.6%
0880,DENVER COUNTY 1,1076,BROWN ELEMENTARY SCHOOL,51.3%
0880,DENVER COUNTY 1,1106,BRYANT WEBSTER K-8 SCHOOL,95.0%
0880,DENVER COUNTY 1,1319,FRED N THOMAS CAREER EDUCATION CENTER,83.8%
0880,DENVER COUNTY 1,1324,CARSON ELEMENTARY SCHOOL,19.1%
0880,DENVER COUNTY 1,1345,CESAR CHAVEZ ACADEMY DENVER,85.8%
0880,DENVER COUNTY 1,1400,CENTENNIAL K-8 SCHOOL,77.8%
0880,DENVER COUNTY 1,1528,CHELTENHAM ELEMENTARY SCHOOL,98.6%
0880,DENVER COUNTY 1,1748,COLORADO HIGH SCHOOL,70.6%
0880,DENVER COUNTY 1,1774,COLFAX ELEMENTARY SCHOOL,98.4%
0880,DENVER COUNTY 1,1785,COLE ARTS AND SCIENCE ACADEMY,97.3%
0880,DENVER COUNTY 1,1788,COLLEGE VIEW ELEMENTARY SCHOOL,98.4%
0880,DENVER COUNTY 1,1816,COLUMBIAN ELEMENTARY SCHOOL,95.5%
0880,DENVER COUNTY 1,1846,COLUMBINE ELEMENTARY SCHOOL,93.0%
0880,DENVER COUNTY 1,1866,ACE COMMUNITY CHALLENGE CHARTER SCHOOL,91.9%
0880,DENVER COUNTY 1,1908,CORY ELEMENTARY SCHOOL,10.0%
0880,DENVER COUNTY 1,1928,COWELL ELEMENTARY SCHOOL,96.7%
0880,DENVER COUNTY 1,2027,POLARIS AT EBERT ELEMENTARY SCHOOL,9.1%
0880,DENVER COUNTY 1,2125,DENVER GREEN SCHOOL,53.2%
0880,DENVER COUNTY 1,2127,DENVER LANGUAGE SCHOOL,14.9%
0880,DENVER COUNTY 1,2145,DENVER SCHOOL OF SCIENCE AND TECHNOLOGY: GVR,59.6%
0880,DENVER COUNTY 1,2174,DENISON MONTESSORI SCHOOL,57.6%
0880,DENVER COUNTY 1,2183,DENVER CENTER FOR INTERNATIONAL STUDIES,44.5%
0880,DENVER COUNTY 1,2184,DENVER SCHOOL OF THE ARTS,13.0%
0880,DENVER COUNTY 1,2185,DENVER SCHOOL OF SCIENCE AND TECHNOLOGY,44.1%
0880,DENVER COUNTY 1,2258,DOULL ELEMENTARY SCHOOL,95.2%
0880,DENVER COUNTY 1,2364,EAGLETON ELEMENTARY SCHOOL,96.4%
0880,DENVER COUNTY 1,2398,EAST HIGH SCHOOL,34.1%
0880,DENVER COUNTY 1,2506,EDISON ELEMENTARY SCHOOL,38.4%
0880,DENVER COUNTY 1,2652,ELLIS ELEMENTARY SCHOOL,91.4%
0880,DENVER COUNTY 1,2726,EMILY GRIFFITH OPPORTUNITY SCHOOL,44.6%
0880,DENVER COUNTY 1,2755,VENTURE PREP,89.1%
0880,DENVER COUNTY 1,2789,ESCUELA TLATELOLCO SCHOOL,89.9%
0880,DENVER COUNTY 1,2856,FAIRMONT K-8 SCHOOL,95.7%
0880,DENVER COUNTY 1,2880,FAIRVIEW ELEMENTARY SCHOOL,98.3%
0880,DENVER COUNTY 1,3000,FLORENCE CRITTENTON HIGH SCHOOL,87.2%
0880,DENVER COUNTY 1,3032,FORCE ELEMENTARY SCHOOL,94.6%
0880,DENVER COUNTY 1,3038,FORD ELEMENTARY SCHOOL,97.8%
0880,DENVER COUNTY 1,3296,GARDEN PLACE ELEMENTARY SCHOOL,98.1%
0880,DENVER COUNTY 1,3340,ARCHULETA ELEMENTARY SCHOOL,86.9%
0880,DENVER COUNTY 1,3378,GEORGE WASHINGTON HIGH SCHOOL,54.6%
0880,DENVER COUNTY 1,3426,GILPIN ELEMENTARY SCHOOL,96.1%
0880,DENVER COUNTY 1,3478,GODSMAN ELEMENTARY SCHOOL,97.1%
0880,DENVER COUNTY 1,3512,GOLDRICK ELEMENTARY SCHOOL,95.9%
0880,DENVER COUNTY 1,3600,GRANT MIDDLE SCHOOL,84.4%
0880,DENVER COUNTY 1,3605,GRANT RANCH K-8 SCHOOL,50.8%
0880,DENVER COUNTY 1,3639,GIRLS ATHLETIC LEADERSHIP SCHOOL,61.7%
0880,DENVER COUNTY 1,3641,GREEN VALLEY ELEMENTARY SCHOOL,80.9%
0880,DENVER COUNTY 1,3647,GREENWOOD ELEMENTARY SCHOOL,91.2%
0880,DENVER COUNTY 1,3655,GREENLEE ELEMENTARY SCHOOL,97.3%
0880,DENVER COUNTY 1,3704,GUST ELEMENTARY SCHOOL,92.2%
0880,DENVER COUNTY 1,3746,HAMILTON MIDDLE SCHOOL,52.7%
0880,DENVER COUNTY 1,3778,HARRINGTON ELEMENTARY SCHOOL,96.5%
0880,DENVER COUNTY 1,3987,HIGHLINE ACADEMY CHARTER SCHOOL,30.4%
0880,DENVER COUNTY 1,3990,HILL CAMPUS OF ARTS AND SCIENCES,55.7%
0880,DENVER COUNTY 1,4074,HOLM ELEMENTARY SCHOOL,82.2%
0880,DENVER COUNTY 1,4140,HOWELL K-8 SCHOOL,93.7%
0880,DENVER COUNTY 1,4444,JOHN F KENNEDY HIGH SCHOOL,66.3%
0880,DENVER COUNTY 1,4450,JOHNSON ELEMENTARY SCHOOL,96.6%
0880,DENVER COUNTY 1,4494,JUSTICE HIGH SCHOOL DENVER,86.8%
0880,DENVER COUNTY 1,4498,KAISER ELEMENTARY SCHOOL,81.5%
0880,DENVER COUNTY 1,4656,KEPNER MIDDLE SCHOOL,97.1%
0880,DENVER COUNTY 1,4730,KIPP DENVER COLLEGIATE HIGH SCHOOL,87.6%
0880,DENVER COUNTY 1,4732,KIPP SUNSHINE PEAK ACADEMY,95.9%
0880,DENVER COUNTY 1,4762,KNAPP ELEMENTARY SCHOOL,97.9%
0880,DENVER COUNTY 1,4782,HALLETT FUNDAMENTAL ACADEMY,87.6%
0880,DENVER COUNTY 1,4795,KUNSMILLER CREATIVE ARTS ACADEMY,77.3%
0880,DENVER COUNTY 1,4910,LAKE MIDDLE SCHOOL,92.8%
0880,DENVER COUNTY 1,5129,LIFE SKILLS CENTER OF DENVER,83.6%
0880,DENVER COUNTY 1,5158,LINCOLN ELEMENTARY SCHOOL,42.6%
0880,DENVER COUNTY 1,5255,LAKE INTERNATIONAL SCHOOL,97.0%
0880,DENVER COUNTY 1,5342,LOWRY ELEMENTARY SCHOOL,39.9%
0880,DENVER COUNTY 1,5430,MANNY MARTINEZ MIDDLE SCHOOL,93.8%
0880,DENVER COUNTY 1,5448,MANUAL HIGH SCHOOL,89.4%
0880,DENVER COUNTY 1,5578,MARRAMA ELEMENTARY SCHOOL,81.4%
0880,DENVER COUNTY 1,5605,MARTIN LUTHER KING MIDDLE COLLEGE,84.3%
0880,DENVER COUNTY 1,5608,MATHEMATICS AND SCIENCE LEADERSHIP ACADEMY,96.6%
0880,DENVER COUNTY 1,5644,MAXWELL ELEMENTARY SCHOOL,93.0%
0880,DENVER COUNTY 1,5685,MC GLONE ELEMENTARY SCHOOL,95.5%
0880,DENVER COUNTY 1,5702,MC KINLEY-THATCHER ELEMENTARY SCHOOL,59.6%
0880,DENVER COUNTY 1,5716,MC MEEN ELEMENTARY SCHOOL,87.4%
0880,DENVER COUNTY 1,5826,MERRILL MIDDLE SCHOOL,80.4%
0880,DENVER COUNTY 1,5844,CONTEMPORARY LEARNING ACADEMY HIGH SCHOOL,76.7%
0880,DENVER COUNTY 1,5995,MONTBELLO HIGH SCHOOL,86.7%
0880,DENVER COUNTY 1,5998,OAKLAND ELEMENTARY SCHOOL,92.1%
0880,DENVER COUNTY 1,6002,MONTCLAIR ELEMENTARY SCHOOL,62.1%
0880,DENVER COUNTY 1,6088,MOORE K-8 SCHOOL,79.1%
0880,DENVER COUNTY 1,6098,MOREY MIDDLE SCHOOL,53.6%
0880,DENVER COUNTY 1,6188,MUNROE ELEMENTARY SCHOOL,98.4%
0880,DENVER COUNTY 1,6254,NEWLON ELEMENTARY SCHOOL,96.1%
0880,DENVER COUNTY 1,6314,NORTH HIGH SCHOOL,86.0%
0880,DENVER COUNTY 1,6350,BRUCE RANDOLPH SCHOOL,97.1%
0880,DENVER COUNTY 1,6394,NORTHEAST ACADEMY CHARTER SCHOOL,87.7%
0880,DENVER COUNTY 1,6397,ACADEMIA ANA MARIE SANDOVAL,45.0%
0880,DENVER COUNTY 1,6479,ODYSSEY CHARTER ELEMENTARY SCHOOL,28.3%
0880,DENVER COUNTY 1,6508,OMAR D BLAIR CHARTER SCHOOL,53.9%
0880,DENVER COUNTY 1,6509,ONLINE HIGH SCHOOL,56.6%
0880,DENVER COUNTY 1,6676,PALMER ELEMENTARY SCHOOL,60.1%
0880,DENVER COUNTY 1,6754,PARK HILL SCHOOL,35.8%
0880,DENVER COUNTY 1,6784,NOEL MIDDLE SCHOOL,94.6%
0880,DENVER COUNTY 1,6957,PIONEER CHARTER SCHOOL,96.1%
0880,DENVER COUNTY 1,6970,PITT-WALLER K-8 SCHOOL,69.2%
0880,DENVER COUNTY 1,7045,PLACE BRIDGE ACADEMY,94.2%
0880,DENVER COUNTY 1,7163,P.R.E.P. (POSITIVE REFOCUS EDUCATION PROGRAM),77.8%
0880,DENVER COUNTY 1,7199,P.S.1 CHARTER SCHOOL,64.6%
0880,DENVER COUNTY 1,7370,RISHEL MIDDLE SCHOOL,98.4%
0880,DENVER COUNTY 1,7554,SABIN WORLD SCHOOL,78.8%
0880,DENVER COUNTY 1,7578,SAMUELS ELEMENTARY SCHOOL,76.0%
0880,DENVER COUNTY 1,7694,CHARLES M. SCHENCK (CMS) COMMUNITY SCHOOL,95.9%
0880,DENVER COUNTY 1,7698,SCHMITT ELEMENTARY SCHOOL,93.1%
0880,DENVER COUNTY 1,7942,SKINNER MIDDLE SCHOOL,87.7%
0880,DENVER COUNTY 1,7972,SLAVENS K-8 SCHOOL,7.9%
0880,DENVER COUNTY 1,7992,SMILEY MIDDLE SCHOOL,81.8%
0880,DENVER COUNTY 1,8006,SMITH ELEMENTARY SCHOOL,98.0%
0880,DENVER COUNTY 1,8053,SOAR,69.8%
0880,DENVER COUNTY 1,8054,HENRY WORLD SCHOOL GRADES 6-8,77.7%
0880,DENVER COUNTY 1,8085,WEST DENVER PREP:  FEDERAL CAMPUS,92.9%
0880,DENVER COUNTY 1,8086,SOUTH HIGH SCHOOL,71.5%
