Organization Code,School Code,Phone,School Name,Physical Address,Physical City,Physical State,Physical Zipcode
2560,1538,7198536655,Cheraw Elementary School,110 Lakeview Avenue,Cheraw,CO,81030
2560,1546,7198536655,Cheraw High School,110 Lakeview Avenue,Cheraw,CO,81030
2560,1548,7198536655,Cheraw Middle School,110 Lakeview Avenue,Cheraw,CO,81030
0130,1551,7208861900,Cherokee Trail High School,25901 Arapahoe Parkway,Aurora,CO,80016
0120,1556,3037612102,Cherrelyn Elementary School,4500 South Lincoln Street,Englewood,CO,80113
0130,1566,7205542700,Campus Middle School,4785 South Dayton Street,Greenwood Village,CO,80111
0130,1568,7205545100,West Middle School,5151 South Holly,Greenwood Village,CO,80121
0130,1570,7205542000,Cherry Creek High School,9300 East Union Avenue,Greenwood Village,CO,80111
0130,1571,3037798988,Cherry Creek Charter Academy,6260 South Dayton Street,Greenwood Village,CO,80111
0130,1572,7205543600,High Plains Elementary School,6100 South Fulton Street,Greenwood Village,CO,80111
0130,1574,7207472700,Cherry Hills Village Elementary School,2400 East Quincy Avenue,Cherry Hills Village,CO,80110
0900,1578,3036883211,Cherry Valley Elementary School,9244 South State Highway 83,Franktown,CO,80116
0900,1579,3034716677,North Star Academy,16700 Keystone Blvd,Parker,CO,80134
1020,1582,7194711999,Cheyenne Mountain Charter Academy,1832 South Wahsatch,Colorado Springs,CO,80906
1020,1586,7195763080,Cheyenne Mountain Elementary School,5250 Farthing Drive,Colorado Springs,CO,80906
1020,1588,7194756120,Cheyenne Mountain Junior High School,1200 West Cheyenne Road,Colorado Springs,CO,80905
1020,1590,7194756110,Cheyenne Mountain High School,1200 Cresta Road,Colorado Springs,CO,80906
1020,1592,7194756130,Broadmoor Elementary School,440 W Cheyenne Mountain Blvd,Colorado Springs,CO,80906
1020,1596,7194756140,Canon Elementary School,1201 West Cheyenne Road,Colorado Springs,CO,80906
1020,1604,7194756150,Skyway Park Elementary School,1100 Mercury Drive,Colorado Springs,CO,80905
0520,1608,7197675656,Cheyenne Wells Elementary School,395 North 5th West,Cheyenne Wells,CO,80810
0520,1610,7197675656,Cheyenne Wells Middle School,395 North 5th West,Cheyenne Wells,CO,80810
0520,1612,7197675612,Cheyenne Wells High School,325 West 4th North,Cheyenne Wells,CO,80810
1010,1613,7193285500,Chipeta Elementary School,2340 Ramsgate Terrace,Colorado Springs,CO,80919
0130,1614,7208868100,Cimarron Elementary School,17373 East Lehigh Pl,Aurora,CO,80013
1040,1615,7192345700,Chinook Trail Elementary School,11795 Grand Lawn Circle,Colorado Springs,CO,80924
1010,1616,7196331306,Civa Charter Academy,4635 Northpark Drive,Colorado Springs,CO,80918
1110,1618,7195971843,Evans International Elementary School,1675 Winnebago Road,Colorado Springs,CO,80915
2000,1619,9702546825,Chipeta Elementary School,950 Chipeta Avenue,Grand Junction,CO,81501
0070,1622,3034281884,Clara E. Metz Elementary School,2341 Sherrelwood Drive,Denver,CO,80221
1010,1625,7192280900,Mcauliffe Elementary,830 Hathaway Drive,Colorado Springs,CO,80915
1040,1627,7194840081,The Classical Academy Charter,975 Stout Road,Colorado Springs,CO,80921
1040,1629,7194840091,The Classical Academy Middle School,975 Stout Road,Colorado Springs,CO,80921
1040,1630,0,The Classical Academy High School,975 Stout Road,Colorado Springs,CO,80921
1330,1632,3035823444,Gilpin County Elementary School,10595 Highway 119,Black Hawk,CO,80403
1330,1634,3035823444,Gilpin County Undivided High School,10595 Highway 119,Black Hawk,CO,80403
0120,1652,3037817831,Clayton Elementary School,4600 South Fox Street,Englewood,CO,80110
0540,1660,3036794600,Clear Creek Middle School,185 Beaver Brook Canyon Road,Evergreen,CO,80439
2000,1686,9702544760,Clifton Elementary School,3276 F Road,Clifton,CO,81520
0180,1720,3033647918,Clyde Miller K-8,1701 Espana St,Aurora,CO,80011
0480,1725,7205614500,Coal Creek Elementary School,801 West Tamarisk Street,Louisville,CO,80027
1420,1730,3039823409,Coal Creek Canyon K-8 Elementary School,11719 Ranch Elsie Road,Golden,CO,80403
0880,1748,3038928475,Colorado High School,1175 Osage Street,Denver,CO,80204
0020,1752,3032554650,Colorado Virtual Academy (Cova),"11990 Grant Street, #402",Northglenn,CO,80233
0880,1774,7204248740,Colfax Elementary School,1526 Tennyson Street,Denver,CO,80204
0880,1785,7204239120,Cole Arts And Science Academy,3240 Humboldt Street,Denver,CO,80205
0880,1788,7204248660,College View Elementary School,2675 South Decatur Street,Denver,CO,80219
1420,1790,3039825480,Colorow Elementary School,6317 South Estes Street,Littleton,CO,80123
8001,1791,7196362722,Colorado Springs Charter Academy,2577 N Chelton Road,Colorado Springs,CO,80909
8001,1795,7199554675,Colorado Springs Early Colleges,4435 North Chestnut,Colorado Springs,CO,80907
0010,1796,3037942302,Colorado Connections Academy,8 Inverness Drive E Suite 240,Englewood,CO,80112
1010,1798,7193282700,Columbia Elementary School,835 East St Vrain Street,Colorado Springs,CO,80903
0180,1800,3036906570,Columbia Middle School,17600 East Columbia Ave,Aurora,CO,80013
0290,1812,7194561862,Las Animas Elementary School,530 Poplar Avenue,Las Animas,CO,81054
0880,1816,7204248580,Columbian Elementary School,2925 West 40th Avenue,Denver,CO,80211
2690,1828,7195497525,Columbian Elementary School,1202 Bragdon Avenue,Pueblo,CO,81004
0480,1842,7205612500,Columbine Elementary School,3130 Repplier Drive,Boulder,CO,80304
0470,1844,3037762840,Columbine Elementary School,111 Longs Peak Avenue,Longmont,CO,80501
0880,1846,7204248510,Columbine Elementary School,2540 East 29th Ave,Denver,CO,80205
2405,1850,9708677418,Columbine Elementary School,815 West Street,Fort Morgan,CO,80701
1420,1861,3039825540,Columbine Hills Elementary School,6005 West Canyon Avenue,Littleton,CO,80128
1420,1864,3039824400,Columbine High School,6201 South Pierce Street,Littleton,CO,80123
0880,1866,3034369588,Ace Community Challenge Charter School,948 Santa Fe Drive,Denver,CO,80204
1420,1869,3034208288,Compass Montessori - Wheat Ridge Charter School,10399 West 44th Avenue,Wheat Ridge,CO,80033
1010,1870,7193283600,Coronado High School,1590 West Fillmore Street,Colorado Springs,CO,80904
2690,1872,7195647604,Community Transition House,1512 Pine Street,Pueblo,CO,81004
0900,1873,3038407070,Core Knowledge Charter School,1161 North Pine Drive,Parker,CO,80138
3120,1875,9703301780,Frontier Charter Academy,2560 West 29th Street,Greeley,CO,80634
1420,1876,3039823737,Coronado Elementary School,7922 South Carr,Littleton,CO,80128
8001,1877,3037701240,Colorado Provost Academy,7720 East Belleview Avenue Suite Ag-9,Greenwood Village,CO,80111
0020,1878,7209725320,Coronado Hills Elementary School,8300 Downing Drive,Thornton,CO,80229
1420,1880,3032711977,Compass Montessori - Golden Charter School,4441 Salvia Street,Golden,CO,80403
0030,1882,3032882711,Community Leadership Academy,6880 Holly Street,Commerce City,CO,80022
0480,1883,7205613700,Community Montessori School,805 Gillaspie Dr,Boulder,CO,80305
1010,1885,7192278836,Community Prep Charter School,332 East Willamette Avenue,Colorado Springs,CO,80903
1420,1886,3039825255,Conifer Senior High School,10441 County Highway 73,Conifer,CO,80433
2035,1888,9705657824,Cortez Middle School,450 West 2nd Street,Cortez,CO,81321
0050,1889,3036445180,Corridor Community Academy,420 7th Street,Bennett,CO,80102
0900,1899,3033877375,Copper Mesa Elementary School,3501 Poston Parkway,Highlands Ranch,CO,80126
8001,1901,0,Colorado Calvert Academy,1580 Logan Street Suite 210,Denver,CO,80203
0880,1908,7204248380,Cory Elementary School,1550 South Steele Street,Denver,CO,80210
0020,1914,7209725340,Cotton Creek Elementary School,11100 Vrain Street,Westminster,CO,80030
2180,1915,9702492539,Cottonwood Elementary School,3500 Woodgate Road,Montrose,CO,81401
0130,1916,7205543200,Cottonwood Creek Elementary School,11200 East Orchard Avenue,Englewood,CO,80111
1560,1920,9706135900,Cottonwood Plains Elementary School,525 Turman Drive,Ft Collins,CO,80525
0900,1925,3033876675,Cougar Run Elementary School,8780 Venneford Ranch Road,Highlands Ranch,CO,80126
0880,1928,7204248300,Cowell Elementary School,4540 West 10th Avenue,Denver,CO,80204
0900,1934,3033876175,Coyote Creek Elementary School,2861 Baneberry Court,Highlands Ranch,CO,80129
2020,1936,9708243287,Sandrock Elementary,201 East 9th,Craig,CO,81625
0020,1937,7209725780,Coyote Ridge Elementary School,13770 Broadlands Drive,Broomfield,CO,80020
2020,1938,9708243289,Craig Middle School School,915 Yampa Avenue,Craig,CO,81625
0180,1948,3033403290,Crawford Elementary School,1600 Florence St,Aurora,CO,80010
0870,1952,9709214935,Crawford Elementary School,51 Fir Ave,Crawford,CO,81415
2010,1962,7196582220,Lamb Elementary School,308 La Garita Avenue,Creede,CO,81130
2010,1966,7196582220,Creede Middle/High School,308 La Garita Avenue,Creede,CO,81130
0770,1967,7192673582,Crowley County Online Academy,602 Main,Ordway,CO,81063
0130,1970,7208863500,Creekside Elementary School,19993 East Long Avenue,Centennial,CO,80016
1420,1976,3039826282,Creighton Middle School,75 Independence Street,Lakewood,CO,80226
0480,1996,7205615461,Crest View Elementary School,1897 Sumac Avenue,Boulder,CO,80304
1360,2006,9706417720,Crested Butte Community School,818 Red Lady Avenue,Crested Butte,CO,81224
0900,2012,3033872800,Cresthill Middle School,9195 Cresthill Lane,Highlands Ranch,CO,80130
2800,2018,7192564907,Crestone Charter School,67487 Cr T Road,Crestone,CO,81131
3010,2024,7196892661,Cripple Creek-Victor Junior-Senior High School,410 North B Street,Cripple Creek,CO,80813
0880,2027,7204247860,Polaris At Ebert Elementary School,410 Park Avenue West,Denver,CO,80205
0070,2035,3034281882,Crown Pointe Charter Academy,2900 West 86th Avenue,Westminster,CO,80031
0770,2050,7192673558,Crowley County Elementary School,630 Main,Ordway,CO,81063
0770,2054,7192679880,Crowley County Ward Middle School,1001 Main,Ordway,CO,81063
0770,2058,7192673582,Crowley County High School,602 Main,Ordway,CO,81063
1180,2063,9703845620,Crystal River Elementary School,160 Snowmass Drive,Carbondale,CO,81623
0860,2088,7197832291,Custer County Elementary School,709 Main Street,Westcliffe,CO,81252
1560,2089,9706799400,Coyote Ridge Elementary School,7115 Avondale Road,Fort Collins,CO,80525
0860,2091,7197832291,Custer Middle School,709 Main Street,Westcliffe,CO,81252
0860,2092,7197832291,Custer County High School,709 Main Street,Westcliffe,CO,81252
1420,2093,3039821970,Dakota Ridge Senior High School,13399 West Coal Mine Avenue,Littleton,CO,80127
0130,2094,7208863000,Dakota Valley Elementary School,3950 South Kirk Way,Aurora,CO,80013
0180,2095,3036937561,Dalton Elementary School,17401 East Dartmouth Ave,Aurora,CO,80013
2690,2096,7195497400,Corwin International Magnet School,1500 Lakeview Avenue,Pueblo,CO,81004
0180,2114,3036901155,Dartmouth Elementary School,3050 South Laredo St,Aurora,CO,80013
1420,2120,3039822600,D'evelyn Junior/Senior High School,10359 W Nassau Avenue,Denver,CO,80235
1980,2122,9702835418,De Beque Elementary School,730 Minter Avenue,De Beque,CO,81630
0880,2125,3035494525,Denver Green School,6700 East Virginia Avenue,Denver,CO,80224
1980,2126,9702835596,De Beque Undivided High School,730 Minter Avenue,De Beque,CO,81630
0880,2127,3034683228,Denver Language School,451 Newport Street,Denver,CO,80220
2000,2128,9702546850,Independence Academy,600 North 14th Street,Grand Junction,CO,81501
1420,2130,3039823820,Deer Creek Middle School,9201 West Columbine Drive,Littleton,CO,80123
0170,2136,3037694421,Deer Trail Elementary School,350 2nd Avenue,Deer Trail,CO,80105
0170,2140,3037694421,Deer Trail Junior-Senior High School,350 2nd Avenue,Deer Trail,CO,80105
0880,2145,3033205570,Denver School Of Science And Technology: Gvr,4800 Telluride Street #4,Denver,CO,80249
2730,2148,7196574030,Del Norte Middle School,855 Oak Street,Del Norte,CO,81132
2730,2150,7196574050,Del Norte High School,9th & Hermosa,Del Norte,CO,81132
0870,2152,9708740835,Delta Academy Of Applied Learning,239 E 6th Street,Delta,CO,81416
0870,2155,9708742753,Delta County Opportunity School,822 Grand Avenue,Delta,CO,81416
0870,2160,9708748046,Delta Middle School,910 Grand Avenue,Delta,CO,81416
0870,2164,9708748031,Delta High School,1400 Pioneer Road,Delta,CO,81416
0870,2166,9708748226,Delta Vision School,1080 Pioneer Rd,Delta,CO,81416
0880,2174,7204248080,Denison Montessori School,1821 South Yates Street,Denver,CO,80219
0880,2183,7204239000,Denver Center For International Studies,574 West 6th Ave,Denver,CO,80204
0880,2184,7204241700,Denver School Of The Arts,7111 Montview Blvd,Denver,CO,80220
0880,2185,3033205570,Denver School Of Science And Technology,2000 Valencia Street,Denver,CO,80235
1420,2194,3039829200,Devinny Elementary School,1725 South Wright Street,Lakewood,CO,80228
1040,2195,7192341800,Discovery Canyon Campus School,1810 Northgate Boulevard,Colorado Springs,CO,80921
1010,2202,7193286400,Doherty High School,4515 Barnes Road,Colorado Springs,CO,80917
2055,2204,9708824688,Dolores Elementary School,12th And Hillside,Dolores,CO,81323
2055,2206,9708827288,Dolores Middle School,1301 Central Avenue,Dolores,CO,81323
2055,2208,9708827288,Dolores High School,1301 Central Avenue,Dolores,CO,81323
0890,2216,9706772237,Dove Creek High School,525 North Main Street,Dove Creek,CO,81324
2690,2217,7195831030,Dolores Huerta Preparatory High School,2500 W 18th Street,Pueblo,CO,81003
3120,2222,9703481300,Dos Rios Elementary School,2201 34th Street,Evans,CO,80620
2000,2224,9702547910,Dos Rios Elementary School,265 Linden Ave,Grand Junction,CO,81503
0900,2226,3033871300,Castle Rock Middle School,2575 Meadows Boulevard,Castle Rock,CO,80109
0900,2230,3033871000,Douglas County High School,2842 Front Street,Castle Rock,CO,80104
0900,2232,3033875150,Rock Ridge Elementary School,400 North Heritage Road,Castle Rock,CO,80104
0900,2233,3033878125,Cherokee Trail Elementary School,17302 Clarke Farms Drive,Parker,CO,80134
0900,2234,3033877075,Eagle Ridge Elementary School,7716 Timberline Road,Lone Tree,CO,80124
0480,2240,7205615541,Douglass Elementary School,840  75th Street,Boulder,CO,80303
1040,2248,7192344200,Douglass Valley Elementary School,4610 Douglass Drive,Usaf Academy,CO,80840
0880,2258,7204248000,Doull Elementary School,2520 South Utica Street,Denver,CO,80219
1420,2288,3039821510,Drake Junior High School,12550 West 52nd Avenue,Arvada,CO,80002
0130,2292,7205543300,Dry Creek Elementary School,7686 East Hinsdale Avenue,Englewood,CO,80112
2000,2297,9702546070,Dual Immersion Academy School,552 A West Main Street,Grand Junction,CO,81501
1550,2298,9704884825,Dunn Elementary School,501 South Washington,Fort Collins,CO,80521
1420,2300,3039829270,Dunstan Middle School,1855 South Wright Street,Lakewood,CO,80228
0030,2308,3032870189,Dupont Elementary School,7970 Kimberly Street,Commerce City,CO,80022
1520,2318,9702591630,Durango High School,2390 Main Avenue,Durango,CO,81301
1420,2322,3039824565,Dutch Creek Elementary School,7304 West Roxbury Place,Littleton,CO,80128
1430,2328,7194382216,Eads Elementary School,900 Maine Street,Eads,CO,81036
1430,2332,7194382216,Eads Middle School,900 Maine Street,Eads,CO,81036
1430,2336,7194382214,Eads High School,210 West 10 Street,Eads,CO,81036
0900,2338,3033872700,Eagle Academy,9375 Cresthill Lane,Highlands Ranch,CO,80130
0910,2340,9709260656,Eagle County Charter Academy,1105 Miller Ranch Road,Edwards,CO,81632
0470,2343,3034856073,Eagle Crest Elementary School,4444 Clover Basin Drive,Longmont,CO,80503
0910,2346,9703286981,Eagle Valley Elementary School,737 East 3rd Street,Eagle,CO,81631
0910,2350,9703288960,Eagle Valley High School,641 Valley Road,Gypsum,CO,81637
0910,2355,9703286224,Eagle Valley Middle School,747 East 3rd Street,Eagle,CO,81631
0130,2357,7208861000,Eaglecrest High School,5100 South Picadilly Street,Centennial,CO,80015
1040,2358,7192343400,Eagleview Middle School,1325 Vindicator Drive,Colorado Springs,CO,80919
0020,2361,7209725760,Eagleview Elementary School,4601 Summit Grove Parkway,Thornton,CO,80241
0880,2364,7204247930,Eagleton Elementary School,880 Hooker Street,Denver,CO,80204
2020,2373,9708247457,Early Childhood Center,775 Yampa Avenue,Craig,CO,81625
2020,2374,9708246042,East Elementary School,600 Texas Avenue,Craig,CO,81625
1350,2376,9708873382,East Grand Middle School,251 West Diamond,Granby,CO,80446
0140,2382,3033474450,East Elementary School,5933 South Fairfield Street,Littleton,CO,80120
0180,2384,3033400660,East Middle School,1275 Fraser St,Aurora,CO,80011
2000,2392,9702545020,East Middle School,830 Gunnison Ave,Grand Junction,CO,81501
2690,2394,7195497222,East High School,9 Mac Neil Road,Pueblo,CO,81001
0880,2398,7204238300,East High School,1545 Detroit Street,Denver,CO,80206
0040,2399,3033454380,Eagle Ridge Academy,3551 Southern Street,Brighton,CO,80601
0100,2402,7195896875,Polston Elementary School,6935 State Highway 17,Alamosa,CO,81101
0020,2410,7209725640,Tarver Elementary School,3500 Summit Grove Parkway,Thornton,CO,80241
3120,2414,9703481400,East Memorial Elementary School,614 East 20th Street,Greeley,CO,80631
0130,2428,7207472200,Eastridge Community Elementary School,11777 East Wesley Avenue,Aurora,CO,80014
2690,2438,7195497530,Eva R Baca Elementary School,2800 East 17th Street,Pueblo,CO,81001
3085,2448,9704543331,Eaton Elementary School,25 Cheyenne,Eaton,CO,80615
3085,2452,9704543358,Eaton Middle School,225 Juniper,Eaton,CO,80615
3085,2456,9704543374,Eaton High School,114 Park,Eaton,CO,80615
1580,2481,7198466995,Eckhart Elementary School,1021 Pierce Street,Trinidad,CO,81082
1420,2496,3039826050,Edgewater Elementary School,5570 West 24th Avenue,Edgewater,CO,80214
1120,2504,7194783000,Edison Academy,14550 Edison Road,Yoder,CO,80864
0880,2506,7204247780,Edison Elementary School,3350 Quitman Street,Denver,CO,80212
1010,2510,7193282800,Edison Elementary School,3125 North Hancock Avenue,Colorado Springs,CO,80907
1120,2514,7194782125,Edison Elementary School,14550 Edison Road,Yoder,CO,80864
2760,2522,9702763756,Hayden Valley Elementary School,300 Breeze Basin Blvd.,Hayden,CO,81639
1040,2524,7192344300,Edith Wolford Elementary School,13710 Black Forest Road,Colorado Springs,CO,80908
1120,2526,7194782125,Edison Junior-Senior High School,14550 Edison Road,Yoder,CO,80864
1010,2528,7195202701,Nikola Tesla Education Opportunity Center,2560 International Circle,Colorado Springs,CO,80910
0910,2530,9703282970,Edwards Elementary School,0022 Meile Lane,Edwards,CO,81632
1420,2550,3039826406,Eiber Elementary School,1385 Independence Street,Lakewood,CO,80215
0480,2552,7205616700,Eisenhower Elementary School,1220 Eisenhower Drive,Boulder,CO,80303
0950,2570,3036483030,Elbert Elementary School,24489 Main Street,Elbert,CO,80106
0920,2572,3036462636,Legacy Academy,1975 Legacy Circle,Elizabeth,CO,80107
1195,2573,9706656900,Elk Creek Elementary,804 West Main Street,New Castle,CO,81647
0950,2574,3036483030,Elbert Junior-Senior High School,24489 Main Street,Elbert,CO,80106
0020,2576,7209725300,Cherry Drive Elementary School,11500 Cherry Drive,Thornton,CO,80233
0020,2578,7209725620,Skyview Elementary School,5021 East 123rd Avenue,Thornton,CO,80241
0020,2580,7209725440,Hunters Glen Elementary School,13222 Corona Street,Thornton,CO,80241
0020,2582,7209725600,Rocky Mountain Elementary School,3350 West 99th Avenue,Westminster,CO,80030
0020,2584,7209725580,Riverdale Elementary School,10724 Elm Drive,Thornton,CO,80233
0480,2589,7205614400,Eldorado K-8 School,3351 South Indiana Street,Superior,CO,80027
0920,2604,3036464520,Elizabeth Middle School,34427 County Road 13,Elizabeth,CO,80107
0920,2608,3036464616,Elizabeth High School,34500 County Road 13,Elizabeth,CO,80107
1420,2616,3039822900,Elk Creek Elementary School,13304 South U S Highway 285,Pine,CO,80470
0180,2618,3033403050,Elkhart Elementary School,1020 Eagle St,Aurora,CO,80011
2690,2620,7195497535,Fountain International Magnet School,925 North Glendale Avenue,Pueblo,CO,81001
1050,2638,7196832700,Ellicott Elementary School,399 South Ellicott Highway,Ellicott,CO,80808
1050,2640,7196832700,Ellicott Middle School,350 South Ellicott Highway,Ellicott,CO,80808
1050,2642,7196832700,Ellicott Senior High School,375 South Ellicott Highway,Ellicott,CO,80808
0880,2652,7204247700,Ellis Elementary School,1651 South Dahlia Street,Denver,CO,80222
0900,2656,3033876325,Eldorado Elementary School,1305 Timbervale Trail,Highlands Ranch,CO,80126
0480,2702,7205618500,Emerald Elementary School,755 W. Elmhurst Place,Broomfield,CO,80020
2000,2724,9702546500,New Emerson School At Columbus,2660 Unaweep Ave,Grand Junction,CO,81503
0880,2726,7204234700,Emily Griffith Opportunity School,1250 Welton Street,Denver,CO,80204
0120,2746,3038062266,Englewood High School,3800 South Logan Street,Englewood,CO,80113
0120,2750,3038062266,Englewood Leadership Academy,3800 S. Logan,Englewood,CO,80113
0120,2752,3037817817,Englewood Middle School,300 West Chenango,Englewood,CO,80110
0880,2755,3038930805,Venture Prep,2540 Holly Street,Denver,CO,80207
0470,2758,3038283395,Erie Elementary School,4137 E County Line Rd.,Erie,CO,80516
0470,2760,3038283391,Erie Middle School,650 Main Street,Erie,CO,80516
0470,2761,3038284213,Erie High School,3180 County Road 5,Erie,CO,80516
1570,2788,9705862361,Estes Park Options School,1575 South St. Vrain Avenue,Estes Park,CO,80157
0880,2789,3039648993,Escuela Tlatelolco School,2949 North Federal Boulevard,Denver,CO,80211
1570,2790,9705867406,Estes Park K-5 School,1505 Brodie Avenue,Estes Park,CO,80517
1570,2792,9705864439,Estes Park Middle School,1500 Manford Avenue,Estes Park,CO,80517
1570,2794,9705865321,Estes Park High School,1600 Manford Avenue,Estes Park,CO,80517
1420,2799,3034672295,Excel Academy Charter School,11500 W. 84th Ave,Arvada,CO,80005
1040,2800,7192344400,Explorer Elementary School,4190 Bardot Drive,Colorado Springs,CO,80920
0140,2804,3033477800,Euclid Middle School,777 West Euclid Avenue,Littleton,CO,80120
0100,2818,7195893684,Evans Elementary School,108 La Veta Avenue,Alamosa,CO,81101
1420,2820,3039821580,Everitt Middle School,3900 Kipling Street,Wheat Ridge,CO,80033
1420,2832,3039825020,Evergreen Middle School,2059 Hiwan Drive,Evergreen,CO,80439
1420,2836,3039825140,Evergreen High School,29300 Buffalo Road,Evergreen,CO,80439
8001,2837,3039355473,Early College High School At Arvada,4905 West 60th Avenue,Arvada,CO,80003
9130,2840,3037592076,Expeditionary Learning School,1700 South Holly Street,Denver,CO,80222
3120,2850,9703302221,University Schools,6525 18th Street,Greeley,CO,80634
0880,2856,7204247620,Fairmont K-8 School,520 West 3rd Avenue,Denver,CO,80223
1420,2866,3039825422,Fairmount Elementary School,15975 West 50th Avenue,Golden,CO,80403
0070,2876,3034281405,Fairview Elementary School,7826 Fairview Drive,Denver,CO,80221
1110,2877,7194951100,Falcon Virtual Academy,10850 East Woodmen Road,Falcon,CO,80831
0880,2880,7204247540,Fairview Elementary School,2715 West 11th Avenue,Denver,CO,80204
0480,2892,7205613100,Fairview High School,1515 Greenbriar Boulevard,Boulder,CO,80305
0130,2897,7208867600,Falcon Creek Middle School,6100 South Genoa Street,Aurora,CO,80016
1110,2902,7194952256,Falcon Elementary School,12050 Falcon Highway,Falcon,CO,80831
1110,2906,7194955232,Falcon Middle School,1199755 Towner Avenue,Peyton,CO,80831
1110,2908,7194952261,Falcon High School,10255 Lambert Road,Peyton,CO,80831
0470,2912,7206527920,Fall River Elementary School,1400 Deerwood Drive,Longmont,CO,80501
0020,2918,7209725360,Federal Heights Elementary School,2500 W 96th Avenue,Denver,CO,80221
0140,2926,3033474475,Field Elementary School,5402 South Sherman Way,Littleton,CO,80121
0480,2940,7205617900,Fireside Elementary School,845 West Dahlia,Louisville,CO,80027
2180,2942,9702495858,Early Childhood Center,18265 Highway 550,Montrose,CO,81403
1580,2944,7198462513,Fisher's Peak Elementary School,900 Moore's Canyon Road,Trinidad,CO,81082
0040,2945,3036599519,Foundations Academy,340 South 45th Avenue,Brighton,CO,80601
1420,2946,3039821640,Fitzmorris Elementary School,6250 Independence Street,Arvada,CO,80004
0180,2951,3033649371,Aurora Public Schools Child Development Center,1420 Laredo St,Aurora,CO,80011
0900,2952,3033878385,Mammoth Heights Elementary,9500 Stonegate Parkway,Parker,CO,80134
0900,2953,7206418117,Stone Mountain Elementary,10625 Weathersfield Way,Highlands Ranch,CO,80129
0900,2954,3033876005,Roxborough Intermediate,7370 Village Circle East,Littleton,CO,80125
1450,2956,7197654684,Flagler Elementary School,421 Julian,Flagler,CO,80815
1450,2958,7197654684,Flagler Middle School,421 Julian,Flagler,CO,80815
1450,2960,7197654684,Flagler Senior High School,421 Julian,Flagler,CO,80815
1150,2961,7197846312,Focus Academy,403 West 5th Street,Florence,CO,81226
1420,2963,3039829900,Falcon Bluffs Middle School,8449 South Garrison Street,Littleton,CO,80128
0470,2964,3036517900,Flagstaff Charter Academy,1841 Left Hand Circle,Longmont,CO,80501
0900,2965,3033875225,Flagstone Elementary School,104 Lovington Street,Castle Rock,CO,80104
0480,2970,7205614600,Flatirons Elementary School,1150 7th Street,Boulder,CO,80302
1850,2980,9702652022,Fleming Elementary School,506 North Fremont Ave,Fleming,CO,80728
1850,2988,9702652022,Fleming High School,506 North Fremont Ave,Fleming,CO,80728
0180,2995,3033431707,Fletcher Intermediate Science & Technology School,10455 East 25th Avenue,Aurora,CO,80010
0180,2998,3033431707,Fletcher Primary School,10455 East 25th Avenue,Aurora,CO,80010
0880,3000,3037337686,Florence Crittenton High School,96 South Zuni,Denver,CO,80223
1150,3002,7197846414,Florence High School,2006 State Highway 67,Florence,CO,81226
1520,3012,9702474250,Florida Mesa Elementary School,216 Highway 172,Durango,CO,81301
0480,3022,7205612600,Foothill Elementary School,1001 Hawthorne Avenue,Boulder,CO,80304
1420,3025,3039829324,Foothills Elementary School,13165 West Ohio Avenue,Lakewood,CO,80228
1000,3027,7193821520,Eagleside Elementary School,9750 Sentry Drive,Fountain,CO,80817
0130,3030,7208864700,Fox Ridge Middle School,26301 East Arapahoe Road,Aurora,CO,80016
0880,3032,7204247400,Force Elementary School,1550 South Wolff Street,Denver,CO,80219
0880,3038,3033716990,Ford Elementary School,14500 East Maxwell Place,Denver,CO,80239
1550,3046,9704888021,Fort Collins High School,3400 Lambkin Way,Fort Collins,CO,80525
1520,3050,9705883331,Fort Lewis Mesa Elementary School,11274 Highway 140,Hesperus,CO,81326
0123,3054,7208336989,Fort Logan Elementary School,3700 South Knox Court,Englewood,CO,80150
3140,3066,3038577200,Fort Lupton Middle School,201 South Mckinley,Fort Lupton,CO,80621
3140,3070,3038577100,Fort Lupton High School,530 Reynolds Street,Fort Lupton,CO,80621
2405,3074,9708678253,Fort Morgan Middle School,300 Deuel Street,Fort Morgan,CO,80701
2405,3078,9708675648,Fort Morgan High School,709 East Riverview Avenue,Fort Morgan,CO,80701
1420,3088,3039821680,Foster Elementary School,5300 Saulsbury Court,Arvada,CO,80002
3090,3090,3035362400,Lochbuie Elementary School,201 Bonanza Boulevard,Lochbuie,CO,80603
1000,3102,7193821340,Aragon Elementary School,211 South Main Street,Fountain,CO,80817
1040,3104,7192344500,Foothills Elementary School,825 Allegheny Drive,Colorado Springs,CO,80919
1550,3105,9704886260,Fossil Ridge High School,5400 Ziegler Road,Fort Collins,CO,80528
1000,3106,7193821580,Fountain Middle School,515 N. Sante Fe,Fountain,CO,80817
1000,3108,7193821370,Mesa Elementary School,400 Camino Del Rey,Fountain,CO,80817
1000,3110,7193821640,Fountain-Fort Carson High School,900 Jimmy Camp Road,Fountain,CO,80817
2540,3130,7192634224,Fowler Junior High School,600 West Eugene Avenue,Fowler,CO,81039
2540,3134,7192634279,Fowler High School,600 West Grant,Fowler,CO,81039
0900,3138,3033877000,Fox Creek Elementary School,6585 Collegiate Drive,Highlands Ranch,CO,80130
0070,3144,3034281330,Francis M. Day Elementary School,1740 Jordan Drive,Denver,CO,80221
3120,3162,9703483200,Franklin Middle School,818  35th Avenue,Greeley,CO,80634
