SchoolName,DistrictNumber,DistrictName,EMH,EMH_combined,SchoolNumber,AEC_10,CharterorOnline,LowestGrade,HighestGrade,INITIAL_PlanType,FINAL_PlanType,Notes,EMH_2lvl,LT100pnts,School_Grade,rank_tot,Overall_ACH_Grade,Read_Ach_Grade,Math_Ach_Grade,Write_Ach_Grade,Sci_Ach_Grade,Overall_Weighted_Growth_Grade,Read_Growth_Grade,Math_Growth_Grade,Write_Growth_Grade,SPF_PS_IND_GRAD_RATE
LIBERTY COMMON CHARTER SCHOOL,1550,POUDRE R-1,E,,5120,0,Charter,Kindergarten,9th Grade,Performance Plan,Performance Plan,,1,0,10,210,13,13,12,13,12,6,5,7,7,
TRINIDAD HIGH SCHOOL,1580,TRINIDAD 1,H,,8906,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,6,211,6,6,6,6,6,7,9,8,6,74.5
LA VETA JUNIOR-SENIOR HIGH SCHOOL,1400,LA VETA RE-2,H,MH,4864,0,,7th Grade,12th Grade,Performance Plan,Performance Plan,Ratings combined across grade levels at district request,2,0,6,212,7,7,7,6,12,6,6,6,3,84
FORT LUPTON HIGH SCHOOL,3140,WELD COUNTY S/D RE-8,H,,3070,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,6,212,5,6,6,6,5,9,9,8,9,60.6
VILAS UNDIVIDED HIGH SCHOOL,0260,VILAS RE-5,H,,9100,0,,7th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,6,214,6,8,6,6,6,7,8,6,8,80
NORTH FORK VISION SCHOOL,0870,DELTA COUNTY 50(J),H,EMH,9146,0,,Infant,12th Grade,Improvement Plan,Improvement Plan,Ratings combined across grade levels at district request,2,0,5,215,5,8,6,6,6,6,5,9,5,47.7
MOUNTAIN VIEW ELEMENTARY SCHOOL,1040,ACADEMY 20,E,,6158,0,,Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,9,216,12,12,12,12,11,9,9,7,9,
EAGLEVIEW ELEMENTARY SCHOOL,0020,ADAMS 12 FIVE STAR SCHOOLS,E,,2361,0,,Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,9,216,9,7,10,7,9,9,9,9,9,
CIVA CHARTER ACADEMY,1010,COLORADO SPRINGS 11,H,,1616,0,Charter,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,6,216,6,6,5,6,6,8,9,6,9,87
CRIPPLE CREEK-VICTOR JUNIOR-SENIOR HIGH SCHOOL,3010,CRIPPLE CREEK-VICTOR RE-1,H,,2024,0,,7th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,6,216,6,6,6,6,6,9,9,9,6,79.5
PALMER ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,,6676,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,9,216,6,6,6,6,5,12,12,9,10,
MITCHELL ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,5944,0,,Kindergarten,6th Grade,Performance Plan,Performance Plan,,1,0,9,216,10,9,10,9,11,9,9,10,7,
PUEBLO WEST HIGH SCHOOL,2700,PUEBLO COUNTY 70,H,,7214,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,6,218,6,7,6,7,6,6,6,6,6,74.9
DOVE CREEK HIGH SCHOOL,0890,DOLORES COUNTY RE NO.2,H,,2216,0,,7th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,6,219,6,6,6,6,6,3,3,5,3,94.2
PUEBLO CHARTER SCHOOL FOR THE ARTS & SCIENCES,2690,PUEBLO CITY 60,E,,7209,0,Charter,Kindergarten,8th Grade,Performance Plan,Performance Plan,,1,0,9,220,7,7,8,6,7,9,7,9,9,
SOUTH HIGH SCHOOL,2690,PUEBLO CITY 60,H,,8082,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,6,220,6,7,6,7,6,6,8,5,5,85.7
NEVIN PLATT MIDDLE SCHOOL,0480,BOULDER VALLEY RE 2,M,,6224,0,,6th Grade,8th Grade,Performance Plan,Performance Plan,,1,0,9,221,12,12,9,12,12,8,7,7,7,
FOUNTAIN-FORT CARSON HIGH SCHOOL,1000,FOUNTAIN 8,H,,3110,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,6,221,6,6,6,6,6,4,6,3,5,91.1
LANDMARK ACADEMY AT REUNION,0040,BRIGHTON 27J,M,,4950,0,Charter,Kindergarten,7th Grade,Performance Plan,Performance Plan,,1,0,9,222,,10,6,9,,9,9,7,7,
COLORADO SPRINGS EARLY COLLEGES,8001,CHARTER SCHOOL INSTITUTE,H,,1795,0,Charter,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,6,222,7,9,9,9,6,7,7,6,10,53.5
PRAIRIE CROSSING ELEMENTARY SCHOOL,0900,DOUGLAS COUNTY RE 1,E,,7134,0,,Pre-Kindergarten,6th Grade,Performance Plan,Performance Plan,,1,0,9,222,8,7,9,7,9,9,12,9,8,
FRASER VALLEY ELEMENTARY SCHOOL,1350,EAST GRAND 2,E,,3182,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,9,222,9,7,9,9,9,9,7,7,12,
RED ROCKS ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,7282,0,,Pre-Kindergarten,6th Grade,Performance Plan,Performance Plan,,1,0,9,222,12,12,11,12,10,9,7,10,8,
UTE MEADOWS ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,9008,0,,Kindergarten,6th Grade,Performance Plan,Performance Plan,,1,0,9,222,10,10,9,10,12,9,9,10,9,
ESTES PARK K-5 SCHOOL,1570,PARK (ESTES PARK) R-3,E,,2790,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,9,222,7,6,8,7,10,9,10,9,9,
ACADEMY OF CHARTER SCHOOLS,0020,ADAMS 12 FIVE STAR SCHOOLS,H,,0015,0,Charter,Kindergarten,12th Grade,Performance Plan,Performance Plan,,2,0,6,223,6,7,6,6,5,6,6,7,5,78.5
FORT COLLINS HIGH SCHOOL,1550,POUDRE R-1,H,,3046,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,6,223,8,7,9,8,8,3,2,5,3,87.5
SOUTHWEST EARLY COLLEGE CHARTER SCHOOL,0880,DENVER COUNTY 1,H,,8132,0,Charter,9th Grade,12th Grade,Performance Plan,Improvement Plan,Deferred to district rating,2,0,6,225,5,5,6,4,4,10,10,9,9,60.5
RIFLE HIGH SCHOOL,1195,GARFIELD RE-2,H,,7360,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,6,226,6,6,6,6,6,7,6,6,9,76
ROARING FORK HIGH SCHOOL,1180,ROARING FORK RE-1,H,,7422,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,6,226,6,6,6,6,6,8,9,6,8,71.3
MESA RIDGE HIGH SCHOOL,0990,WIDEFIELD 3,H,,5841,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,6,226,6,6,7,6,6,6,6,6,6,86.8
PLATTE RIVER CHARTER ACADEMY,0900,DOUGLAS COUNTY RE 1,E,,7047,0,Charter,Kindergarten,8th Grade,Performance Plan,Performance Plan,,1,0,9,228,12,12,12,12,10,7,6,7,8,
WILEY JUNIOR-SENIOR HIGH SCHOOL,2680,WILEY RE-13 JT,M,,9608,0,,7th Grade,12th Grade,Performance Plan,Performance Plan,,1,0,9,228,6,7,5,9,6,12,10,10,10,
COAL RIDGE HIGH SCHOOL,1195,GARFIELD RE-2,H,,0065,0,,9th Grade,12th Grade,Performance Plan,Performance Plan,,2,0,6,229,6,6,7,6,6,6,6,6,6,87.3
SOUTHERN HILLS MIDDLE SCHOOL,0480,BOULDER VALLEY RE 2,M,,8135,0,,6th Grade,8th Grade,Performance Plan,Performance Plan,,1,0,9,230,12,12,10,12,12,9,8,7,8,
MARTIN LUTHER KING MIDDLE COLLEGE,0880,DENVER COUNTY 1,H,MH,5605,0,,6th Grade,12th Grade,Performance Plan,Improvement Plan,Ratings combined across grade levels at district request and deferred to district rating,2,0,6,230,6,6,6,6,6,9,9,8,9,
FREEDOM ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,,3175,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,9,231,9,7,9,9,7,10,9,12,8,
ATLAS PREPARATORY SCHOOL,0980,HARRISON 2,E,,0469,0,Charter,5th Grade,8th Grade,Performance Plan,Performance Plan,,1,0,9,231,6,6,6,5,6,9,9,12,6,
ADAMS ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,0030,0,,Pre-Kindergarten,6th Grade,Performance Plan,Performance Plan,,1,0,9,231,9,9,9,8,9,9,9,9,7,
DEER CREEK MIDDLE SCHOOL,1420,JEFFERSON COUNTY R-1,M,,2130,0,,7th Grade,8th Grade,Performance Plan,Performance Plan,,1,0,9,231,9,9,8,10,9,7,6,10,6,
WARDER ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,9232,0,,Kindergarten,6th Grade,Performance Plan,Performance Plan,,1,0,9,231,6,6,6,6,6,12,11,12,8,
NORWOOD HIGH SCHOOL,2840,NORWOOD R-2J,H,,6422,0,,6th Grade,12th Grade,Improvement Plan,Improvement Plan,,2,0,6,231,6,6,6,6,6,6,6,6,5,89.6
OURAY ELEMENTARY SCHOOL,2580,OURAY R-1,E,,6596,0,,Pre-Kindergarten,6th Grade,Performance Plan,Performance Plan,,1,0,9,231,9,9,9,8,9,10,9,10,9,
POLARIS EXPEDITIONARY LEARNING SCHOOL,1550,POUDRE R-1,H,,7104,0,,6th Grade,12th Grade,Improvement Plan,Improvement Plan,,2,0,6,231,6,6,6,6,6,6,4,3,9,80
CROWN POINTE CHARTER ACADEMY,0070,WESTMINSTER 50,E,,2035,0,Charter,Kindergarten,8th Grade,Performance Plan,Performance Plan,,1,0,9,231,9,9,10,9,9,8,6,9,7,
EATON HIGH SCHOOL,3085,EATON RE-2,H,,2456,0,,9th Grade,12th Grade,Improvement Plan,Improvement Plan,,2,0,6,233,8,6,9,9,7,4,6,1,8,77.4
ASPEN VALLEY HIGH SCHOOL,1040,ACADEMY 20,H,,0209,0,,9th Grade,12th Grade,Improvement Plan,Improvement Plan,,2,0,6,234,6,6,6,6,6,10,12,11,6,62.6
PRIMERO JUNIOR-SENIOR HIGH SCHOOL,1590,PRIMERO REORGANIZED 2,H,,7164,0,,6th Grade,12th Grade,Improvement Plan,Improvement Plan,,2,0,6,235,6,6,6,6,6,5,6,4,5,86.7
STERLING HIGH SCHOOL,1828,VALLEY RE-1,H,,8260,0,,9th Grade,12th Grade,Improvement Plan,Improvement Plan,,2,0,6,235,7,6,7,7,7,6,4,6,6,75
BRIGHTON HIGH SCHOOL,0040,BRIGHTON 27J,H,,1022,0,,9th Grade,12th Grade,Improvement Plan,Improvement Plan,,2,0,6,237,6,6,6,6,6,5,6,5,5,86.2
CENTENNIAL HIGH SCHOOL,2690,PUEBLO CITY 60,H,,1402,0,,9th Grade,12th Grade,Improvement Plan,Improvement Plan,,2,0,6,237,6,6,6,6,6,6,6,6,5,87.4
BAUDER ELEMENTARY SCHOOL,1550,POUDRE R-1,E,,0612,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,9,238,7,6,8,7,6,12,12,7,13,
FALL RIVER ELEMENTARY SCHOOL,0470,ST VRAIN VALLEY RE 1J,E,,2912,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,9,238,10,9,10,9,10,9,10,8,9,
STRASBURG ELEMENTARY SCHOOL,0060,STRASBURG 31J,E,,8328,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,9,238,6,6,6,6,7,9,9,9,10,
CENTENNIAL ELEMENTARY SCHOOL,1560,THOMPSON R-2J,E,,1385,0,,Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,9,238,7,7,9,7,7,9,6,9,9,
BATTLE MOUNTAIN HIGH SCHOOL,0910,EAGLE COUNTY RE 50,H,,0604,0,,9th Grade,12th Grade,Improvement Plan,Improvement Plan,,2,0,6,239,6,6,8,6,7,6,6,5,7,81.8
DOLORES HUERTA PREPARATORY HIGH SCHOOL,2690,PUEBLO CITY 60,H,,2217,0,Charter,9th Grade,12th Grade,Improvement Plan,Improvement Plan,,2,0,6,239,7,9,6,9,6,6,6,5,6,73.3
ANTONITO HIGH SCHOOL,0580,SOUTH CONEJOS RE-10,H,,0252,0,,9th Grade,12th Grade,Improvement Plan,Improvement Plan,,2,0,6,239,5,5,5,6,5,8,9,6,11,82.3
EAGLE VALLEY MIDDLE SCHOOL,0910,EAGLE COUNTY RE 50,M,,2355,0,,6th Grade,8th Grade,Performance Plan,Performance Plan,,1,0,9,242,9,9,7,10,7,9,10,6,12,
MAPLETON EARLY COLLEGE HIGH SCHOOL,0010,MAPLETON 1,H,,0212,0,,9th Grade,12th Grade,Improvement Plan,Improvement Plan,,2,0,6,242,5,6,5,6,5,9,12,6,10,71.4
SKYLINE HIGH SCHOOL,0470,ST VRAIN VALLEY RE 1J,H,,7954,0,,9th Grade,12th Grade,Improvement Plan,Improvement Plan,,2,0,6,243,6,6,6,6,6,5,6,5,4,85.1
SWINK ELEMENTARY SCHOOL,2570,SWINK 33,E,,8452,0,,Kindergarten,6th Grade,Performance Plan,Performance Plan,,1,0,9,243,9,9,9,7,10,9,7,11,9,
AURORA ACADEMY CHARTER SCHOOL,0180,ADAMS-ARAPAHOE 28J,E,EM,0458,0,Charter,Kindergarten,8th Grade,Performance Plan,Performance Plan,Ratings combined across grade levels at district request,1,0,9,244,6,7,6,6,6,8,9,7,6,
AURORA ACADEMY CHARTER SCHOOL,0180,ADAMS-ARAPAHOE 28J,M,EM,0458,0,Charter,Kindergarten,8th Grade,Performance Plan,Performance Plan,Ratings combined across grade levels at district request,1,0,9,244,9,9,8,9,6,13,12,13,11,
NIKOLA TESLA EDUCATION OPPORTUNITY CENTER,1010,COLORADO SPRINGS 11,H,,2528,1,,6th Grade,12th Grade,Alternative Ed. Campus,Improvement Plan,,2,0,6,244,5,6,5,6,5,12,13,10,12,49.6
COAL CREEK CANYON K-8 ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,EM,1730,0,,Kindergarten,8th Grade,Performance Plan,Performance Plan,Ratings combined across grade levels at district request,1,0,9,244,8,9,9,6,7,7,7,9,6,
COAL CREEK CANYON K-8 ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,M,EM,1730,0,,Kindergarten,8th Grade,Performance Plan,Performance Plan,Ratings combined across grade levels at district request,1,0,9,244,9,9,8,8,11,11,9,12,8,
BRIDGES,1180,ROARING FORK RE-1,H,,1006,0,,9th Grade,12th Grade,Improvement Plan,Improvement Plan,,2,0,6,244,6,6,6,6,9,6,6,6,9,68.8
PRAIRIE VIEW HIGH SCHOOL,0040,BRIGHTON 27J,H,,7129,0,,9th Grade,12th Grade,Improvement Plan,Improvement Plan,,2,0,6,246,6,5,6,6,6,6,5,6,5,88.8
LAS ANIMAS HIGH SCHOOL,0290,LAS ANIMAS RE-1,H,,4990,0,,9th Grade,12th Grade,Improvement Plan,Improvement Plan,,2,0,6,246,6,6,5,6,5,6,6,9,6,69.4
THORNTON HIGH SCHOOL,0020,ADAMS 12 FIVE STAR SCHOOLS,H,,5816,0,,9th Grade,12th Grade,Improvement Plan,Improvement Plan,,2,0,6,248,6,5,6,6,6,7,6,7,6,70
COLORADO SPRINGS CHARTER ACADEMY,8001,CHARTER SCHOOL INSTITUTE,E,EM,1791,0,Charter,Kindergarten,8th Grade,Performance Plan,Performance Plan,Ratings combined across grade levels at district request,1,0,9,248,9,9,9,7,9,6,6,6,6,
COLORADO SPRINGS CHARTER ACADEMY,8001,CHARTER SCHOOL INSTITUTE,M,EM,1791,0,Charter,Kindergarten,8th Grade,Performance Plan,Performance Plan,Ratings combined across grade levels at district request,1,0,9,248,9,10,7,12,7,11,9,9,12,
GYPSUM ELEMENTARY SCHOOL,0910,EAGLE COUNTY RE 50,E,,3710,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,9,248,6,6,7,6,6,10,10,10,8,
CENTENNIAL ACADEMY OF FINE ARTS EDUCATION,0140,LITTLETON 6,E,,1382,0,,Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,9,248,6,6,7,6,6,10,11,10,8,
BURLINGTON HIGH SCHOOL,1500,BURLINGTON RE-6J,H,,1152,0,,9th Grade,12th Grade,Improvement Plan,Improvement Plan,,2,0,6,249,6,6,6,6,6,5,6,3,6,90
HARRISON HIGH SCHOOL,0980,HARRISON 2,H,,3806,0,,9th Grade,12th Grade,Improvement Plan,Improvement Plan,,2,0,6,250,6,6,6,6,6,8,9,6,9,75.8
MOFFAT SENIOR HIGH SCHOOL,2800,MOFFAT 2,H,,5958,0,,9th Grade,12th Grade,Improvement Plan,Improvement Plan,,2,0,6,251,6,6,5,6,5,6,7,5,7,87.5
LOUISVILLE MIDDLE SCHOOL,0480,BOULDER VALLEY RE 2,M,,5306,0,,6th Grade,8th Grade,Performance Plan,Performance Plan,,1,0,9,252,11,12,9,12,12,7,8,6,8,
ASPEN CROSSING ELEMENTARY SCHOOL,0130,CHERRY CREEK 5,E,,0442,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,9,252,9,8,10,8,6,9,10,7,9,
GREENWOOD ELEMENTARY SCHOOL,0130,CHERRY CREEK 5,E,,3648,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,9,252,12,12,13,12,12,7,9,6,9,
CEDAREDGE MIDDLE SCHOOL,0870,DELTA COUNTY 50(J),M,,1375,0,,6th Grade,8th Grade,Performance Plan,Performance Plan,,1,0,9,252,8,9,6,9,9,9,7,7,10,
MANUAL HIGH SCHOOL,0880,DENVER COUNTY 1,H,,5448,0,,9th Grade,11th Grade,Improvement Plan,Improvement Plan,,2,0,6,252,4,3,5,4,5,9,7,9,7,
WILDCAT MOUNTAIN ELEMENTARY SCHOOL,0900,DOUGLAS COUNTY RE 1,E,,9592,0,,Pre-Kindergarten,6th Grade,Performance Plan,Performance Plan,,1,0,9,252,12,12,12,11,9,6,7,6,6,
HACKBERRY HILL ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,3726,0,,Kindergarten,6th Grade,Performance Plan,Performance Plan,,1,0,9,252,9,9,9,9,11,9,9,9,9,
PECK ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,6828,0,,Kindergarten,6th Grade,Performance Plan,Performance Plan,,1,0,9,252,9,9,9,9,9,9,9,6,9,
KIM UNDIVIDED HIGH SCHOOL,1760,KIM REORGANIZED 88,M,MH,4694,0,,7th Grade,12th Grade,Performance Plan,Performance Plan,Ratings combined across grade levels at district request,1,0,9,252,,7,5,8,,,,,,
UPPER BLUE ELEMENTARY SCHOOL,3000,SUMMIT RE-1,E,,8993,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,9,252,12,12,12,11,10,7,9,6,9,
CROWLEY COUNTY HIGH SCHOOL,0770,CROWLEY COUNTY RE-1-J,H,,2058,0,,9th Grade,12th Grade,Improvement Plan,Improvement Plan,,2,0,6,253,5,6,6,5,5,6,3,6,6,91.4
PRITCHETT HIGH SCHOOL,0240,PRITCHETT RE-3,H,,7180,0,,9th Grade,12th Grade,Improvement Plan,Improvement Plan,,2,0,6,254,4,5,4,5,3,5,5,6,5,
HIGHLAND HIGH SCHOOL,3145,AULT-HIGHLAND RE-9,H,,3962,0,,9th Grade,12th Grade,Improvement Plan,Improvement Plan,,2,0,6,255,6,6,6,6,7,6,7,6,6,80.5
MITCHELL HIGH SCHOOL,1010,COLORADO SPRINGS 11,H,,5948,0,,9th Grade,12th Grade,Improvement Plan,Improvement Plan,,2,0,6,256,6,6,6,6,6,6,9,5,6,73.3
NORTHGLENN HIGH SCHOOL,0020,ADAMS 12 FIVE STAR SCHOOLS,H,,6402,0,,9th Grade,12th Grade,Improvement Plan,Improvement Plan,,2,0,6,257,5,5,6,5,5,9,9,8,7,67.2
NUCLA JUNIOR/SENIOR HIGH SCHOOL,2190,WEST END RE-2,H,,6436,0,,7th Grade,12th Grade,Improvement Plan,Improvement Plan,,2,0,6,258,6,6,6,5,6,3,2,5,3,87.9
ARVADA HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,,0370,0,,9th Grade,12th Grade,Improvement Plan,Improvement Plan,,2,0,6,259,6,5,6,6,6,7,6,7,7,77
GENOA-HUGO SENIOR HIGH SCHOOL,1780,GENOA-HUGO C113,H,,4162,0,,9th Grade,12th Grade,Improvement Plan,Improvement Plan,,2,0,6,260,6,6,6,6,6,6,6,7,5,84.8
SALIDA HIGH SCHOOL,0500,SALIDA R-32,H,,7568,0,,9th Grade,12th Grade,Improvement Plan,Improvement Plan,,2,0,6,260,6,6,8,6,6,3,3,5,1,82.9
WALDEN ELEMENTARY SCHOOL,1410,NORTH PARK R-1,E,,9198,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,9,261,6,6,8,6,9,10,7,9,13,
CHINOOK TRAIL ELEMENTARY SCHOOL,1040,ACADEMY 20,E,,1615,0,,Kindergarten,8th Grade,Performance Plan,Performance Plan,,1,0,9,262,9,9,9,9,8,8,7,6,10,
DISCOVERY CANYON CAMPUS SCHOOL,1040,ACADEMY 20,E,,2195,0,,Pre-Kindergarten,11th Grade,Performance Plan,Performance Plan,,1,0,9,262,11,10,12,10,10,7,5,9,7,
ASPEN MIDDLE SCHOOL,2640,ASPEN 1,M,,0430,0,,5th Grade,8th Grade,Performance Plan,Performance Plan,,1,0,9,262,9,9,8,10,12,9,6,12,8,
MIDLAND ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,,5878,0,,Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,9,262,6,6,6,6,7,9,7,11,9,
CHALLENGE TO EXCELLENCE CHARTER SCHOOL,0900,DOUGLAS COUNTY RE 1,E,,1512,0,Charter,Kindergarten,8th Grade,Performance Plan,Performance Plan,,1,0,9,262,9,9,11,9,6,9,10,6,8,
CLEAR SKY ELEMENTARY,0900,DOUGLAS COUNTY RE 1,E,,0265,0,,Kindergarten,6th Grade,Performance Plan,Performance Plan,,1,0,9,262,8,7,9,8,8,9,6,9,9,
GREELEY WEST HIGH SCHOOL,3120,GREELEY 6,H,,3614,0,,9th Grade,12th Grade,Improvement Plan,Improvement Plan,,2,0,6,262,6,6,6,6,6,6,6,6,5,77.2
LITTLETON PREP CHARTER SCHOOL,0140,LITTLETON 6,E,,5233,0,Charter,Kindergarten,8th Grade,Performance Plan,Performance Plan,,1,0,9,262,9,9,9,9,9,9,9,9,6,
EDITH TETER ELEMENTARY SCHOOL,2610,PARK COUNTY RE-2,E,,8114,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,9,262,9,7,9,9,12,7,5,6,10,
LONE STAR UNDIVIDED HIGH SCHOOL,3060,LONE STAR 101,H,,5258,0,,9th Grade,12th Grade,Improvement Plan,Improvement Plan,,2,0,6,263,6,6,5,6,7,1,5,1,4,92.3
HI PLAINS UNDIVIDED HIGH SCHOOL,1460,HI-PLAINS R-23,H,MH,7746,0,,7th Grade,12th Grade,Improvement Plan,Improvement Plan,Ratings combined across grade levels at district request,2,0,6,264,6,6,6,6,6,3,5,3,1,78.6
WELD CENTRAL SENIOR HIGH SCHOOL,3090,KEENESBURG RE-3(J),H,,1446,0,,9th Grade,12th Grade,Improvement Plan,Improvement Plan,,2,0,6,265,6,6,6,6,6,5,5,5,4,83.6
SHERIDAN HIGH SCHOOL,0123,SHERIDAN 2,H,,7842,0,,9th Grade,12th Grade,Priority Improvement Plan,Priority Improvement Plan,,2,0,5,266,4,4,4,4,4,9,7,9,9,70.8
ALAMOSA HIGH SCHOOL,0100,ALAMOSA RE-11J,H,,0118,0,,9th Grade,12th Grade,Improvement Plan,Improvement Plan,,2,0,6,267,6,6,6,6,5,6,3,6,6,84.7
BRANSON SCHOOL ONLINE,1750,BRANSON REORGANIZED 82,H,,0948,0,Online,Kindergarten,12th Grade,Improvement Plan,Improvement Plan,,2,0,6,268,6,9,6,9,6,6,7,6,8,24.5
BRUCE RANDOLPH SCHOOL,0880,DENVER COUNTY 1,H,MH,6350,0,,6th Grade,12th Grade,Improvement Plan,Improvement Plan,Ratings combined across grade levels at district request,2,0,6,269,3,4,5,3,3,12,10,10,9,
RANGEVIEW HIGH SCHOOL,0180,ADAMS-ARAPAHOE 28J,H,,7250,0,,9th Grade,12th Grade,Priority Improvement Plan,Improvement Plan,Approved request to reconsider,2,0,4,270,5,6,6,5,6,6,6,6,5,70.6
ASBURY ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,,0388,0,,Pre-Kindergarten,5th Grade,Performance Plan,Performance Plan,,1,0,9,270,7,6,8,7,6,9,9,9,9,
COUGAR RUN ELEMENTARY SCHOOL,0900,DOUGLAS COUNTY RE 1,E,,1925,0,,Kindergarten,6th Grade,Performance Plan,Performance Plan,,1,0,9,270,10,9,10,9,9,9,9,11,8,
SIERRA ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,7870,0,,Pre-Kindergarten,6th Grade,Performance Plan,Performance Plan,,1,0,9,270,9,9,9,9,9,9,9,9,7,
OVERLAND HIGH SCHOOL,0130,CHERRY CREEK 5,H,,6625,0,,9th Grade,12th Grade,Improvement Plan,Improvement Plan,,2,0,5,271,6,5,6,6,6,6,6,6,6,77.5
WASSON HIGH SCHOOL,1010,COLORADO SPRINGS 11,H,,9298,0,,9th Grade,12th Grade,Improvement Plan,Improvement Plan,,2,0,5,271,6,6,6,6,6,6,6,6,6,72
CENTRAL HIGH SCHOOL,2000,MESA COUNTY VALLEY 51,H,,1450,0,,9th Grade,12th Grade,Improvement Plan,Improvement Plan,,2,0,5,271,6,6,6,6,6,6,6,6,5,79.8
GUNNISON MIDDLE SCHOOL,1360,GUNNISON WATERSHED RE1J,M,,3697,0,,6th Grade,8th Grade,Performance Plan,Performance Plan,,1,0,9,273,6,6,6,6,7,9,6,10,9,
WESTRIDGE ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,9490,0,,Pre-Kindergarten,6th Grade,Performance Plan,Performance Plan,,1,0,9,273,9,10,9,9,10,9,9,9,9,
CANON CITY HIGH SCHOOL,1140,CANON CITY RE-1,H,,1266,0,,9th Grade,12th Grade,Improvement Plan,Improvement Plan,,2,0,5,274,6,6,7,6,7,3,4,5,3,81.2
HIGHLINE ACADEMY CHARTER SCHOOL,0880,DENVER COUNTY 1,E,EM,3987,0,Charter,Kindergarten,8th Grade,Performance Plan,Performance Plan,Ratings combined across grade levels at district request,1,0,9,275,7,8,8,7,6,11,10,10,10,
HIGHLINE ACADEMY CHARTER SCHOOL,0880,DENVER COUNTY 1,M,EM,3987,0,Charter,Kindergarten,8th Grade,Performance Plan,Performance Plan,Ratings combined across grade levels at district request,1,0,9,275,6,6,5,7,6,8,6,6,12,
GREELEY CENTRAL HIGH SCHOOL,3120,GREELEY 6,H,,3610,0,,9th Grade,12th Grade,Improvement Plan,Improvement Plan,,2,0,5,275,6,5,6,6,6,6,7,6,6,65.2
BOOKCLIFF MIDDLE SCHOOL,2000,MESA COUNTY VALLEY 51,M,,0900,0,,6th Grade,8th Grade,Performance Plan,Performance Plan,,1,0,9,275,6,6,5,6,7,12,12,9,12,
MOFFAT COUNTY HIGH SCHOOL,2020,MOFFAT COUNTY RE:NO 1,H,,5962,0,,9th Grade,12th Grade,Improvement Plan,Improvement Plan,,2,0,5,275,6,6,6,6,6,5,3,5,6,81.1
